col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Controller - Democrat,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Brett Mandel,Alan Butkovitz,Mark Zecca,Inja Coates,Donna Derose,Omar Sabir,Robert Tuerk,Marnie Aument Loughrey,Warren Bloom,Suzanne Harmon Carn,Tia M Seibert,Lewis Harris Jr,Donna Marie Laws,Ashley Michelle Cook,Holly A Harris Seidle,Bobbie T Curry,Brigitte A Garvin Johnson,David Mamikonyan,Jose A Figueroa,Bruce H Bailey,Ryan Mulvey,Tyrone T Martin,Sharif Ali,Verna Ragan Tennant,James Johnson,Keith Jackson,Wayne E Dorsey,Kyle J Sampson,All
Brett Mandel,264,0,0,187,72,50,118,51,52,61,48,37,42,39,31,26,31,21,15,14,12,9,12,10,15,11,6,8,All
Alan Butkovitz,,125,0,130,176,120,69,107,71,58,63,65,57,37,26,29,18,27,17,21,22,18,13,13,7,9,12,3,All
Mark Zecca,,,39,21,14,13,5,6,20,13,13,14,8,8,14,5,12,9,7,7,4,5,3,6,4,1,2,3,All
Inja Coates,,,,7,82,21,121,27,14,12,15,6,26,11,15,3,12,5,8,10,5,10,6,5,2,1,2,1,All
Donna Derose,,,,,5,81,64,127,2,14,1,4,21,10,11,1,7,8,9,5,9,0,4,3,7,2,2,0,All
Omar Sabir,,,,,,6,10,79,15,17,9,17,15,8,2,9,4,3,8,3,0,5,7,3,2,2,1,0,All
Robert Tuerk,,,,,,,0,6,16,6,8,4,13,4,14,1,1,4,4,4,3,1,3,2,2,1,1,1,All
Marnie Aument Loughrey,,,,,,,,2,8,10,4,2,5,10,9,0,2,5,6,3,6,1,1,3,4,0,2,0,All
Warren Bloom,,,,,,,,,3,21,52,49,3,11,11,11,6,11,2,8,5,2,5,4,3,2,1,0,All
Suzanne Harmon Carn,,,,,,,,,,0,20,19,25,19,11,22,11,10,4,3,5,1,1,3,0,1,2,4,All
Tia M Seibert,,,,,,,,,,,1,46,10,10,1,17,5,7,2,2,3,5,3,2,2,2,1,2,All
