col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,Timika Lane,Daniel D Mccaffery,Giovanni Campbell,Joe Fernandes,Sierra Thomas Street,Vince Giusini,Dawn M Tancredi,Anne Marie Coyle,Leon A King Ii,Stephanie M Sawyer,Tracy B Roman,James C Crumlish,John J O Connor Jr,Daine A Grey Jr,Kenneth J Powell Jr,Conor Corcoran,Deborah D Cianfrani,Derrick W Coker,Frank Bennett,Jon Marshall,Rania Major,Sean P Stevens,Fran Shields,Katie Scrivner,1
Timika Lane,5,10,9,10,8,5,5,4,6,4,6,3,0,0,0,0,0,2,1,0,1,1,0,0,1
Daniel D Mccaffery,,0,12,11,5,4,8,2,6,5,2,3,3,2,2,2,1,1,2,1,1,0,0,0,1
Giovanni Campbell,,,2,7,4,3,7,2,5,5,3,3,2,1,2,0,0,1,0,0,0,1,0,0,1
Joe Fernandes,,,,0,5,5,5,4,4,2,4,2,1,1,1,2,0,0,1,0,1,0,0,0,1
Sierra Thomas Street,,,,,1,5,2,4,2,3,3,0,2,1,0,0,1,0,0,0,1,0,0,0,1
Vince Giusini,,,,,,2,2,4,0,2,4,0,1,1,1,1,2,1,1,1,0,0,0,0,1
Dawn M Tancredi,,,,,,,0,0,4,1,0,3,3,2,0,0,1,1,1,0,0,0,0,0,1
Anne Marie Coyle,,,,,,,,1,0,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1
Leon A King Ii,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,1,2,1,2,1,1,1,0,1,0,0,1,1,0,0,1
Tracy B Roman,,,,,,,,,,,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1
James C Crumlish,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0,0,1
John J O Connor Jr,,,,,,,,,,,,,1,3,0,1,1,0,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,23,19,16,15,12,12,10,8,8,8,8,5,5,3,3,2,2,2,2,1,1,1,0,0,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,2
,Timika Lane,Giovanni Campbell,Joe Fernandes,Leon A King Ii,Sierra Thomas Street,Daniel D Mccaffery,Dawn M Tancredi,Anne Marie Coyle,Tracy B Roman,Vince Giusini,Kenneth J Powell Jr,James C Crumlish,John J O Connor Jr,Conor Corcoran,Stephanie M Sawyer,Deborah D Cianfrani,Frank Bennett,Sean P Stevens,Daine A Grey Jr,Derrick W Coker,Fran Shields,Jon Marshall,Katie Scrivner,Rania Major,2
Timika Lane,2,11,11,11,8,10,10,7,7,7,3,1,1,0,2,1,0,1,0,0,0,0,0,0,2
Giovanni Campbell,,2,7,9,3,10,10,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2
Joe Fernandes,,,0,7,4,7,8,5,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Leon A King Ii,,,,0,2,8,8,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2
Sierra Thomas Street,,,,,1,2,3,6,6,6,2,0,2,2,1,1,1,0,0,0,0,0,0,0,2
