col_1,col_2,col_3,col_4,col_5,division
,Judge Of The Court Of Common Pleas - Republican,,Judge Of The Traffic Court - Republican,,All
,Anne Marie Coyle,Kenneth J Powell Jr,Ella P Butcher,Christopher M Vogler,All
Anne Marie Coyle,0,64,71,62,All
Kenneth J Powell Jr,,2,64,63,All
Ella P Butcher,,,1,57,All
Christopher M Vogler,,,,2,All
Total,82,77,78,71,All
,Judge Of The Traffic Court - Republican,,Judge Of The Court Of Common Pleas - Republican,,2
,Ella P Butcher,Christopher M Vogler,Kenneth J Powell Jr,Anne Marie Coyle,2
Ella P Butcher,0,1,2,1,2
Christopher M Vogler,,0,1,1,2
Kenneth J Powell Jr,,,0,1,2
Anne Marie Coyle,,,,0,2
Total,2,1,2,1,2
,Judge Of The Court Of Common Pleas - Republican,,Judge Of The Traffic Court - Republican,,3
,Anne Marie Coyle,Kenneth J Powell Jr,Christopher M Vogler,Ella P Butcher,3
Anne Marie Coyle,0,2,2,2,3
Kenneth J Powell Jr,,0,2,2,3
Christopher M Vogler,,,0,2,3
Ella P Butcher,,,,0,3
Total,2,2,2,2,3
,Judge Of The Court Of Common Pleas - Republican,,Judge Of The Traffic Court - Republican,,4
,Anne Marie Coyle,Kenneth J Powell Jr,Christopher M Vogler,Ella P Butcher,4
Anne Marie Coyle,0,3,3,3,4
Kenneth J Powell Jr,,0,3,3,4
Christopher M Vogler,,,0,3,4
Ella P Butcher,,,,0,4
Total,3,3,3,3,4
,Judge Of The Court Of Common Pleas - Republican,,Judge Of The Traffic Court - Republican,,5
,Anne Marie Coyle,Kenneth J Powell Jr,Christopher M Vogler,Ella P Butcher,5
Anne Marie Coyle,0,4,3,4,5
Kenneth J Powell Jr,,0,3,4,5
Christopher M Vogler,,,1,3,5
Ella P Butcher,,,,0,5
Total,4,4,4,4,5
,Judge Of The Traffic Court - Republican,,Judge Of The Court Of Common Pleas - Republican,,6
,Christopher M Vogler,Ella P Butcher,Kenneth J Powell Jr,Anne Marie Coyle,6
Christopher M Vogler,0,2,3,1,6
Ella P Butcher,,0,2,1,6
Kenneth J Powell Jr,,,0,1,6
Anne Marie Coyle,,,,0,6
Total,3,2,3,1,6
,Judge Of The Traffic Court - Republican,,Judge Of The Court Of Common Pleas - Republican,,7
,Christopher M Vogler,Ella P Butcher,Kenneth J Powell Jr,Anne Marie Coyle,7
Christopher M Vogler,0,2,4,2,7
Ella P Butcher,,0,2,2,7
Kenneth J Powell Jr,,,0,2,7
Anne Marie Coyle,,,,0,7
Total,4,2,4,2,7
,Judge Of The Court Of Common Pleas - Republican,,Judge Of The Traffic Court - Republican,,8
,Anne Marie Coyle,Kenneth J Powell Jr,Ella P Butcher,Christopher M Vogler,8
Anne Marie Coyle,0,0,1,0,8
Kenneth J Powell Jr,,0,0,0,8
Ella P Butcher,,,0,0,8
Christopher M Vogler,,,,0,8
Total,1,0,1,0,8
,Judge Of The Court Of Common Pleas - Republican,,Judge Of The Traffic Court - Republican,,9
,Anne Marie Coyle,Kenneth J Powell Jr,Ella P Butcher,Christopher M Vogler,9
Anne Marie Coyle,0,11,9,5,9
Kenneth J Powell Jr,,0,8,5,9
Ella P Butcher,,,0,5,9
Christopher M Vogler,,,,0,9
Total,13,12,10,5,9
,Judge Of The Court Of Common Pleas - Republican,,Judge Of The Traffic Court - Republican,,10
,Anne Marie Coyle,Kenneth J Powell Jr,Ella P Butcher,Christopher M Vogler,10
Anne Marie Coyle,0,16,18,19,10
Kenneth J Powell Jr,,0,16,16,10
Ella P Butcher,,,1,15,10
Christopher M Vogler,,,,0,10
Total,22,17,20,19,10
,Judge Of The Court Of Common Pleas - Republican,,Judge Of The Traffic Court - Republican,,11
,Anne Marie Coyle,Kenneth J Powell Jr,Ella P Butcher,Christopher M Vogler,11
Anne Marie Coyle,0,0,1,0,11
Kenneth J Powell Jr,,0,0,0,11
Ella P Butcher,,,0,0,11
Christopher M Vogler,,,,0,11
Total,1,0,1,0,11
,Judge Of The Traffic Court - Republican,,Judge Of The Court Of Common Pleas - Republican,,13
,Christopher M Vogler,Ella P Butcher,Kenneth J Powell Jr,Anne Marie Coyle,13
Christopher M Vogler,0,11,12,11,13
Ella P Butcher,,0,11,11,13
Kenneth J Powell Jr,,,0,11,13
Anne Marie Coyle,,,,0,13
