col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,Timika Lane,Sierra Thomas Street,Joe Fernandes,Tracy B Roman,Anne Marie Coyle,Giovanni Campbell,Vince Giusini,Daniel D Mccaffery,Dawn M Tancredi,Leon A King Ii,Kenneth J Powell Jr,Stephanie M Sawyer,John J O Connor Jr,Daine A Grey Jr,Frank Bennett,Derrick W Coker,James C Crumlish,Deborah D Cianfrani,Conor Corcoran,Sean P Stevens,Rania Major,Jon Marshall,Katie Scrivner,Fran Shields,Tracy B Roman,Martin Coleman,Henry Lewandowski,Fran Shields,Shoshana Bricklin,Frank Bennett,Daine A Grey Jr,Robert M Kline,Joe Fernandes,Conor Corcoran,Derrick W Coker,All
Timika Lane,11,171,173,118,123,106,120,87,93,79,28,32,8,10,7,18,10,11,6,10,9,4,1,0,163,196,163,98,25,13,22,21,19,9,1,All
Sierra Thomas Street,,16,124,132,125,66,128,49,53,38,43,49,24,23,14,16,11,14,13,8,12,6,1,0,156,164,142,54,43,24,31,27,17,8,1,All
Joe Fernandes,,,3,101,95,70,99,62,59,54,15,12,4,6,7,7,10,3,1,2,4,2,0,0,130,141,140,63,14,9,10,13,14,1,1,All
Tracy B Roman,,,,1,108,22,91,16,20,13,22,20,7,7,9,6,10,13,7,3,5,6,0,0,144,114,95,22,18,13,18,16,10,5,1,All
Anne Marie Coyle,,,,,7,22,93,20,14,9,16,21,7,6,10,9,11,10,5,2,5,5,0,0,114,112,95,23,17,15,11,11,5,5,1,All
Giovanni Campbell,,,,,,3,34,104,95,70,27,31,25,4,5,8,6,8,11,7,6,3,1,0,47,81,88,92,31,16,16,24,14,7,0,All
Vince Giusini,,,,,,,0,20,25,10,13,10,6,4,5,2,5,3,7,1,4,1,0,0,96,119,104,27,19,10,8,10,5,2,1,All
Daniel D Mccaffery,,,,,,,,1,91,52,25,20,25,6,7,6,6,6,6,5,1,5,1,0,46,64,83,85,28,14,8,13,13,1,0,All
