col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Tracy B Roman,Fran Shields,Shoshana Bricklin,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Frank Bennett,Conor Corcoran,Derrick W Coker,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Lewis Harris Jr,Warren Bloom,Tia M Seibert,Donna Marie Laws,Verna Ragan Tennant,Sharif Ali,Suzanne Harmon Carn,Tyrone T Martin,Bobbie T Curry,Wayne E Dorsey,Ashley Michelle Cook,Inja Coates,Brigitte A Garvin Johnson,Bruce H Bailey,David Mamikonyan,Kyle J Sampson,Keith Jackson,Jose A Figueroa,Ryan Mulvey,Holly A Harris Seidle,James Johnson,Robert Tuerk,All
Martin Coleman,9,249,115,158,12,16,17,12,20,5,0,213,132,138,95,90,60,21,19,21,30,19,26,9,12,9,11,10,11,5,7,4,8,3,4,5,All
Henry Lewandowski,,2,96,153,16,5,5,6,0,1,0,194,134,129,72,66,51,29,14,14,23,10,15,3,5,8,4,9,9,3,1,2,0,2,3,2,All
Tracy B Roman,,,6,19,30,21,9,10,11,6,0,64,7,7,98,93,68,23,16,17,29,15,24,7,13,11,5,10,7,8,6,3,6,5,4,3,All
Fran Shields,,,,1,24,9,11,10,5,2,1,152,139,132,9,9,8,26,14,9,6,10,3,12,7,9,11,2,1,6,4,2,4,2,1,3,All
Shoshana Bricklin,,,,,3,16,3,8,11,0,0,28,14,1,8,5,8,25,7,6,9,11,3,4,9,16,3,7,2,5,0,4,5,3,1,0,All
Daine A Grey Jr,,,,,,1,9,7,6,5,0,18,1,2,15,8,4,10,7,9,4,7,8,4,5,9,2,1,2,4,6,3,2,2,5,2,All
Joe Fernandes,,,,,,,0,5,7,0,1,16,4,8,9,8,3,6,4,6,4,5,2,6,0,2,7,3,1,1,2,3,3,2,1,3,All
Robert M Kline,,,,,,,,0,10,2,0,5,1,1,12,7,7,11,4,3,2,7,4,6,7,4,5,9,2,6,2,0,4,0,2,3,All
