col_1,col_2,division
,District Attorney - Democrat,All
,R Seth Williams,All
R Seth Williams,594,All
Total,594,All
,District Attorney - Democrat,1
,R Seth Williams,1
R Seth Williams,19,1
Total,19,1
,District Attorney - Democrat,2
,R Seth Williams,2
R Seth Williams,36,2
Total,36,2
,District Attorney - Democrat,3
,R Seth Williams,3
R Seth Williams,15,3
Total,15,3
,District Attorney - Democrat,4
,R Seth Williams,4
R Seth Williams,36,4
Total,36,4
,District Attorney - Democrat,5
,R Seth Williams,5
R Seth Williams,41,5
Total,41,5
,District Attorney - Democrat,6
,R Seth Williams,6
R Seth Williams,18,6
Total,18,6
,District Attorney - Democrat,7
,R Seth Williams,7
R Seth Williams,30,7
Total,30,7
,District Attorney - Democrat,8
,R Seth Williams,8
R Seth Williams,23,8
Total,23,8
,District Attorney - Democrat,9
,R Seth Williams,9
R Seth Williams,31,9
Total,31,9
,District Attorney - Democrat,10
,R Seth Williams,10
R Seth Williams,52,10
Total,52,10
,District Attorney - Democrat,11
,R Seth Williams,11
R Seth Williams,36,11
Total,36,11
,District Attorney - Democrat,12
,R Seth Williams,12
R Seth Williams,25,12
Total,25,12
,District Attorney - Democrat,13
,R Seth Williams,13
R Seth Williams,38,13
Total,38,13
,District Attorney - Democrat,14
,R Seth Williams,14
R Seth Williams,53,14
Total,53,14
,District Attorney - Democrat,15
,R Seth Williams,15
R Seth Williams,12,15
Total,12,15
,District Attorney - Democrat,16
,R Seth Williams,16
R Seth Williams,15,16
Total,15,16
,District Attorney - Democrat,17
,R Seth Williams,17
R Seth Williams,14,17
Total,14,17
,District Attorney - Democrat,18
,R Seth Williams,18
R Seth Williams,32,18
Total,32,18
,District Attorney - Democrat,19
,R Seth Williams,19
R Seth Williams,19,19
Total,19,19
,District Attorney - Democrat,20
,R Seth Williams,20
R Seth Williams,10,20
Total,10,20
,District Attorney - Democrat,21
,R Seth Williams,21
R Seth Williams,39,21
Total,39,21
