col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,Giovanni Campbell,Kenneth J Powell Jr,Stephanie M Sawyer,Joe Fernandes,Daniel D Mccaffery,James C Crumlish,Anne Marie Coyle,Timika Lane,Vince Giusini,Leon A King Ii,Tracy B Roman,Sierra Thomas Street,Dawn M Tancredi,Derrick W Coker,Daine A Grey Jr,John J O Connor Jr,Deborah D Cianfrani,Conor Corcoran,Rania Major,Sean P Stevens,Frank Bennett,Jon Marshall,Katie Scrivner,Fran Shields,Shoshana Bricklin,Martin Coleman,Fran Shields,Tracy B Roman,Robert M Kline,Henry Lewandowski,Daine A Grey Jr,Joe Fernandes,Frank Bennett,Conor Corcoran,Derrick W Coker,All
Giovanni Campbell,54,626,633,570,572,522,187,203,136,184,70,71,95,90,53,49,28,31,28,19,22,6,1,0,717,584,595,101,166,80,113,120,35,16,0,All
Kenneth J Powell Jr,,10,520,469,540,485,140,123,87,117,61,59,47,50,35,48,21,18,20,16,13,10,1,0,531,506,480,86,140,53,75,86,40,23,0,All
Stephanie M Sawyer,,,2,465,489,483,139,137,81,111,48,53,59,65,63,30,37,29,35,17,11,7,0,0,554,472,515,70,98,40,108,99,19,27,0,All
Joe Fernandes,,,,2,493,449,179,163,121,71,114,94,41,42,24,32,12,9,10,8,12,5,1,0,471,547,471,97,90,89,56,86,20,13,0,All
Daniel D Mccaffery,,,,,4,461,122,87,75,93,44,31,62,23,24,55,19,27,14,11,16,5,1,1,507,482,488,53,95,69,48,65,33,23,0,All
James C Crumlish,,,,,,4,124,65,61,38,18,10,32,55,32,33,11,19,4,17,8,7,1,0,423,451,468,29,106,35,68,71,16,22,0,All
Anne Marie Coyle,,,,,,,2,175,146,41,133,115,60,58,45,37,35,20,26,12,15,4,0,0,147,197,144,140,105,98,84,71,25,15,0,All
Timika Lane,,,,,,,,4,114,85,127,143,66,55,40,14,16,8,25,10,5,6,2,0,161,192,125,147,73,93,70,61,24,9,0,All
Vince Giusini,,,,,,,,,2,49,83,81,10,45,24,12,4,13,6,2,8,4,0,1,80,153,86,81,61,76,47,43,13,5,0,All
Leon A King Ii,,,,,,,,,,6,35,47,44,21,16,17,9,14,10,6,11,8,2,0,136,94,77,46,47,53,27,32,24,8,0,All
Tracy B Roman,,,,,,,,,,,1,116,41,7,16,24,28,10,14,12,13,5,0,0,85,112,41,145,42,77,29,20,20,11,0,All
Sierra Thomas Street,,,,,,,,,,,,5,32,15,13,14,14,7,19,7,7,8,1,0,85,109,45,113,28,71,25,27,20,4,0,All
Dawn M Tancredi,,,,,,,,,,,,,0,7,15,27,33,11,23,9,6,1,1,0,101,51,70,47,33,38,18,23,19,7,0,All
Derrick W Coker,,,,,,,,,,,,,,0,25,8,2,4,6,4,3,2,0,0,37,58,50,21,50,4,60,39,4,3,0,All
Daine A Grey Jr,,,,,,,,,,,,,,,0,6,11,5,14,8,5,5,0,0,38,34,42,18,37,7,70,23,7,8,0,All
John J O Connor Jr,,,,,,,,,,,,,,,,1,7,10,2,1,12,2,1,0,53,31,37,18,37,14,14,8,21,8,0,All
Deborah D Cianfrani,,,,,,,,,,,,,,,,,0,7,15,6,2,0,0,0,39,15,29,26,16,7,21,12,5,4,0,All
Conor Corcoran,,,,,,,,,,,,,,,,,,0,5,11,7,5,0,0,32,10,25,11,14,18,11,11,6,20,0,All
Rania Major,,,,,,,,,,,,,,,,,,,0,2,0,2,0,0,38,15,27,21,11,7,15,11,3,3,0,All
Sean P Stevens,,,,,,,,,,,,,,,,,,,,0,4,4,0,0,22,14,15,9,12,9,16,8,6,7,0,All
Frank Bennett,,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,12,10,16,11,10,5,7,10,4,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,9,4,6,9,4,5,5,7,7,0,All
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,0,0,0,0,0,0,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,1,0,0,0,0,0,All
Shoshana Bricklin,,,,,,,,,,,,,,,,,,,,,,,,,23,439,502,89,95,49,49,61,28,16,0,All
Martin Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,1,488,106,84,100,68,68,21,10,0,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,74,48,65,55,10,11,0,All
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,84,32,18,20,9,0,All
Robert M Kline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,55,38,25,12,0,All
Henry Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,10,8,7,0,All
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,5,9,0,All
Joe Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,7,0,All
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,All
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,159",821,794,750,730,662,425,389,270,267,232,216,166,125,110,100,69,60,60,43,39,22,3,1,934,789,723,262,260,188,184,177,72,49,0,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,1
,Giovanni Campbell,Kenneth J Powell Jr,Stephanie M Sawyer,Timika Lane,Joe Fernandes,Daniel D Mccaffery,James C Crumlish,Anne Marie Coyle,Sierra Thomas Street,Tracy B Roman,Vince Giusini,Leon A King Ii,Dawn M Tancredi,Daine A Grey Jr,Derrick W Coker,John J O Connor Jr,Conor Corcoran,Rania Major,Jon Marshall,Sean P Stevens,Frank Bennett,Deborah D Cianfrani,Fran Shields,Katie Scrivner,Martin Coleman,Shoshana Bricklin,Fran Shields,Tracy B Roman,Daine A Grey Jr,Henry Lewandowski,Joe Fernandes,Robert M Kline,Conor Corcoran,Frank Bennett,Derrick W Coker,1
Giovanni Campbell,3,44,39,32,39,40,34,13,8,9,7,9,8,2,5,2,2,2,1,1,1,0,0,0,43,44,33,11,8,8,11,8,1,2,0,1
Kenneth J Powell Jr,,0,40,25,33,34,33,13,11,8,9,9,4,2,5,3,1,2,3,1,1,0,0,0,41,40,30,11,7,8,9,8,1,2,0,1
Stephanie M Sawyer,,,0,24,32,30,32,12,5,3,8,8,3,6,8,3,4,3,1,1,2,0,0,0,38,37,31,6,10,3,10,4,5,0,0,1
Timika Lane,,,,0,20,13,12,21,17,16,15,7,8,8,7,3,0,4,2,2,1,1,0,0,32,26,21,18,14,12,10,7,1,2,0,1
Joe Fernandes,,,,,0,34,30,13,9,8,6,3,4,1,1,2,1,2,1,1,1,0,0,0,39,33,29,7,5,7,7,3,1,1,0,1
Daniel D Mccaffery,,,,,,0,29,7,3,2,3,4,3,2,1,2,3,2,0,0,2,0,0,0,31,34,30,2,3,7,6,4,3,1,0,1
James C Crumlish,,,,,,,0,10,1,1,5,0,3,1,2,3,2,1,1,2,1,0,0,0,34,26,27,2,6,5,6,4,2,1,0,1
Anne Marie Coyle,,,,,,,,0,11,13,12,1,6,3,2,3,3,3,0,0,1,1,0,0,19,12,10,12,6,12,4,5,2,1,0,1
Sierra Thomas Street,,,,,,,,,0,12,10,4,4,1,2,0,2,4,3,2,1,0,0,0,14,11,4,14,3,6,3,4,2,2,0,1
Tracy B Roman,,,,,,,,,,0,7,2,6,2,0,2,1,1,1,1,0,1,0,0,14,9,2,14,4,6,0,4,1,1,0,1
Vince Giusini,,,,,,,,,,,0,3,1,2,3,2,2,0,1,1,0,0,0,0,14,6,6,9,5,6,5,2,0,1,0,1
Leon A King Ii,,,,,,,,,,,,1,2,1,4,1,1,0,1,0,1,0,0,0,4,10,7,4,4,2,1,4,1,0,0,1
Dawn M Tancredi,,,,,,,,,,,,,0,1,0,1,3,1,0,1,0,2,0,0,9,6,6,5,2,3,1,2,2,2,0,1
Daine A Grey Jr,,,,,,,,,,,,,,0,3,1,0,1,1,1,1,1,0,0,1,2,5,1,7,1,2,2,1,1,0,1
Derrick W Coker,,,,,,,,,,,,,,,0,3,0,1,0,0,0,0,0,0,5,5,5,4,4,1,1,3,0,0,0,1
John J O Connor Jr,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,0,0,2,2,2,2,5,0,1,6,0,1,0,1
Conor Corcoran,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,2,3,2,2,1,2,2,1,3,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,3,3,1,2,1,1,1,3,1,1,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,1,2,0,2,2,0,1,1,1,1,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,1,1,1,1,0,1,0,1,1,0,1
Frank Bennett,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,2,0,2,2,1,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
Martin Coleman,,,,,,,,,,,,,,,,,,,,,,,,,0,37,33,13,4,10,8,3,0,1,0,1
Shoshana Bricklin,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,9,6,3,4,4,2,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,5,3,2,1,1,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,8,0,4,1,2,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,1,2,0,1
Henry Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,0,1
Joe Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,0,1
Robert M Kline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,1
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,74,62,57,57,53,48,43,32,25,21,21,18,14,10,10,7,6,6,4,4,3,2,0,0,64,59,47,24,19,16,16,15,6,4,0,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,2
,Giovanni Campbell,Kenneth J Powell Jr,Stephanie M Sawyer,Joe Fernandes,Leon A King Ii,James C Crumlish,Daniel D Mccaffery,Anne Marie Coyle,Timika Lane,Vince Giusini,Sierra Thomas Street,Dawn M Tancredi,Tracy B Roman,John J O Connor Jr,Daine A Grey Jr,Derrick W Coker,Rania Major,Deborah D Cianfrani,Sean P Stevens,Conor Corcoran,Frank Bennett,Jon Marshall,Katie Scrivner,Fran Shields,Shoshana Bricklin,Martin Coleman,Fran Shields,Robert M Kline,Daine A Grey Jr,Joe Fernandes,Tracy B Roman,Henry Lewandowski,Frank Bennett,Conor Corcoran,Derrick W Coker,2
Giovanni Campbell,14,55,50,51,41,42,43,28,27,16,9,14,7,7,4,7,4,3,3,2,2,0,0,0,66,60,55,15,10,18,13,6,4,0,0,2
Kenneth J Powell Jr,,0,35,37,22,37,36,17,14,9,8,3,4,5,4,4,1,1,3,0,1,0,0,0,43,44,39,16,10,7,7,1,3,0,0,2
Stephanie M Sawyer,,,0,30,19,32,31,16,12,7,1,7,2,5,8,4,5,4,2,1,0,0,0,0,36,36,41,11,10,11,2,3,2,0,0,2
