col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,Joe Fernandes,Anne Marie Coyle,Daniel D Mccaffery,Timika Lane,Tracy B Roman,Vince Giusini,Giovanni Campbell,Sierra Thomas Street,Dawn M Tancredi,John J O Connor Jr,Stephanie M Sawyer,James C Crumlish,Rania Major,Frank Bennett,Kenneth J Powell Jr,Leon A King Ii,Conor Corcoran,Deborah D Cianfrani,Sean P Stevens,Derrick W Coker,Jon Marshall,Daine A Grey Jr,Fran Shields,Katie Scrivner,Henry Lewandowski,Tracy B Roman,Martin Coleman,Fran Shields,Joe Fernandes,Robert M Kline,Frank Bennett,Shoshana Bricklin,Daine A Grey Jr,Conor Corcoran,Derrick W Coker,All
Joe Fernandes,11,39,31,55,37,46,30,34,24,6,11,8,11,6,10,17,4,2,2,2,1,1,0,0,63,43,60,29,20,10,8,8,5,0,0,All
Anne Marie Coyle,,2,24,42,40,38,15,34,13,20,12,14,7,5,9,2,9,7,4,6,1,1,0,0,52,52,40,13,9,19,13,6,8,6,0,All
Daniel D Mccaffery,,,6,27,14,19,34,10,37,26,19,16,8,11,12,16,13,8,5,3,5,5,0,0,51,21,38,38,6,20,11,11,5,4,0,All
Timika Lane,,,,2,41,35,24,35,23,5,8,2,8,5,5,19,2,2,1,3,0,2,0,0,59,43,56,27,7,6,5,5,9,0,0,All
Tracy B Roman,,,,,2,38,3,35,8,5,9,5,5,2,5,2,3,3,1,2,3,1,0,0,39,53,34,2,8,11,7,4,5,1,0,All
Vince Giusini,,,,,,2,14,34,11,7,7,15,12,3,4,4,3,5,0,3,1,1,0,0,49,37,41,10,9,10,6,5,3,1,0,All
Giovanni Campbell,,,,,,,4,9,32,13,14,4,10,4,7,14,2,5,2,4,2,2,0,0,33,12,30,28,7,13,8,13,5,2,0,All
Sierra Thomas Street,,,,,,,,1,13,4,3,1,7,0,5,3,1,1,1,1,0,0,0,0,32,33,38,10,5,4,4,9,5,0,0,All
