col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,Timika Lane,Joe Fernandes,Daniel D Mccaffery,Leon A King Ii,Sierra Thomas Street,Anne Marie Coyle,Dawn M Tancredi,Giovanni Campbell,Tracy B Roman,James C Crumlish,Vince Giusini,Stephanie M Sawyer,Kenneth J Powell Jr,Jon Marshall,Derrick W Coker,John J O Connor Jr,Daine A Grey Jr,Deborah D Cianfrani,Rania Major,Frank Bennett,Conor Corcoran,Sean P Stevens,Fran Shields,Katie Scrivner,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Frank Bennett,Conor Corcoran,Derrick W Coker,All
Timika Lane,34,530,368,361,298,294,335,231,206,212,169,87,77,93,53,16,30,25,20,16,8,11,0,1,635,569,393,256,69,63,57,39,41,12,1,All
Joe Fernandes,,3,273,233,163,188,270,118,168,181,142,20,36,70,16,16,8,4,8,9,6,9,0,0,484,473,288,167,28,16,32,23,19,6,0,All
Daniel D Mccaffery,,,1,257,110,107,292,179,39,161,37,44,38,69,10,36,7,10,4,8,12,2,0,0,349,344,320,48,46,13,21,23,19,7,0,All
Leon A King Ii,,,,3,95,73,208,190,27,129,32,48,42,32,28,6,14,5,9,6,10,3,0,0,308,300,302,49,41,32,21,16,15,7,0,All
Sierra Thomas Street,,,,,13,249,66,119,178,13,151,54,42,9,26,26,18,14,21,10,1,8,0,1,268,230,114,190,49,30,28,27,27,8,1,All
Anne Marie Coyle,,,,,,3,56,99,178,26,164,38,60,13,19,19,19,16,18,16,1,5,0,1,269,229,110,193,37,36,32,33,27,8,0,All
Dawn M Tancredi,,,,,,,1,122,37,165,29,39,27,67,9,27,6,16,13,5,4,3,0,1,287,288,289,52,45,17,22,16,18,4,0,All
Giovanni Campbell,,,,,,,,6,24,18,41,69,41,8,34,31,15,11,10,11,11,7,0,0,189,180,181,55,77,40,28,29,30,4,1,All
Tracy B Roman,,,,,,,,,3,7,138,20,30,5,10,9,11,11,14,5,4,3,0,1,180,151,36,186,28,19,17,21,22,3,1,All
James C Crumlish,,,,,,,,,,0,7,11,15,83,9,3,5,5,5,6,1,2,0,0,195,183,175,15,8,15,11,14,6,6,0,All
Vince Giusini,,,,,,,,,,,3,28,12,1,20,10,1,2,6,3,5,4,0,0,157,137,31,145,34,16,10,14,9,4,0,All
Stephanie M Sawyer,,,,,,,,,,,,1,28,9,30,21,22,19,14,3,7,6,1,0,37,38,55,49,56,48,25,17,18,5,0,All
Kenneth J Powell Jr,,,,,,,,,,,,,0,12,11,17,11,13,12,14,5,3,0,0,58,44,38,42,24,22,18,26,28,6,0,All
Jon Marshall,,,,,,,,,,,,,,0,5,6,3,3,1,3,1,3,0,0,84,77,73,7,5,7,6,7,7,6,0,All
Derrick W Coker,,,,,,,,,,,,,,,2,4,8,4,6,5,2,3,0,0,21,15,16,31,25,31,19,11,8,3,0,All
John J O Connor Jr,,,,,,,,,,,,,,,,0,1,4,2,5,2,3,0,0,19,26,24,17,26,6,7,13,11,3,0,All
Daine A Grey Jr,,,,,,,,,,,,,,,,,0,8,7,3,2,6,1,0,14,5,14,19,8,27,12,6,10,0,1,All
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,0,8,2,2,3,1,0,12,6,20,20,10,11,10,6,8,3,0,All
Rania Major,,,,,,,,,,,,,,,,,,,0,3,3,5,0,0,18,13,15,12,10,9,8,6,10,0,0,All
Frank Bennett,,,,,,,,,,,,,,,,,,,,1,4,2,1,0,17,13,8,9,5,7,9,4,3,5,0,All
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,1,0,0,0,3,11,10,3,8,2,6,2,3,1,0,All
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,0,1,0,12,6,5,5,5,6,3,4,2,2,0,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,All
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,0,0,0,All
Martin Coleman,,,,,,,,,,,,,,,,,,,,,,,,,4,529,355,178,25,16,21,26,23,9,1,All
Henry Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,1,367,148,38,9,21,11,9,3,0,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,46,19,15,12,11,6,0,All
