col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,Alan Butkovitz,Brett Mandel,Mark Zecca,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Robert M Kline,Daine A Grey Jr,Joe Fernandes,Frank Bennett,Conor Corcoran,Derrick W Coker,All
Alan Butkovitz,"3,843",0,0,"19,538","20,587","14,742","10,357","5,517","2,895","2,504","2,634","2,198","1,188",22,All
Brett Mandel,,"2,664",0,"8,118","4,627","4,975","5,880","3,561","2,772","2,651","2,371","1,710",971,8,All
Mark Zecca,,,605,"1,742","1,709","1,056","1,706",792,649,634,558,501,364,3,All
Martin Coleman,,,,808,"18,459","13,631","8,972","2,735","2,120","1,803","1,989","1,400",513,7,All
Henry Lewandowski,,,,,958,"12,797","8,035","2,517","1,481",621,"1,199",978,793,15,All
Fran Shields,,,,,,461,"2,454","3,411","1,792","1,709","1,341","1,068",693,8,All
Tracy B Roman,,,,,,,713,"3,157","1,671","2,047","1,365","1,378",514,8,All
Shoshana Bricklin,,,,,,,,364,"1,292","1,552",917,980,347,5,All
Robert M Kline,,,,,,,,,135,"1,039","1,087","1,026",523,3,All
Daine A Grey Jr,,,,,,,,,,143,"1,238",631,395,2,All
Joe Fernandes,,,,,,,,,,,196,682,419,9,All
Frank Bennett,,,,,,,,,,,,139,408,7,All
Conor Corcoran,,,,,,,,,,,,,79,3,All
Derrick W Coker,,,,,,,,,,,,,,4,All
Total,"38,236","19,210","4,940","32,460","29,841","22,868","19,712","10,843","6,844","6,337","6,099","4,897","2,785",46,All
