col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Superior Court - Democrat,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joseph C Waters Jr,Jack Mcvay Jr,Omar Sabir,Lewis Harris Jr,Warren Bloom,Suzanne Harmon Carn,Tia M Seibert,Donna Derose,Marnie Aument Loughrey,Donna Marie Laws,Ashley Michelle Cook,Bobbie T Curry,Sharif Ali,Inja Coates,Bruce H Bailey,Tyrone T Martin,David Mamikonyan,Wayne E Dorsey,Brigitte A Garvin Johnson,Keith Jackson,James Johnson,Jose A Figueroa,Verna Ragan Tennant,Ryan Mulvey,Kyle J Sampson,Robert Tuerk,Holly A Harris Seidle,All
Joseph C Waters Jr,48,0,309,163,163,128,123,126,118,55,54,48,42,35,32,32,28,18,14,18,18,18,13,11,8,5,3,All
Jack Mcvay Jr,,3,19,17,10,6,11,1,2,3,2,8,2,6,4,4,6,3,0,0,0,1,1,2,3,0,1,All
Omar Sabir,,,41,35,28,39,22,117,112,29,18,18,22,9,8,11,8,6,8,1,2,5,1,4,3,2,0,All
Lewis Harris Jr,,,,11,86,39,74,3,2,7,10,13,7,7,6,2,10,5,3,3,3,1,0,3,2,0,0,All
Warren Bloom,,,,,1,26,89,2,4,6,2,14,8,6,7,2,6,4,1,4,3,3,6,2,2,2,0,All
Suzanne Harmon Carn,,,,,,18,17,4,7,14,16,8,8,0,9,7,13,3,2,8,5,2,0,2,2,0,0,All
Tia M Seibert,,,,,,,2,2,1,4,6,17,2,3,0,3,4,2,2,1,1,1,0,0,1,0,0,All
Donna Derose,,,,,,,,1,98,14,2,0,1,4,4,2,0,0,0,0,0,1,0,0,1,4,0,All
Marnie Aument Loughrey,,,,,,,,,0,5,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,All
Donna Marie Laws,,,,,,,,,,0,6,0,8,8,9,4,1,1,2,1,4,4,3,1,3,0,0,All
Ashley Michelle Cook,,,,,,,,,,,4,5,8,5,6,4,0,7,3,6,5,4,3,4,0,1,1,All
Bobbie T Curry,,,,,,,,,,,,1,2,3,3,1,10,4,0,0,0,1,0,0,0,0,0,All
Sharif Ali,,,,,,,,,,,,,3,5,2,7,1,2,0,2,3,4,2,2,3,0,0,All
Inja Coates,,,,,,,,,,,,,,1,6,10,3,1,1,2,0,1,3,3,1,3,1,All
Bruce H Bailey,,,,,,,,,,,,,,,2,5,1,3,1,2,0,0,4,3,0,1,0,All
Tyrone T Martin,,,,,,,,,,,,,,,,0,3,2,2,2,1,1,0,3,3,0,1,All
David Mamikonyan,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,All
Wayne E Dorsey,,,,,,,,,,,,,,,,,,1,4,1,0,1,2,1,0,1,0,All
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,,,,,4,0,2,0,5,0,0,0,1,All
Keith Jackson,,,,,,,,,,,,,,,,,,,,0,5,2,1,1,0,3,2,All
James Johnson,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,All
Jose A Figueroa,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,0,1,All
Verna Ragan Tennant,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,0,All
Ryan Mulvey,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,All
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,All
Robert Tuerk,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,All
Holly A Harris Seidle,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,719,56,397,205,187,173,146,137,123,73,72,63,60,49,47,43,37,28,25,25,22,22,21,19,15,13,6,All
,Judge Of The Superior Court - Democrat,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Joseph C Waters Jr,Jack Mcvay Jr,Omar Sabir,Suzanne Harmon Carn,Warren Bloom,Donna Derose,Marnie Aument Loughrey,Tyrone T Martin,Ashley Michelle Cook,Brigitte A Garvin Johnson,Inja Coates,Lewis Harris Jr,Ryan Mulvey,Tia M Seibert,Verna Ragan Tennant,Wayne E Dorsey,Bobbie T Curry,Bruce H Bailey,David Mamikonyan,Donna Marie Laws,Holly A Harris Seidle,James Johnson,Jose A Figueroa,Keith Jackson,Kyle J Sampson,Robert Tuerk,Sharif Ali,1
Joseph C Waters Jr,1,0,6,2,2,2,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jack Mcvay Jr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Omar Sabir,,,1,0,2,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Suzanne Harmon Carn,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Warren Bloom,,,,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Donna Derose,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marnie Aument Loughrey,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tyrone T Martin,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ashley Michelle Cook,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brigitte A Garvin Johnson,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Inja Coates,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lewis Harris Jr,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ryan Mulvey,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tia M Seibert,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Verna Ragan Tennant,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wayne E Dorsey,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
Bobbie T Curry,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
