col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Frank Bennett,Joe Fernandes,Robert M Kline,Daine A Grey Jr,Conor Corcoran,Derrick W Coker,Timika Lane,Anne Marie Coyle,Daniel D Mccaffery,Joe Fernandes,Dawn M Tancredi,Giovanni Campbell,Sierra Thomas Street,Tracy B Roman,Vince Giusini,James C Crumlish,John J O Connor Jr,Kenneth J Powell Jr,Stephanie M Sawyer,Leon A King Ii,Deborah D Cianfrani,Frank Bennett,Derrick W Coker,Conor Corcoran,Daine A Grey Jr,Rania Major,Sean P Stevens,Jon Marshall,Fran Shields,Katie Scrivner,All
Martin Coleman,4,214,160,110,20,14,17,20,14,6,0,229,179,171,207,132,129,121,98,99,127,31,44,23,21,10,8,19,8,13,11,6,4,0,0,All
Henry Lewandowski,,1,189,94,30,14,15,11,9,18,0,189,174,200,203,157,141,97,96,96,128,59,20,31,19,14,15,10,18,8,8,12,4,0,0,All
Fran Shields,,,19,40,33,24,22,26,20,17,0,144,139,221,153,162,143,44,42,46,139,67,32,45,27,30,25,15,21,14,13,16,11,0,0,All
Tracy B Roman,,,,2,43,24,15,17,23,7,0,153,151,59,109,56,42,118,134,107,23,24,31,26,29,27,19,15,7,19,17,2,6,0,0,All
Shoshana Bricklin,,,,,0,16,10,8,14,3,0,49,36,47,23,41,49,49,36,26,2,31,14,38,25,9,7,10,6,10,14,0,3,0,0,All
Frank Bennett,,,,,,4,10,15,5,9,0,22,39,37,21,19,24,20,18,22,13,23,28,9,8,12,24,9,13,4,9,8,8,0,0,All
Joe Fernandes,,,,,,,0,12,11,4,0,20,36,28,28,17,23,14,19,19,17,20,16,10,9,12,18,18,10,8,8,7,2,0,0,All
Robert M Kline,,,,,,,,0,5,6,0,23,37,32,23,23,21,17,23,18,10,19,23,11,8,10,11,10,6,8,5,3,7,0,1,All
Daine A Grey Jr,,,,,,,,,0,4,0,26,23,16,9,16,21,21,15,17,11,9,16,27,15,10,8,12,1,19,5,5,7,0,0,All
Conor Corcoran,,,,,,,,,,0,0,6,23,20,8,6,10,4,14,9,12,19,12,5,6,9,6,2,19,5,2,13,7,0,0,All
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Timika Lane,,,,,,,,,,,,3,165,144,202,126,110,128,114,106,99,25,30,36,36,16,9,19,8,13,12,4,7,0,0,All
Anne Marie Coyle,,,,,,,,,,,,,3,152,168,98,74,109,128,120,82,58,44,33,14,32,20,17,18,15,11,16,11,0,0,All
Daniel D Mccaffery,,,,,,,,,,,,,,2,161,177,156,47,39,48,133,80,43,33,23,24,26,12,20,7,9,11,6,1,1,All
Joe Fernandes,,,,,,,,,,,,,,,4,127,115,96,103,98,115,33,22,13,16,11,8,10,8,3,5,8,4,0,1,All
Dawn M Tancredi,,,,,,,,,,,,,,,,2,130,45,42,27,111,40,23,32,19,22,12,6,4,12,9,3,2,0,0,All
Giovanni Campbell,,,,,,,,,,,,,,,,,1,50,27,40,88,46,27,37,36,4,13,21,15,15,9,7,5,0,0,All
Sierra Thomas Street,,,,,,,,,,,,,,,,,,4,105,95,3,24,30,36,28,14,9,18,5,13,16,3,5,1,0,All
Tracy B Roman,,,,,,,,,,,,,,,,,,,0,103,17,24,21,23,15,18,8,7,9,10,13,9,5,0,1,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,2,21,15,21,18,16,9,11,10,12,7,11,4,5,0,1,All
James C Crumlish,,,,,,,,,,,,,,,,,,,,,1,18,13,15,3,11,7,9,6,6,4,6,4,0,0,All
John J O Connor Jr,,,,,,,,,,,,,,,,,,,,,,3,28,23,6,13,14,6,16,7,3,10,5,0,0,All
Kenneth J Powell Jr,,,,,,,,,,,,,,,,,,,,,,,0,14,12,10,15,12,9,9,7,4,6,0,0,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,0,17,16,2,11,5,12,12,5,9,0,0,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,1,6,9,12,9,11,10,1,2,1,0,All
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,6,8,6,6,5,2,0,0,All
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,11,6,8,5,2,0,0,All
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,8,3,2,0,0,All
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,6,7,7,0,0,All
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,3,3,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,All
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,354,350,348,257,100,81,76,73,59,44,0,352,348,334,314,245,232,209,202,186,183,128,92,89,65,59,57,51,43,43,38,27,22,1,1,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,Henry Lewandowski,Fran Shields,Martin Coleman,Tracy B Roman,Frank Bennett,Robert M Kline,Conor Corcoran,Shoshana Bricklin,Joe Fernandes,Daine A Grey Jr,Derrick W Coker,Anne Marie Coyle,Daniel D Mccaffery,Dawn M Tancredi,James C Crumlish,Timika Lane,Giovanni Campbell,Joe Fernandes,Sierra Thomas Street,Vince Giusini,Kenneth J Powell Jr,Stephanie M Sawyer,Tracy B Roman,Conor Corcoran,Deborah D Cianfrani,John J O Connor Jr,Jon Marshall,Leon A King Ii,Rania Major,Sean P Stevens,Daine A Grey Jr,Derrick W Coker,Fran Shields,Frank Bennett,Katie Scrivner,1
Henry Lewandowski,0,15,11,5,2,0,3,3,0,0,0,14,16,13,10,5,9,10,6,6,3,3,4,2,0,3,0,2,1,0,0,0,0,0,0,1
Fran Shields,,1,9,2,1,3,1,3,0,0,0,14,17,14,10,3,11,8,3,3,3,3,2,2,1,3,1,2,1,1,1,0,0,0,0,1
Martin Coleman,,,0,4,1,1,0,0,0,0,0,12,10,8,8,7,5,8,4,4,3,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1
Tracy B Roman,,,,0,1,1,0,0,1,0,0,6,4,2,1,5,1,3,5,4,1,1,6,0,1,0,0,1,0,0,0,0,0,0,0,1
Frank Bennett,,,,,0,1,2,0,0,0,0,3,2,2,1,1,1,0,1,1,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1
Robert M Kline,,,,,,0,0,0,0,0,0,3,2,1,1,1,2,0,1,1,2,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1
Conor Corcoran,,,,,,,0,0,0,0,0,2,2,2,2,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Shoshana Bricklin,,,,,,,,0,0,0,0,0,3,2,0,0,3,0,2,1,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,1
Joe Fernandes,,,,,,,,,0,0,0,2,1,0,1,1,0,0,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anne Marie Coyle,,,,,,,,,,,,0,16,11,12,8,8,10,5,4,4,3,5,1,2,1,2,1,2,1,1,0,0,0,0,1
Daniel D Mccaffery,,,,,,,,,,,,,0,15,11,5,10,9,4,4,4,5,3,2,2,3,0,2,1,0,1,0,0,0,0,1
Dawn M Tancredi,,,,,,,,,,,,,,0,8,5,7,6,4,2,4,2,1,1,1,3,0,0,1,1,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,,,,0,1,6,7,0,2,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
Timika Lane,,,,,,,,,,,,,,,,1,0,4,6,3,2,2,4,0,1,1,1,0,1,1,0,0,0,0,0,1
Giovanni Campbell,,,,,,,,,,,,,,,,,0,5,2,2,2,3,1,2,0,2,1,2,0,1,1,0,0,0,0,1
Joe Fernandes,,,,,,,,,,,,,,,,,,0,2,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1
