col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Robert M Kline,Daine A Grey Jr,Joe Fernandes,Frank Bennett,Conor Corcoran,Derrick W Coker,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Warren Bloom,Donna Marie Laws,Lewis Harris Jr,Tia M Seibert,Inja Coates,Suzanne Harmon Carn,Bobbie T Curry,Ashley Michelle Cook,Sharif Ali,Tyrone T Martin,Jose A Figueroa,Robert Tuerk,Ryan Mulvey,Brigitte A Garvin Johnson,David Mamikonyan,Bruce H Bailey,Holly A Harris Seidle,Wayne E Dorsey,Keith Jackson,Verna Ragan Tennant,James Johnson,Kyle J Sampson,All
Martin Coleman,631,"18,459","13,631","8,972","2,735","2,120","1,803","1,989","1,400",513,7,"14,593","9,488","9,540","5,760","2,811","5,830","5,154","2,767","3,394","2,206","1,211","1,266","1,190",887,"1,733",988,837,"1,236",803,620,675,629,455,522,421,All
Henry Lewandowski,,"1,781","12,797","8,035","2,517","1,481",621,"1,199",978,793,15,"14,243","10,120","9,874","5,274","3,011","4,731","4,478","1,569","2,898","1,877",959,735,659,928,697,"1,127",597,"1,462",733,589,490,337,447,312,299,All
Fran Shields,,,519,"2,454","3,411","1,792","1,709","1,341","1,068",693,8,"11,291","10,830","9,866","1,059","3,125",717,916,"2,491","1,389",561,"1,200",874,643,807,"1,170","1,171",923,392,581,739,613,405,619,355,375,All
Tracy B Roman,,,,599,"3,157","1,671","2,047","1,365","1,378",514,8,"5,061","1,429","1,260","6,196","3,102","5,531","5,565","1,523","3,704","2,057","1,597","1,212","1,226",848,570,475,946,"1,166",745,722,561,553,587,422,346,All
Shoshana Bricklin,,,,,377,"1,292","1,552",917,980,347,5,"2,691","2,030",859,951,"3,097",688,"1,142","3,528","1,123",404,"1,087",848,970,503,831,349,676,274,718,566,362,291,421,228,238,All
Robert M Kline,,,,,,127,"1,039","1,087","1,026",523,3,"1,026",720,562,"1,042","1,522",745,728,973,781,505,876,501,578,473,434,720,517,383,752,443,400,337,258,260,294,All
Daine A Grey Jr,,,,,,,157,"1,238",631,395,2,"1,356",795,459,469,"1,312",488,627,996,671,294,814,911,776,520,259,236,570,140,307,525,356,482,304,407,260,All
Joe Fernandes,,,,,,,,132,682,419,9,"1,296",859,665,527,"1,034",519,487,714,532,336,586,700,445,918,359,449,526,283,294,294,405,298,256,320,282,All
