col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,District Attorney - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,R Seth Williams,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Daine A Grey Jr,Shoshana Bricklin,Frank Bennett,Joe Fernandes,Robert M Kline,Conor Corcoran,Derrick W Coker,All
R Seth Williams,78,424,365,322,291,164,164,92,86,72,16,1,All
Martin Coleman,,8,257,198,132,59,34,38,32,24,3,0,All
Henry Lewandowski,,,3,200,108,17,50,11,18,15,1,1,All
Fran Shields,,,,34,49,34,66,25,12,18,3,1,All
Tracy B Roman,,,,,11,58,60,35,24,24,6,0,All
Daine A Grey Jr,,,,,,10,44,19,29,19,7,0,All
Shoshana Bricklin,,,,,,,3,18,17,18,3,0,All
Frank Bennett,,,,,,,,3,18,11,4,0,All
Joe Fernandes,,,,,,,,,5,16,3,0,All
Robert M Kline,,,,,,,,,,3,3,0,All
Conor Corcoran,,,,,,,,,,,1,0,All
Derrick W Coker,,,,,,,,,,,,0,All
Total,903,457,386,381,321,190,180,101,100,90,20,1,All
,District Attorney - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,,,,1
,R Seth Williams,Martin Coleman,Daine A Grey Jr,Tracy B Roman,Henry Lewandowski,Joe Fernandes,Fran Shields,Robert M Kline,Shoshana Bricklin,Frank Bennett,Conor Corcoran,Derrick W Coker,1
R Seth Williams,2,8,7,4,5,3,4,3,1,1,0,0,1
Martin Coleman,,0,3,4,3,0,2,2,0,1,0,0,1
Daine A Grey Jr,,,1,1,2,3,2,1,1,1,0,0,1
Tracy B Roman,,,,0,2,1,1,2,1,0,0,0,1
Henry Lewandowski,,,,,0,2,1,0,0,0,0,0,1
Joe Fernandes,,,,,,2,0,1,1,0,0,0,1
Fran Shields,,,,,,,0,0,0,0,0,0,1
Robert M Kline,,,,,,,,0,0,0,0,0,1
Shoshana Bricklin,,,,,,,,,0,0,0,0,1
Frank Bennett,,,,,,,,,,0,0,0,1
Conor Corcoran,,,,,,,,,,,0,0,1
Derrick W Coker,,,,,,,,,,,,0,1
Total,17,9,8,7,6,6,4,4,2,1,0,0,1
,District Attorney - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,,,,2
,R Seth Williams,Fran Shields,Martin Coleman,Henry Lewandowski,Tracy B Roman,Shoshana Bricklin,Frank Bennett,Joe Fernandes,Robert M Kline,Conor Corcoran,Daine A Grey Jr,Derrick W Coker,2
R Seth Williams,1,13,10,11,10,8,5,4,3,2,2,0,2
Fran Shields,,2,4,8,2,5,2,2,1,0,0,0,2
Martin Coleman,,,1,6,5,1,3,2,0,1,1,0,2
Henry Lewandowski,,,,0,2,4,0,0,0,0,0,0,2
Tracy B Roman,,,,,0,1,1,2,2,1,0,0,2
Shoshana Bricklin,,,,,,0,1,1,1,0,0,0,2
Frank Bennett,,,,,,,0,1,0,1,1,0,2
Joe Fernandes,,,,,,,,0,0,1,0,0,2
Robert M Kline,,,,,,,,,0,0,0,0,2
Conor Corcoran,,,,,,,,,,0,0,0,2
Daine A Grey Jr,,,,,,,,,,,0,0,2
Derrick W Coker,,,,,,,,,,,,0,2
Total,33,18,15,13,12,9,5,5,3,2,2,0,2
,District Attorney - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,,,,3
,R Seth Williams,Fran Shields,Martin Coleman,Tracy B Roman,Henry Lewandowski,Shoshana Bricklin,Robert M Kline,Daine A Grey Jr,Joe Fernandes,Conor Corcoran,Derrick W Coker,Frank Bennett,3
R Seth Williams,4,11,11,11,11,6,2,2,2,0,0,0,3
Fran Shields,,2,7,4,4,5,2,0,1,1,0,0,3
Martin Coleman,,,1,4,7,1,0,0,0,0,0,0,3
Tracy B Roman,,,,0,6,4,1,2,1,0,0,0,3
Henry Lewandowski,,,,,0,0,0,0,1,0,0,0,3
Shoshana Bricklin,,,,,,0,1,1,0,0,0,0,3
Robert M Kline,,,,,,,0,1,0,1,0,0,3
Daine A Grey Jr,,,,,,,,0,0,0,0,0,3
Joe Fernandes,,,,,,,,,0,0,0,0,3
Conor Corcoran,,,,,,,,,,0,0,0,3
Derrick W Coker,,,,,,,,,,,0,0,3
Frank Bennett,,,,,,,,,,,,0,3
Total,26,15,13,12,11,6,3,2,2,1,0,0,3
,District Attorney - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,,,,4
,R Seth Williams,Henry Lewandowski,Fran Shields,Tracy B Roman,Martin Coleman,Shoshana Bricklin,Daine A Grey Jr,Frank Bennett,Joe Fernandes,Conor Corcoran,Derrick W Coker,Robert M Kline,4
R Seth Williams,0,7,6,4,5,5,3,2,2,0,0,0,4
Henry Lewandowski,,0,5,0,2,3,0,0,0,0,0,0,4
Fran Shields,,,0,0,2,2,1,0,1,0,0,0,4
Tracy B Roman,,,,2,1,1,1,1,0,0,0,0,4
Martin Coleman,,,,,0,0,0,2,0,0,0,0,4
Shoshana Bricklin,,,,,,0,2,0,1,0,0,0,4
Daine A Grey Jr,,,,,,,0,0,2,0,0,0,4
Frank Bennett,,,,,,,,1,0,0,0,0,4
Joe Fernandes,,,,,,,,,0,0,0,0,4
Conor Corcoran,,,,,,,,,,0,0,0,4
Derrick W Coker,,,,,,,,,,,0,0,4
Robert M Kline,,,,,,,,,,,,0,4
Total,15,7,6,6,5,5,3,3,2,0,0,0,4
,District Attorney - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,,,,5
,R Seth Williams,Henry Lewandowski,Fran Shields,Tracy B Roman,Martin Coleman,Shoshana Bricklin,Daine A Grey Jr,Frank Bennett,Joe Fernandes,Conor Corcoran,Derrick W Coker,Robert M Kline,5
R Seth Williams,2,10,8,8,7,5,3,2,2,0,0,0,5
Henry Lewandowski,,0,6,3,4,4,1,0,2,0,0,0,5
Fran Shields,,,1,2,4,3,1,0,0,0,0,0,5
Tracy B Roman,,,,0,4,1,3,2,1,0,0,0,5
Martin Coleman,,,,,0,0,1,1,0,0,0,0,5
Shoshana Bricklin,,,,,,0,0,1,1,0,0,0,5
Daine A Grey Jr,,,,,,,0,0,0,0,0,0,5
Frank Bennett,,,,,,,,0,0,0,0,0,5
Joe Fernandes,,,,,,,,,0,0,0,0,5
Conor Corcoran,,,,,,,,,,0,0,0,5
Derrick W Coker,,,,,,,,,,,0,0,5
Robert M Kline,,,,,,,,,,,,0,5
Total,17,10,9,8,7,5,3,2,2,0,0,0,5
,District Attorney - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,,,,6
,R Seth Williams,Daine A Grey Jr,Tracy B Roman,Henry Lewandowski,Martin Coleman,Fran Shields,Joe Fernandes,Shoshana Bricklin,Frank Bennett,Robert M Kline,Conor Corcoran,Derrick W Coker,6
R Seth Williams,7,17,22,19,19,11,8,8,7,4,0,0,6
Daine A Grey Jr,,4,5,2,5,5,5,3,1,2,0,0,6
Tracy B Roman,,,0,10,10,2,2,2,4,2,0,0,6
