col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Timika Lane,Daniel D Mccaffery,Leon A King Ii,Giovanni Campbell,Joe Fernandes,Anne Marie Coyle,Sierra Thomas Street,Dawn M Tancredi,Vince Giusini,James C Crumlish,Tracy B Roman,Stephanie M Sawyer,Conor Corcoran,Derrick W Coker,Deborah D Cianfrani,Frank Bennett,John J O Connor Jr,Kenneth J Powell Jr,Rania Major,Daine A Grey Jr,Fran Shields,Jon Marshall,Katie Scrivner,Sean P Stevens,Omar Sabir,Marnie Aument Loughrey,Donna Derose,Suzanne Harmon Carn,Donna Marie Laws,Lewis Harris Jr,Inja Coates,Warren Bloom,Tia M Seibert,Bobbie T Curry,David Mamikonyan,Robert Tuerk,Verna Ragan Tennant,Ashley Michelle Cook,Brigitte A Garvin Johnson,Bruce H Bailey,Holly A Harris Seidle,James Johnson,Jose A Figueroa,Keith Jackson,Kyle J Sampson,Ryan Mulvey,Sharif Ali,Tyrone T Martin,Wayne E Dorsey,1
Timika Lane,1,17,20,13,17,9,10,12,7,6,4,3,2,1,1,0,0,1,1,0,0,0,0,0,19,16,10,8,4,5,2,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Daniel D Mccaffery,,0,20,16,11,7,7,12,5,6,0,3,2,1,0,1,1,0,1,0,0,0,0,0,16,16,15,4,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Leon A King Ii,,,0,15,13,6,6,11,6,5,2,3,3,1,0,0,0,1,1,0,0,0,0,0,18,17,12,6,5,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Giovanni Campbell,,,,0,5,6,7,7,5,0,1,4,3,0,1,1,1,1,0,0,0,0,0,0,10,10,11,3,4,0,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joe Fernandes,,,,,0,5,5,11,4,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,14,12,4,8,0,5,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anne Marie Coyle,,,,,,0,10,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,2,1,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sierra Thomas Street,,,,,,,0,2,7,0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,9,4,5,3,1,4,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dawn M Tancredi,,,,,,,,0,0,5,0,2,0,0,1,0,1,0,1,0,0,0,0,0,11,10,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vince Giusini,,,,,,,,,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,4,2,5,2,5,4,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,1,3,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,0,1,1,1,0,1,0,0,0,0,0,0,0,2,0,3,1,3,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
John J O Connor Jr,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
