col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Tracy B Roman,Fran Shields,Shoshana Bricklin,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Frank Bennett,Conor Corcoran,Derrick W Coker,Omar Sabir,Marnie Aument Loughrey,Donna Derose,Warren Bloom,Lewis Harris Jr,Tia M Seibert,Holly A Harris Seidle,Donna Marie Laws,Suzanne Harmon Carn,Wayne E Dorsey,Sharif Ali,Bobbie T Curry,Tyrone T Martin,Ashley Michelle Cook,Inja Coates,David Mamikonyan,Bruce H Bailey,Brigitte A Garvin Johnson,Keith Jackson,Verna Ragan Tennant,James Johnson,Kyle J Sampson,Jose A Figueroa,Robert Tuerk,Ryan Mulvey,All
Martin Coleman,13,552,247,331,35,24,20,24,23,5,0,442,292,259,178,174,157,51,38,65,41,34,46,30,28,28,31,23,15,14,15,15,8,6,6,7,All
Henry Lewandowski,,2,215,327,30,8,13,7,3,2,2,411,286,269,163,146,135,46,37,49,24,17,33,13,10,19,23,11,10,5,13,7,2,6,2,5,All
Tracy B Roman,,,7,42,41,33,20,29,20,5,1,137,21,19,192,171,166,42,48,60,23,25,43,31,28,24,25,18,16,6,10,8,2,6,3,4,All
Fran Shields,,,,5,36,15,10,11,18,6,0,317,288,272,20,15,20,45,37,11,32,25,9,15,15,12,3,10,9,7,9,6,6,6,6,2,All
Shoshana Bricklin,,,,,1,25,6,17,18,4,0,42,9,24,14,10,15,17,40,12,10,13,5,22,12,26,4,15,5,2,8,1,4,2,2,3,All
Daine A Grey Jr,,,,,,1,14,8,8,7,0,30,7,11,4,7,9,18,16,7,17,15,2,21,13,15,1,0,6,10,2,8,2,7,3,1,All
Joe Fernandes,,,,,,,2,6,11,5,1,29,13,10,7,9,9,11,5,5,9,8,1,7,8,3,1,2,5,5,1,10,5,2,1,1,All
Robert M Kline,,,,,,,,2,12,3,0,16,10,9,9,7,9,5,17,9,11,5,7,8,10,10,3,11,4,2,3,4,3,2,1,4,All
Frank Bennett,,,,,,,,,0,1,0,18,6,3,9,10,5,5,16,5,11,9,5,9,11,11,1,13,2,5,4,5,0,4,0,4,All
Conor Corcoran,,,,,,,,,,3,0,5,3,4,3,3,3,8,3,1,4,3,0,1,3,1,0,1,2,7,0,0,3,5,1,0,All
