col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,All
,Timika Lane,Joe Fernandes,Daniel D Mccaffery,Sierra Thomas Street,Anne Marie Coyle,Kenneth J Powell Jr,Dawn M Tancredi,Vince Giusini,Tracy B Roman,James C Crumlish,Stephanie M Sawyer,Giovanni Campbell,Rania Major,Leon A King Ii,John J O Connor Jr,Deborah D Cianfrani,Frank Bennett,Derrick W Coker,Sean P Stevens,Daine A Grey Jr,Conor Corcoran,Jon Marshall,Katie Scrivner,Fran Shields,Alan Butkovitz,Brett Mandel,Mark Zecca,All
Rania Major,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,2,0,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,3,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,1,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1
Alan Butkovitz,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Brett Mandel,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Mark Zecca,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,17,14,10,9,8,6,5,5,5,4,4,3,3,3,3,3,3,3,2,1,1,1,1,1,16,4,3,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,2
,Joe Fernandes,Vince Giusini,Tracy B Roman,Anne Marie Coyle,Sierra Thomas Street,Timika Lane,Daniel D Mccaffery,Kenneth J Powell Jr,Giovanni Campbell,James C Crumlish,Stephanie M Sawyer,Dawn M Tancredi,Deborah D Cianfrani,Sean P Stevens,Daine A Grey Jr,Rania Major,Conor Corcoran,Derrick W Coker,Frank Bennett,John J O Connor Jr,Jon Marshall,Katie Scrivner,Leon A King Ii,Fran Shields,Brett Mandel,Alan Butkovitz,Mark Zecca,2
Joe Fernandes,1,7,5,6,5,5,5,4,1,2,1,2,1,1,0,2,1,0,1,1,0,0,1,0,4,5,0,2
Vince Giusini,,1,5,5,3,3,3,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,2,1,2
Tracy B Roman,,,0,6,5,4,2,3,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,3,3,2,2
Anne Marie Coyle,,,,0,4,4,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,1,2
Sierra Thomas Street,,,,,0,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,2
Timika Lane,,,,,,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2
