col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Controller - Democrat,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Alan Butkovitz,Brett Mandel,Mark Zecca,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Warren Bloom,Donna Marie Laws,Lewis Harris Jr,Tia M Seibert,Inja Coates,Suzanne Harmon Carn,Bobbie T Curry,Ashley Michelle Cook,Sharif Ali,Tyrone T Martin,Jose A Figueroa,Robert Tuerk,Ryan Mulvey,Brigitte A Garvin Johnson,David Mamikonyan,Bruce H Bailey,Holly A Harris Seidle,Wayne E Dorsey,Keith Jackson,Verna Ragan Tennant,James Johnson,Kyle J Sampson,All
Alan Butkovitz,"5,308",0,0,"15,467","10,320","9,345","5,593","4,750","4,880","4,567","3,184","3,478","1,860","1,620","1,669","1,518","1,307","1,074","1,465","1,154","1,241","1,127",966,872,735,722,605,531,All
Brett Mandel,,"4,033",0,"3,696","2,119","1,612","2,332","2,490","2,224","2,222","2,665","2,161","1,307","1,448","1,129",893,828,"1,524",678,880,734,685,694,597,565,454,496,372,All
Mark Zecca,,,860,"1,067",602,416,670,580,621,666,497,608,440,384,287,242,324,164,269,247,379,202,210,169,152,163,160,129,All
Omar Sabir,,,,"1,075","8,258","8,824","1,298","2,453","1,319","1,146",842,"1,477",908,601,"1,413",899,577,205,521,385,537,283,309,340,279,271,210,159,All
Donna Derose,,,,,211,"8,098",240,"1,660",143,232,"1,413",337,125,334,251,184,421,799,713,261,136,149,350,146,107,143,209,94,All
Marnie Aument Loughrey,,,,,,167,282,681,144,201,345,493,110,238,205,200,375,142,303,188,123,127,229,130,71,138,71,44,All
Warren Bloom,,,,,,,210,606,"4,036","3,863",322,"1,183",828,272,170,236,177,153,210,170,473,380,185,164,136,216,111,108,All
Donna Marie Laws,,,,,,,,280,502,673,"1,025","1,031",384,992,709,495,376,319,325,541,153,483,341,283,268,222,184,229,All
Lewis Harris Jr,,,,,,,,,210,"3,383",248,"1,191",780,294,216,291,122,54,176,165,419,265,111,184,163,75,129,113,All
Tia M Seibert,,,,,,,,,,146,302,"1,195",818,425,236,181,137,75,112,240,351,141,152,102,97,119,62,102,All
Inja Coates,,,,,,,,,,,261,295,146,290,255,559,217,"1,446",106,218,80,372,170,170,90,108,70,85,All
Suzanne Harmon Carn,,,,,,,,,,,,294,685,660,182,161,163,94,156,300,533,172,197,113,106,121,68,116,All
Bobbie T Curry,,,,,,,,,,,,,85,184,112,114,90,60,163,103,524,136,54,89,66,44,62,67,All
Ashley Michelle Cook,,,,,,,,,,,,,,70,303,233,175,103,245,377,75,217,238,172,184,146,138,115,All
Sharif Ali,,,,,,,,,,,,,,,74,269,314,47,58,184,55,77,129,152,231,97,288,107,All
Tyrone T Martin,,,,,,,,,,,,,,,,180,122,57,96,155,56,180,94,158,165,90,110,85,All
Jose A Figueroa,,,,,,,,,,,,,,,,,280,103,156,138,100,108,182,108,198,99,111,72,All
Robert Tuerk,,,,,,,,,,,,,,,,,,47,80,64,61,56,120,63,47,51,60,42,All
Ryan Mulvey,,,,,,,,,,,,,,,,,,,65,101,183,262,89,130,67,69,52,109,All
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,,,,,,71,61,125,186,133,122,177,115,73,All
David Mamikonyan,,,,,,,,,,,,,,,,,,,,,50,90,64,43,36,42,24,63,All
Bruce H Bailey,,,,,,,,,,,,,,,,,,,,,,66,58,109,90,154,64,91,All
Holly A Harris Seidle,,,,,,,,,,,,,,,,,,,,,,,111,61,116,96,69,41,All
Wayne E Dorsey,,,,,,,,,,,,,,,,,,,,,,,,59,101,117,95,92,All
Keith Jackson,,,,,,,,,,,,,,,,,,,,,,,,,38,51,194,61,All
Verna Ragan Tennant,,,,,,,,,,,,,,,,,,,,,,,,,,124,38,49,All
James Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,55,56,All
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,All
Total,"38,236","19,210","4,940","23,008","14,289","12,730","9,420","8,762","8,579","8,133","7,043","6,955","3,930","3,857","3,439","3,215","3,029","2,971","2,711","2,580","2,556","2,391","2,155","1,888","1,678","1,670","1,489","1,179",All
