col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Robert M Kline,Daine A Grey Jr,Joe Fernandes,Frank Bennett,Conor Corcoran,Derrick W Coker,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Lewis Harris Jr,Warren Bloom,Tia M Seibert,Donna Marie Laws,Suzanne Harmon Carn,Tyrone T Martin,Sharif Ali,Bobbie T Curry,Inja Coates,Ashley Michelle Cook,Holly A Harris Seidle,David Mamikonyan,Wayne E Dorsey,Brigitte A Garvin Johnson,Bruce H Bailey,Keith Jackson,Jose A Figueroa,Verna Ragan Tennant,James Johnson,Ryan Mulvey,Robert Tuerk,Kyle J Sampson,All
James Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Ryan Mulvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,All
Robert Tuerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,All
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,863,822,559,486,166,111,109,104,100,67,3,700,451,407,347,249,226,153,127,93,91,87,75,70,60,59,56,55,50,44,37,34,31,24,23,22,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Henry Lewandowski,Martin Coleman,Fran Shields,Tracy B Roman,Shoshana Bricklin,Conor Corcoran,Joe Fernandes,Robert M Kline,Daine A Grey Jr,Derrick W Coker,Frank Bennett,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Lewis Harris Jr,Tia M Seibert,Warren Bloom,Holly A Harris Seidle,Ashley Michelle Cook,Bruce H Bailey,David Mamikonyan,James Johnson,Jose A Figueroa,Ryan Mulvey,Sharif Ali,Suzanne Harmon Carn,Tyrone T Martin,Verna Ragan Tennant,Bobbie T Curry,Brigitte A Garvin Johnson,Donna Marie Laws,Inja Coates,Keith Jackson,Kyle J Sampson,Robert Tuerk,Wayne E Dorsey,1
Henry Lewandowski,0,10,8,2,1,1,1,0,0,0,0,8,7,8,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Martin Coleman,,0,8,4,1,0,0,0,0,0,0,9,8,7,2,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Fran Shields,,,0,2,1,0,0,0,0,0,0,8,8,8,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,0,1,0,0,0,0,0,0,2,1,0,2,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Shoshana Bricklin,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Conor Corcoran,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joe Fernandes,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
