col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joe Fernandes,Timika Lane,Rania Major,Daniel D Mccaffery,Dawn M Tancredi,Kenneth J Powell Jr,Tracy B Roman,Sierra Thomas Street,Vince Giusini,Anne Marie Coyle,Giovanni Campbell,Leon A King Ii,Stephanie M Sawyer,James C Crumlish,John J O Connor Jr,Deborah D Cianfrani,Frank Bennett,Jon Marshall,Conor Corcoran,Derrick W Coker,Sean P Stevens,Daine A Grey Jr,Katie Scrivner,Fran Shields,Omar Sabir,Inja Coates,Jose A Figueroa,Donna Derose,Tia M Seibert,Lewis Harris Jr,Warren Bloom,Marnie Aument Loughrey,Suzanne Harmon Carn,Bobbie T Curry,Donna Marie Laws,Ashley Michelle Cook,David Mamikonyan,Sharif Ali,Tyrone T Martin,Bruce H Bailey,Holly A Harris Seidle,Kyle J Sampson,Robert Tuerk,Brigitte A Garvin Johnson,Verna Ragan Tennant,James Johnson,Ryan Mulvey,Keith Jackson,Wayne E Dorsey,All
Joe Fernandes,10,140,102,101,94,85,54,57,67,48,15,5,10,8,5,4,8,5,3,3,3,3,0,0,138,88,61,39,27,28,26,23,12,15,7,3,10,2,4,1,1,3,1,1,3,0,2,2,1,All
Timika Lane,,3,86,85,86,82,43,51,39,44,9,7,8,3,5,6,6,2,4,3,0,1,0,0,119,82,10,37,28,27,28,8,12,11,5,5,8,3,2,0,1,0,1,3,2,0,1,3,1,All
Rania Major,,,10,88,89,76,11,8,22,4,11,16,12,10,5,8,2,1,4,5,0,1,1,0,98,86,34,31,1,2,4,16,3,3,6,4,0,4,4,0,2,3,4,4,1,0,2,3,2,All
Daniel D Mccaffery,,,,2,95,85,3,5,22,6,5,6,8,13,7,4,6,2,1,1,3,0,0,0,95,88,15,33,1,2,4,17,2,2,5,0,1,2,1,4,0,2,0,1,2,0,0,1,1,All
Dawn M Tancredi,,,,,1,86,8,14,13,4,16,8,4,1,6,6,6,1,4,1,1,0,1,0,94,90,12,32,4,0,1,10,2,1,7,3,1,1,3,4,1,2,1,2,1,0,1,1,0,All
Kenneth J Powell Jr,,,,,,0,9,12,9,4,8,7,3,1,6,3,6,2,1,1,3,0,2,0,90,83,8,25,1,3,5,2,0,1,7,4,2,5,4,4,0,1,1,2,1,0,1,1,0,All
Tracy B Roman,,,,,,,1,48,38,40,5,5,6,3,8,5,1,4,4,2,1,1,0,0,17,7,19,7,24,27,26,2,11,12,6,5,8,4,2,3,2,2,0,2,2,0,0,1,1,All
Sierra Thomas Street,,,,,,,,2,43,43,13,5,6,2,6,4,1,3,2,2,1,1,0,0,25,9,16,9,28,27,26,9,12,12,6,6,8,2,4,2,1,1,1,1,2,0,0,0,1,All
Vince Giusini,,,,,,,,,0,35,7,3,7,10,3,1,2,1,2,2,1,2,0,0,32,9,21,5,23,23,25,23,7,12,4,0,7,1,0,1,0,3,1,0,0,0,2,0,0,All
Anne Marie Coyle,,,,,,,,,,1,2,0,6,3,1,4,2,2,1,1,2,1,0,0,17,6,7,5,26,25,25,5,10,10,3,3,8,1,2,0,2,1,0,0,1,1,0,1,0,All
Giovanni Campbell,,,,,,,,,,,0,5,4,0,5,1,1,1,2,1,0,0,0,0,9,8,12,6,2,1,1,9,2,1,7,6,1,0,2,4,0,0,2,0,0,0,1,0,0,All
Leon A King Ii,,,,,,,,,,,,1,3,5,4,5,3,0,3,2,2,0,0,0,4,10,8,7,0,1,2,3,0,3,4,4,0,4,1,0,1,3,2,2,2,1,0,0,2,All
Stephanie M Sawyer,,,,,,,,,,,,,0,8,2,6,0,5,1,0,3,3,0,0,9,3,12,4,3,1,0,10,2,1,3,5,0,3,3,1,3,0,1,2,0,2,0,0,1,All
James C Crumlish,,,,,,,,,,,,,,0,4,2,1,3,0,2,3,4,0,0,7,0,8,4,0,0,2,12,1,1,2,2,0,3,0,0,3,1,0,0,1,3,0,1,1,All
John J O Connor Jr,,,,,,,,,,,,,,,0,1,2,0,0,3,1,1,0,0,3,4,4,2,3,3,1,1,1,2,5,4,1,2,1,5,0,0,1,0,1,0,0,1,1,All
Deborah D Cianfrani,,,,,,,,,,,,,,,,0,2,1,1,2,2,0,0,0,2,2,3,1,2,1,1,4,1,0,6,3,1,1,3,1,1,2,0,2,1,0,0,1,1,All
Frank Bennett,,,,,,,,,,,,,,,,,0,0,2,1,0,1,0,0,6,4,2,0,0,0,2,2,0,0,2,1,0,1,2,0,0,0,1,0,1,0,0,1,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,0,1,0,3,4,0,0,3,0,5,3,0,0,2,1,1,2,0,0,1,3,1,1,3,1,1,1,0,2,0,0,1,All
Conor Corcoran,,,,,,,,,,,,,,,,,,,0,2,0,1,0,0,3,1,3,1,0,0,1,1,0,1,1,1,0,0,0,0,1,2,1,1,2,0,1,0,2,All
Derrick W Coker,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,2,0,0,1,1,2,0,2,1,0,0,2,0,0,1,0,1,1,0,1,1,1,All
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,0,3,0,0,1,1,3,4,0,0,0,2,0,1,1,1,0,1,1,0,2,1,0,0,1,2,0,0,0,All
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,3,3,0,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,1,0,0,All
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Omar Sabir,,,,,,,,,,,,,,,,,,,,,,,,,1,86,20,31,4,4,8,15,5,7,6,0,4,5,0,0,0,1,0,2,1,0,0,1,1,All
Inja Coates,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,30,1,1,3,4,1,0,2,1,0,4,0,4,1,2,0,1,0,0,0,1,0,All
Jose A Figueroa,,,,,,,,,,,,,,,,,,,,,,,,,,,12,22,2,3,2,19,0,1,4,4,0,2,3,0,1,1,3,0,2,1,1,0,0,All
Donna Derose,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,1,1,4,0,0,3,0,0,1,1,0,2,0,0,0,1,3,1,0,0,All
Tia M Seibert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,18,0,3,5,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,All
Lewis Harris Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,0,4,4,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,All
Warren Bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,3,2,1,1,1,0,1,0,2,0,0,1,0,0,0,0,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,2,1,0,1,1,2,1,0,0,0,1,0,0,0,All
Suzanne Harmon Carn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,2,0,1,0,1,0,0,2,0,0,0,1,0,All
Bobbie T Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,5,0,0,0,0,0,2,0,1,0,0,0,2,All
Donna Marie Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,3,2,0,1,1,0,0,0,0,1,0,All
Ashley Michelle Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,1,1,0,0,1,1,All
David Mamikonyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,0,0,0,0,0,0,0,0,0,All
Sharif Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,1,0,0,0,All
