col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,1
,Anne Marie Coyle,Daniel D Mccaffery,Dawn M Tancredi,Vince Giusini,Joe Fernandes,John J O Connor Jr,Tracy B Roman,Conor Corcoran,Kenneth J Powell Jr,James C Crumlish,Timika Lane,Giovanni Campbell,Stephanie M Sawyer,Daine A Grey Jr,Deborah D Cianfrani,Leon A King Ii,Sierra Thomas Street,Rania Major,Derrick W Coker,Fran Shields,Frank Bennett,Jon Marshall,Katie Scrivner,Sean P Stevens,R Seth Williams,1
Anne Marie Coyle,0,25,12,11,10,10,10,9,9,8,8,6,4,4,4,4,3,1,0,0,0,0,0,0,27,1
Daniel D Mccaffery,,1,10,7,7,9,8,7,8,5,8,8,7,3,4,5,3,0,0,0,0,0,0,0,21,1
Dawn M Tancredi,,,0,1,5,4,4,2,3,3,6,2,2,1,3,1,2,0,0,0,0,0,0,0,13,1
Vince Giusini,,,,0,3,3,4,6,2,3,2,4,2,1,0,2,0,1,0,0,0,0,0,0,10,1
Joe Fernandes,,,,,0,0,1,0,1,4,5,2,2,1,0,1,1,0,0,0,0,0,0,0,10,1
John J O Connor Jr,,,,,,0,2,4,4,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,8,1
Tracy B Roman,,,,,,,0,2,4,0,3,1,1,3,3,0,1,1,0,0,0,0,0,0,9,1
Conor Corcoran,,,,,,,,0,0,2,1,6,3,0,0,3,0,0,0,0,0,0,0,0,10,1
Kenneth J Powell Jr,,,,,,,,,0,1,1,0,1,3,3,2,1,1,0,0,0,0,0,0,7,1
James C Crumlish,,,,,,,,,,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,5,1
Timika Lane,,,,,,,,,,,0,2,2,0,0,1,2,0,0,0,0,0,0,0,8,1
Giovanni Campbell,,,,,,,,,,,,0,4,0,0,3,0,0,0,0,0,0,0,0,8,1
Stephanie M Sawyer,,,,,,,,,,,,,0,1,1,2,1,0,0,0,0,0,0,0,6,1
Daine A Grey Jr,,,,,,,,,,,,,,0,3,0,0,1,0,0,0,0,0,0,4,1
Deborah D Cianfrani,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,1
Leon A King Ii,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,5,1
