col_1,col_2,col_3,col_4,col_5,division
,District Attorney - Democrat,Controller - Democrat,,,All
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,All
R Seth Williams,102,615,276,60,All
Alan Butkovitz,,70,0,0,All
Brett Mandel,,,23,0,All
Mark Zecca,,,,13,All
Total,"1,053",685,299,73,All
,District Attorney - Democrat,Controller - Democrat,,,1
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,1
R Seth Williams,1,21,7,3,1
Alan Butkovitz,,0,0,0,1
Brett Mandel,,,0,0,1
Mark Zecca,,,,0,1
Total,32,21,7,3,1
,District Attorney - Democrat,Controller - Democrat,,,2
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,2
R Seth Williams,2,35,10,5,2
Alan Butkovitz,,3,0,0,2
Brett Mandel,,,0,0,2
Mark Zecca,,,,1,2
Total,52,38,10,6,2
,District Attorney - Democrat,Controller - Democrat,,,3
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,3
R Seth Williams,6,35,16,3,3
Alan Butkovitz,,3,0,0,3
Brett Mandel,,,0,0,3
Mark Zecca,,,,1,3
Total,60,38,16,4,3
,District Attorney - Democrat,Controller - Democrat,,,4
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,4
R Seth Williams,3,28,8,3,4
Alan Butkovitz,,0,0,0,4
Brett Mandel,,,1,0,4
Mark Zecca,,,,0,4
Total,42,28,9,3,4
,District Attorney - Democrat,Controller - Democrat,,,5
,R Seth Williams,Brett Mandel,Alan Butkovitz,Mark Zecca,5
R Seth Williams,3,26,20,0,5
Brett Mandel,,3,0,0,5
Alan Butkovitz,,,4,0,5
Mark Zecca,,,,1,5
Total,49,29,24,1,5
,District Attorney - Democrat,Controller - Democrat,,,6
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,6
R Seth Williams,5,36,16,5,6
Alan Butkovitz,,9,0,0,6
Brett Mandel,,,1,0,6
Mark Zecca,,,,0,6
Total,62,45,17,5,6
,District Attorney - Democrat,Controller - Democrat,,,7
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,7
R Seth Williams,2,37,7,3,7
Alan Butkovitz,,4,0,0,7
Brett Mandel,,,1,0,7
Mark Zecca,,,,0,7
Total,49,41,8,3,7
,District Attorney - Democrat,Controller - Democrat,,,8
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,8
R Seth Williams,6,34,33,6,8
Alan Butkovitz,,3,0,0,8
Brett Mandel,,,2,0,8
Mark Zecca,,,,0,8
Total,79,37,35,6,8
,District Attorney - Democrat,Controller - Democrat,,,9
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,9
R Seth Williams,4,40,9,4,9
Alan Butkovitz,,4,0,0,9
Brett Mandel,,,0,0,9
Mark Zecca,,,,0,9
Total,57,44,9,4,9
,District Attorney - Democrat,Controller - Democrat,,,10
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,10
R Seth Williams,5,23,8,3,10
Alan Butkovitz,,1,0,0,10
Brett Mandel,,,0,0,10
Mark Zecca,,,,1,10
Total,39,24,8,4,10
,District Attorney - Democrat,Controller - Democrat,,,11
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,11
R Seth Williams,4,26,12,2,11
Alan Butkovitz,,7,0,0,11
Brett Mandel,,,1,0,11
Mark Zecca,,,,0,11
Total,44,33,13,2,11
,District Attorney - Democrat,Controller - Democrat,,,12
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,12
R Seth Williams,6,26,16,3,12
Alan Butkovitz,,3,0,0,12
Brett Mandel,,,0,0,12
Mark Zecca,,,,0,12
Total,51,29,16,3,12
,District Attorney - Democrat,Controller - Democrat,,,13
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,13
R Seth Williams,3,6,3,0,13
Alan Butkovitz,,3,0,0,13
Brett Mandel,,,0,0,13
Mark Zecca,,,,0,13
Total,12,9,3,0,13
,District Attorney - Democrat,Controller - Democrat,,,14
,R Seth Williams,Brett Mandel,Alan Butkovitz,Mark Zecca,14
R Seth Williams,4,15,15,0,14
Brett Mandel,,2,0,0,14
Alan Butkovitz,,,1,0,14
Mark Zecca,,,,0,14
Total,34,17,16,0,14
,District Attorney - Democrat,Controller - Democrat,,,15
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,15
R Seth Williams,5,13,8,5,15
Alan Butkovitz,,1,0,0,15
Brett Mandel,,,3,0,15
Mark Zecca,,,,2,15
Total,31,14,11,7,15
,District Attorney - Democrat,Controller - Democrat,,,16
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,16
R Seth Williams,4,27,4,1,16
Alan Butkovitz,,4,0,0,16
Brett Mandel,,,1,0,16
Mark Zecca,,,,0,16
Total,36,31,5,1,16
,District Attorney - Democrat,Controller - Democrat,,,17
,R Seth Williams,Alan Butkovitz,Brett Mandel,Mark Zecca,17
R Seth Williams,4,37,16,2,17
