col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,Martin Coleman,Fran Shields,Tracy B Roman,Robert M Kline,Henry Lewandowski,Shoshana Bricklin,Joe Fernandes,Daine A Grey Jr,Conor Corcoran,Frank Bennett,Derrick W Coker,Joe Fernandes,Giovanni Campbell,Timika Lane,Daniel D Mccaffery,Anne Marie Coyle,Kenneth J Powell Jr,James C Crumlish,Tracy B Roman,Vince Giusini,Stephanie M Sawyer,Dawn M Tancredi,Sierra Thomas Street,Derrick W Coker,Daine A Grey Jr,Deborah D Cianfrani,John J O Connor Jr,Conor Corcoran,Rania Major,Leon A King Ii,Jon Marshall,Frank Bennett,Katie Scrivner,Fran Shields,Sean P Stevens,1
Martin Coleman,0,35,22,6,12,5,8,5,0,1,0,44,40,41,34,20,34,32,17,22,12,4,10,5,0,0,4,1,0,2,1,0,1,0,0,1
Fran Shields,,0,9,10,5,9,5,4,1,0,0,34,37,32,36,9,36,34,3,10,8,5,0,3,2,1,4,3,1,2,1,0,1,0,0,1
Tracy B Roman,,,1,5,11,5,3,1,1,0,0,22,11,20,13,17,9,8,21,9,5,6,11,0,2,4,2,0,1,0,0,0,0,0,0,1
Robert M Kline,,,,0,2,9,5,2,1,2,0,9,11,7,9,16,4,5,9,9,8,8,2,4,2,4,3,3,1,1,2,0,0,0,0,1
Henry Lewandowski,,,,,0,1,0,0,1,0,0,12,0,11,3,11,2,4,10,10,2,4,7,0,1,0,2,1,3,0,0,1,0,0,0,1
Shoshana Bricklin,,,,,,0,1,2,2,1,0,6,8,7,8,9,6,4,7,8,5,7,3,0,1,4,0,3,1,1,1,0,0,0,0,1
Joe Fernandes,,,,,,,0,3,2,0,0,11,10,7,7,11,4,9,3,5,5,2,2,5,1,2,0,0,0,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,0,0,0,0,6,5,2,0,7,2,6,2,5,5,0,0,4,2,1,0,0,2,1,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,0,0,0,4,0,1,3,3,0,2,2,1,2,1,0,0,1,3,0,2,1,0,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,0,0,0,2,1,2,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joe Fernandes,,,,,,,,,,,,0,35,41,29,26,27,34,17,19,9,4,11,6,3,5,3,2,1,0,0,0,1,0,0,1
Giovanni Campbell,,,,,,,,,,,,,0,32,37,12,36,33,4,14,10,4,0,7,1,1,3,1,0,3,1,0,1,0,0,1
Timika Lane,,,,,,,,,,,,,,0,30,18,30,25,16,14,5,4,11,1,2,0,0,1,1,1,1,0,1,0,0,1
Daniel D Mccaffery,,,,,,,,,,,,,,,0,9,36,26,5,7,9,9,1,1,2,3,5,2,0,3,2,0,1,0,0,1
Anne Marie Coyle,,,,,,,,,,,,,,,,2,5,12,24,22,12,10,15,8,5,6,3,2,3,0,1,0,0,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,,,,,,,2,28,2,7,8,5,1,0,1,0,1,0,0,3,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,,,,,,,0,3,9,7,2,1,6,2,1,2,0,2,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,0,13,8,9,15,1,1,4,3,2,3,0,1,0,0,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,0,8,2,12,5,0,1,2,2,0,3,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,0,2,3,3,3,3,2,1,3,3,1,0,0,0,0,1
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,0,5,0,3,2,2,2,2,0,1,1,0,0,0,1
Sierra Thomas Street,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,1,0,1,0,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,0,0,0,0,0,1
John J O Connor Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,64,50,33,22,20,20,15,11,5,2,0,59,52,52,48,47,45,43,32,32,22,18,17,8,7,7,7,5,5,4,2,1,1,0,0,1
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,2
,Martin Coleman,Fran Shields,Shoshana Bricklin,Robert M Kline,Joe Fernandes,Tracy B Roman,Daine A Grey Jr,Henry Lewandowski,Frank Bennett,Conor Corcoran,Derrick W Coker,Daniel D Mccaffery,Giovanni Campbell,Joe Fernandes,Anne Marie Coyle,James C Crumlish,Timika Lane,Kenneth J Powell Jr,Stephanie M Sawyer,Vince Giusini,Dawn M Tancredi,Tracy B Roman,Daine A Grey Jr,Sierra Thomas Street,John J O Connor Jr,Conor Corcoran,Derrick W Coker,Rania Major,Deborah D Cianfrani,Leon A King Ii,Frank Bennett,Fran Shields,Jon Marshall,Katie Scrivner,Sean P Stevens,2
Martin Coleman,0,24,14,6,10,7,8,3,0,1,0,34,36,36,16,24,28,23,12,17,3,10,2,5,2,1,3,1,2,2,0,0,0,0,0,2
Fran Shields,,0,10,6,8,4,9,1,2,2,0,28,25,25,18,23,22,19,14,5,7,4,8,1,1,2,3,1,2,2,2,0,0,0,0,2
Shoshana Bricklin,,,2,7,3,7,0,4,3,4,0,14,12,13,11,11,11,9,10,5,14,10,5,6,2,3,0,3,2,1,2,0,0,0,0,2
Robert M Kline,,,,0,1,3,3,1,4,1,0,5,9,7,11,5,2,6,7,4,7,6,4,3,4,0,4,1,2,1,2,0,0,0,0,2
