col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,All
,Sierra Thomas Street,Timika Lane,Anne Marie Coyle,Joe Fernandes,Giovanni Campbell,Tracy B Roman,Daniel D Mccaffery,Leon A King Ii,Vince Giusini,Kenneth J Powell Jr,Stephanie M Sawyer,Dawn M Tancredi,John J O Connor Jr,Derrick W Coker,Rania Major,Daine A Grey Jr,Deborah D Cianfrani,Frank Bennett,James C Crumlish,Jon Marshall,Conor Corcoran,Sean P Stevens,Katie Scrivner,Fran Shields,All
Sierra Thomas Street,119,379,219,210,163,170,142,148,130,54,61,30,31,33,25,25,25,18,14,11,7,11,2,0,All
Timika Lane,,83,221,221,163,166,143,149,128,50,51,30,24,24,19,20,18,13,13,11,4,8,1,0,All
Anne Marie Coyle,,,20,132,81,146,72,62,121,28,20,13,15,9,11,8,12,6,10,4,2,3,0,0,All
Joe Fernandes,,,,4,86,126,74,66,113,17,14,15,9,7,7,3,6,5,7,3,4,5,1,0,All
Giovanni Campbell,,,,,4,26,152,151,25,26,35,36,27,13,12,11,11,7,9,10,11,6,1,0,All
Tracy B Roman,,,,,,9,20,16,113,27,25,12,12,4,10,10,9,4,2,9,3,3,1,0,All
Daniel D Mccaffery,,,,,,,3,126,20,22,22,29,29,9,10,9,8,11,7,5,9,2,1,0,All
Leon A King Ii,,,,,,,,2,20,20,27,18,7,11,10,11,6,4,3,5,11,5,0,0,All
Vince Giusini,,,,,,,,,3,4,18,3,6,7,4,5,6,3,4,1,7,3,1,1,All
Kenneth J Powell Jr,,,,,,,,,,1,28,15,23,7,17,11,21,10,8,11,7,10,1,0,All
Stephanie M Sawyer,,,,,,,,,,,0,12,15,10,14,14,14,5,11,9,10,8,0,1,All
Dawn M Tancredi,,,,,,,,,,,,1,19,2,5,6,6,3,0,4,1,0,0,0,All
John J O Connor Jr,,,,,,,,,,,,,2,3,7,3,3,8,6,5,2,7,0,0,All
Derrick W Coker,,,,,,,,,,,,,,0,8,2,6,5,5,3,2,2,0,0,All
Rania Major,,,,,,,,,,,,,,,1,9,8,9,6,7,2,3,2,0,All
Daine A Grey Jr,,,,,,,,,,,,,,,,0,3,7,3,5,2,1,0,0,All
Deborah D Cianfrani,,,,,,,,,,,,,,,,,0,5,4,3,5,3,2,0,All
Frank Bennett,,,,,,,,,,,,,,,,,,0,6,2,4,2,1,0,All
