col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Frank Bennett,Conor Corcoran,Derrick W Coker,Omar Sabir,Donna Marie Laws,Donna Derose,Marnie Aument Loughrey,Tia M Seibert,Warren Bloom,Lewis Harris Jr,Bobbie T Curry,Sharif Ali,Suzanne Harmon Carn,Tyrone T Martin,Ashley Michelle Cook,Inja Coates,Brigitte A Garvin Johnson,David Mamikonyan,Jose A Figueroa,Keith Jackson,Bruce H Bailey,Wayne E Dorsey,Robert Tuerk,James Johnson,Verna Ragan Tennant,Kyle J Sampson,Holly A Harris Seidle,Ryan Mulvey,All
Martin Coleman,15,"1,212","1,016",349,137,61,76,58,48,10,0,"1,147",474,872,846,184,175,179,122,82,84,41,43,30,42,42,15,25,21,19,25,24,16,19,13,8,All
Henry Lewandowski,,13,993,281,147,27,37,25,9,3,0,"1,114",426,856,836,134,136,118,86,52,57,16,31,32,27,38,18,9,14,13,15,8,10,10,7,3,All
Fran Shields,,,5,91,120,42,35,25,19,11,0,"1,002",380,868,827,30,35,20,35,54,27,17,24,30,37,7,11,13,13,14,13,9,14,8,10,4,All
Tracy B Roman,,,,5,146,103,49,61,45,15,0,246,305,65,60,180,173,160,109,56,91,50,52,34,28,43,18,23,21,17,24,13,14,12,16,9,All
Shoshana Bricklin,,,,,5,74,45,48,32,7,0,215,323,111,53,45,31,33,30,56,32,42,34,55,26,4,18,12,21,12,19,13,13,10,8,6,All
Daine A Grey Jr,,,,,,6,29,32,29,12,0,78,129,24,17,20,19,21,27,53,19,34,19,23,17,6,17,16,8,13,7,17,13,8,9,1,All
Joe Fernandes,,,,,,,0,27,17,10,0,64,100,34,24,18,16,17,16,32,10,13,19,8,20,5,22,14,5,8,6,9,5,9,5,8,All
Robert M Kline,,,,,,,,2,32,10,0,51,100,21,16,27,27,14,22,19,9,15,30,22,16,4,8,8,20,8,5,11,7,7,3,12,All
Frank Bennett,,,,,,,,,0,5,0,32,76,11,8,12,16,21,13,20,11,15,19,9,10,4,6,7,17,11,6,9,2,6,6,6,All
Conor Corcoran,,,,,,,,,,0,0,12,27,5,4,4,4,5,5,5,5,6,5,2,7,0,11,7,3,5,2,3,3,3,5,4,All
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Omar Sabir,,,,,,,,,,,,23,456,846,832,51,48,46,63,87,41,30,15,25,19,17,14,17,18,15,19,15,5,6,6,4,All
Donna Marie Laws,,,,,,,,,,,,,74,191,151,68,54,45,90,114,53,55,64,45,45,8,33,32,24,23,31,20,12,20,18,10,All
Donna Derose,,,,,,,,,,,,,,3,759,10,9,5,10,13,8,4,10,19,12,4,5,6,2,7,8,2,4,5,2,3,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,2,9,13,5,6,10,3,6,5,7,5,6,5,1,3,1,0,1,0,0,1,1,All
Tia M Seibert,,,,,,,,,,,,,,,,10,106,98,34,5,28,8,14,0,7,13,5,1,3,3,0,4,1,3,2,2,All
Warren Bloom,,,,,,,,,,,,,,,,,1,111,25,10,19,7,10,7,4,13,3,2,9,0,1,4,3,5,0,4,All
Lewis Harris Jr,,,,,,,,,,,,,,,,,,6,34,8,26,4,5,5,2,12,1,4,4,2,2,3,4,2,2,4,All
Bobbie T Curry,,,,,,,,,,,,,,,,,,,7,13,19,5,6,2,5,21,4,4,5,3,1,3,1,0,1,1,All
Sharif Ali,,,,,,,,,,,,,,,,,,,,4,5,9,14,3,6,0,9,9,2,6,2,8,4,7,3,0,All
Suzanne Harmon Carn,,,,,,,,,,,,,,,,,,,,,4,4,3,3,6,14,2,3,1,3,2,1,2,1,1,1,All
Tyrone T Martin,,,,,,,,,,,,,,,,,,,,,,3,12,20,5,1,0,5,5,6,2,4,1,3,1,0,All
Ashley Michelle Cook,,,,,,,,,,,,,,,,,,,,,,,1,5,6,3,2,5,4,3,1,4,7,4,5,0,All
Inja Coates,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,3,0,10,3,4,1,2,3,0,6,All
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,4,3,6,1,5,4,0,2,2,All
David Mamikonyan,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,0,1,1,1,0,0,0,2,All
Jose A Figueroa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,4,2,3,3,2,4,0,All
Keith Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,2,3,0,0,2,1,All
Bruce H Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,4,2,0,0,2,All
Wayne E Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,1,2,0,1,All
Robert Tuerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,2,0,All
James Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,1,All
Verna Ragan Tennant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,All
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,All
Holly A Harris Seidle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Ryan Mulvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,696","1,496","1,256",700,481,238,184,184,130,51,0,"1,539","1,085","1,028",956,281,252,243,218,192,142,116,112,97,94,69,65,63,60,52,51,49,41,36,31,25,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Joe Fernandes,Shoshana Bricklin,Robert M Kline,Frank Bennett,Daine A Grey Jr,Conor Corcoran,Derrick W Coker,Donna Marie Laws,Omar Sabir,Marnie Aument Loughrey,Donna Derose,Warren Bloom,Bobbie T Curry,Tia M Seibert,Lewis Harris Jr,Sharif Ali,Brigitte A Garvin Johnson,David Mamikonyan,Inja Coates,Suzanne Harmon Carn,Wayne E Dorsey,Ashley Michelle Cook,Bruce H Bailey,Keith Jackson,Ryan Mulvey,Kyle J Sampson,Tyrone T Martin,Verna Ragan Tennant,Holly A Harris Seidle,James Johnson,Jose A Figueroa,Robert Tuerk,1
Martin Coleman,0,30,24,13,3,3,1,2,2,0,0,22,27,19,16,8,4,6,5,2,4,3,1,3,1,3,0,0,1,1,0,1,0,0,0,0,1
Henry Lewandowski,,0,26,7,2,4,1,0,1,0,0,20,27,18,18,4,1,3,2,1,2,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,1
Fran Shields,,,0,4,1,3,0,0,1,0,0,18,24,19,18,1,1,0,0,2,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
Tracy B Roman,,,,0,5,0,3,3,1,0,0,7,5,2,1,6,4,5,3,2,3,4,2,3,2,2,1,2,2,0,0,1,0,0,0,0,1
Joe Fernandes,,,,,0,2,2,1,0,0,0,6,5,2,1,0,0,0,2,0,0,1,1,0,3,0,1,2,1,0,0,0,0,0,0,0,1
Shoshana Bricklin,,,,,,0,2,1,1,0,0,7,6,1,3,1,0,0,2,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1
Robert M Kline,,,,,,,0,1,2,0,0,4,1,0,0,0,2,2,0,1,1,0,3,0,1,0,2,1,1,0,0,0,0,0,0,0,1
Frank Bennett,,,,,,,,0,0,0,0,3,1,1,1,1,1,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,0,0,0,3,2,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Donna Marie Laws,,,,,,,,,,,,3,21,8,9,0,2,1,1,3,3,2,2,3,3,1,2,2,0,0,1,1,0,0,0,0,1
Omar Sabir,,,,,,,,,,,,,1,19,17,1,0,2,3,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,0,13,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
