col_1,col_2,col_3,col_4,division
,Judge Of The Superior Court - Democrat,,District Attorney - Democrat,1
,Joseph C Waters Jr,Jack Mcvay Jr,R Seth Williams,1
Joseph C Waters Jr,3,0,6,1
Jack Mcvay Jr,,3,2,1
R Seth Williams,,,0,1
Total,9,5,8,1
,District Attorney - Democrat,Judge Of The Superior Court - Democrat,,2
,R Seth Williams,Joseph C Waters Jr,Jack Mcvay Jr,2
R Seth Williams,3,2,1,2
Joseph C Waters Jr,,2,0,2
Jack Mcvay Jr,,,1,2
Total,6,4,2,2
,Judge Of The Superior Court - Democrat,,District Attorney - Democrat,3
,Joseph C Waters Jr,Jack Mcvay Jr,R Seth Williams,3
Joseph C Waters Jr,5,0,12,3
Jack Mcvay Jr,,0,3,3
R Seth Williams,,,0,3
Total,17,3,15,3
,District Attorney - Democrat,Judge Of The Superior Court - Democrat,,4
,R Seth Williams,Joseph C Waters Jr,Jack Mcvay Jr,4
R Seth Williams,3,14,1,4
Joseph C Waters Jr,,3,0,4
Jack Mcvay Jr,,,0,4
Total,18,17,1,4
,Judge Of The Superior Court - Democrat,,District Attorney - Democrat,5
,Joseph C Waters Jr,Jack Mcvay Jr,R Seth Williams,5
Joseph C Waters Jr,4,0,10,5
Jack Mcvay Jr,,1,1,5
R Seth Williams,,,1,5
Total,14,2,12,5
,Judge Of The Superior Court - Democrat,,District Attorney - Democrat,6
,Joseph C Waters Jr,Jack Mcvay Jr,R Seth Williams,6
Joseph C Waters Jr,7,0,49,6
Jack Mcvay Jr,,2,2,6
R Seth Williams,,,2,6
Total,56,4,53,6
,District Attorney - Democrat,Judge Of The Superior Court - Democrat,,7
,R Seth Williams,Joseph C Waters Jr,Jack Mcvay Jr,7
R Seth Williams,2,7,1,7
Joseph C Waters Jr,,2,0,7
Jack Mcvay Jr,,,1,7
Total,10,9,2,7
,District Attorney - Democrat,Judge Of The Superior Court - Democrat,,8
,R Seth Williams,Joseph C Waters Jr,Jack Mcvay Jr,8
R Seth Williams,2,22,5,8
Joseph C Waters Jr,,1,0,8
Jack Mcvay Jr,,,1,8
Total,29,23,6,8
,Judge Of The Superior Court - Democrat,,District Attorney - Democrat,9
,Joseph C Waters Jr,Jack Mcvay Jr,R Seth Williams,9
Joseph C Waters Jr,11,0,13,9
Jack Mcvay Jr,,1,1,9
R Seth Williams,,,4,9
Total,24,2,18,9
,Judge Of The Superior Court - Democrat,,District Attorney - Democrat,10
,Joseph C Waters Jr,Jack Mcvay Jr,R Seth Williams,10
Joseph C Waters Jr,4,0,17,10
Jack Mcvay Jr,,0,2,10
R Seth Williams,,,0,10
Total,21,2,19,10
,District Attorney - Democrat,Judge Of The Superior Court - Democrat,,11
,R Seth Williams,Joseph C Waters Jr,Jack Mcvay Jr,11
R Seth Williams,0,11,5,11
Joseph C Waters Jr,,3,0,11
Jack Mcvay Jr,,,1,11
Total,16,14,6,11
,District Attorney - Democrat,Judge Of The Superior Court - Democrat,,12
,R Seth Williams,Joseph C Waters Jr,Jack Mcvay Jr,12
R Seth Williams,3,17,1,12
Joseph C Waters Jr,,1,0,12
