col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,Joseph C Waters Jr,Jack Mcvay Jr,Timika Lane,Sierra Thomas Street,Anne Marie Coyle,Daniel D Mccaffery,Giovanni Campbell,Joe Fernandes,Tracy B Roman,Leon A King Ii,Vince Giusini,Dawn M Tancredi,Stephanie M Sawyer,Frank Bennett,Kenneth J Powell Jr,Jon Marshall,Deborah D Cianfrani,James C Crumlish,John J O Connor Jr,Rania Major,Conor Corcoran,Daine A Grey Jr,Derrick W Coker,Sean P Stevens,Fran Shields,Katie Scrivner,1
Joseph C Waters Jr,4,0,30,23,20,15,12,11,11,9,7,4,4,4,4,3,1,2,1,2,1,0,1,1,0,0,1
Jack Mcvay Jr,,0,2,2,2,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Timika Lane,,,1,16,19,11,11,11,10,7,7,5,2,2,1,1,1,1,1,0,0,0,1,0,0,0,1
Sierra Thomas Street,,,,1,15,8,5,7,9,3,7,3,4,2,3,2,2,0,1,2,0,0,1,1,0,0,1
Anne Marie Coyle,,,,,0,8,8,7,8,2,7,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
Daniel D Mccaffery,,,,,,0,11,2,4,6,2,5,4,2,1,1,0,1,2,1,1,0,0,0,0,0,1
Giovanni Campbell,,,,,,,0,2,2,7,2,4,2,1,0,0,0,0,2,0,1,0,0,0,0,0,1
Joe Fernandes,,,,,,,,0,7,3,6,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,1,2,6,1,3,0,3,2,0,0,1,0,0,0,1,0,0,0,1
Leon A King Ii,,,,,,,,,,0,1,2,3,1,2,1,0,1,0,0,1,0,0,0,0,0,1
Vince Giusini,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Dawn M Tancredi,,,,,,,,,,,,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,0,1,1,1,2,0,0,0,0,0,1,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,,,,,0,3,1,0,0,0,0,0,1,1,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1
James C Crumlish,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
John J O Connor Jr,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,51,3,35,28,24,16,15,14,14,10,9,6,6,4,4,3,2,2,2,2,1,1,1,1,0,0,1
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,2
,Joseph C Waters Jr,Jack Mcvay Jr,Timika Lane,Sierra Thomas Street,Giovanni Campbell,Anne Marie Coyle,Daniel D Mccaffery,Leon A King Ii,Tracy B Roman,Joe Fernandes,Vince Giusini,Dawn M Tancredi,Derrick W Coker,Kenneth J Powell Jr,Stephanie M Sawyer,Daine A Grey Jr,John J O Connor Jr,Jon Marshall,Conor Corcoran,Deborah D Cianfrani,James C Crumlish,Rania Major,Fran Shields,Frank Bennett,Katie Scrivner,Sean P Stevens,2
Joseph C Waters Jr,0,0,28,22,21,22,14,15,13,12,9,8,6,4,5,2,2,0,0,0,0,0,0,0,0,0,2
Jack Mcvay Jr,,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Timika Lane,,,1,17,21,17,14,14,10,10,9,7,5,1,5,1,0,1,1,1,0,1,0,0,0,0,2
Sierra Thomas Street,,,,1,12,19,8,7,12,8,9,2,1,1,2,1,1,0,1,1,0,0,0,0,0,0,2
Giovanni Campbell,,,,,0,12,16,13,3,6,3,8,5,1,3,1,1,0,1,1,0,0,0,0,0,0,2
Anne Marie Coyle,,,,,,0,8,8,10,8,7,3,1,2,1,1,2,0,0,0,0,0,0,0,0,0,2
Daniel D Mccaffery,,,,,,,0,11,1,5,0,7,1,2,0,0,2,0,1,1,0,0,0,0,0,0,2
Leon A King Ii,,,,,,,,0,1,7,0,6,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2
Tracy B Roman,,,,,,,,,0,7,9,2,1,1,2,1,1,1,0,0,0,1,0,0,0,0,2
Joe Fernandes,,,,,,,,,,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Vince Giusini,,,,,,,,,,,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Dawn M Tancredi,,,,,,,,,,,,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2
Derrick W Coker,,,,,,,,,,,,,0,1,3,1,0,0,0,0,0,0,0,0,0,0,2
Kenneth J Powell Jr,,,,,,,,,,,,,,0,1,0,2,0,0,0,0,0,0,0,0,0,2
Stephanie M Sawyer,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,2
Daine A Grey Jr,,,,,,,,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,2
John J O Connor Jr,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2
Jon Marshall,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,2
Conor Corcoran,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,2
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2
James C Crumlish,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Rania Major,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,39,2,33,26,24,23,18,16,15,14,10,9,6,5,5,3,3,2,1,1,1,1,0,0,0,0,2
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,3
,Joseph C Waters Jr,Jack Mcvay Jr,Timika Lane,Anne Marie Coyle,Sierra Thomas Street,Tracy B Roman,Giovanni Campbell,Vince Giusini,Joe Fernandes,Daniel D Mccaffery,Leon A King Ii,Kenneth J Powell Jr,Stephanie M Sawyer,John J O Connor Jr,Dawn M Tancredi,Derrick W Coker,James C Crumlish,Conor Corcoran,Sean P Stevens,Daine A Grey Jr,Deborah D Cianfrani,Frank Bennett,Rania Major,Jon Marshall,Katie Scrivner,Fran Shields,3
Joseph C Waters Jr,5,0,30,28,27,22,23,19,17,16,17,9,9,5,4,1,3,2,3,2,1,1,2,1,1,0,3
Jack Mcvay Jr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Timika Lane,,,1,17,18,18,12,12,17,7,9,4,3,1,3,1,2,1,3,1,0,1,1,0,0,0,3
Anne Marie Coyle,,,,1,19,16,10,15,12,7,6,1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,3
Sierra Thomas Street,,,,,0,16,10,13,11,10,7,1,4,4,2,1,0,0,0,1,0,0,0,1,1,0,3
Tracy B Roman,,,,,,0,5,16,16,3,2,2,2,3,1,0,1,1,1,0,0,0,0,0,1,0,3
Giovanni Campbell,,,,,,,0,7,4,15,12,4,4,3,4,0,3,2,1,0,0,1,0,0,0,0,3
Vince Giusini,,,,,,,,0,12,5,4,2,2,3,1,0,1,2,1,0,1,0,1,0,1,0,3
Joe Fernandes,,,,,,,,,0,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3
Daniel D Mccaffery,,,,,,,,,,1,10,2,5,3,4,1,0,1,0,0,0,1,0,0,0,0,3
Leon A King Ii,,,,,,,,,,,0,7,4,1,2,1,2,2,1,1,2,0,2,1,0,0,3
Kenneth J Powell Jr,,,,,,,,,,,,0,4,1,0,2,1,0,2,2,1,1,2,1,0,0,3
Stephanie M Sawyer,,,,,,,,,,,,,0,2,2,1,0,1,2,2,0,0,1,1,0,0,3
John J O Connor Jr,,,,,,,,,,,,,,0,2,0,0,0,0,0,1,0,1,0,1,0,3
Dawn M Tancredi,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3
Derrick W Coker,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,0,0,0,3
James C Crumlish,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,3
Conor Corcoran,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,3
Sean P Stevens,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,3
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,3
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,3
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Rania Major,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
