col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,Sierra Thomas Street,Giovanni Campbell,Jon Marshall,Daniel D Mccaffery,Anne Marie Coyle,Conor Corcoran,Dawn M Tancredi,Leon A King Ii,Deborah D Cianfrani,Timika Lane,Vince Giusini,John J O Connor Jr,Kenneth J Powell Jr,Daine A Grey Jr,Frank Bennett,Joe Fernandes,Sean P Stevens,Stephanie M Sawyer,Tracy B Roman,Derrick W Coker,Fran Shields,James C Crumlish,Katie Scrivner,Rania Major,1
Sierra Thomas Street,4,5,6,2,2,2,2,3,2,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1
Giovanni Campbell,,2,1,3,0,1,1,3,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Jon Marshall,,,0,1,0,0,1,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Daniel D Mccaffery,,,,0,2,2,3,3,1,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1
Anne Marie Coyle,,,,,0,3,2,0,3,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,1
Conor Corcoran,,,,,,0,1,1,3,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1
Dawn M Tancredi,,,,,,,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Leon A King Ii,,,,,,,,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Deborah D Cianfrani,,,,,,,,,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Timika Lane,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Vince Giusini,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
John J O Connor Jr,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Joe Fernandes,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,16,8,6,5,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,2
,Sierra Thomas Street,Timika Lane,Joe Fernandes,Dawn M Tancredi,Giovanni Campbell,Daniel D Mccaffery,Derrick W Coker,Leon A King Ii,Anne Marie Coyle,Conor Corcoran,Rania Major,Stephanie M Sawyer,Tracy B Roman,Vince Giusini,Daine A Grey Jr,James C Crumlish,Katie Scrivner,Kenneth J Powell Jr,Deborah D Cianfrani,Fran Shields,Frank Bennett,John J O Connor Jr,Jon Marshall,Sean P Stevens,2
Sierra Thomas Street,1,8,7,5,3,4,5,2,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,2
Timika Lane,,1,7,4,5,6,2,4,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
Joe Fernandes,,,0,3,6,5,1,3,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2
Dawn M Tancredi,,,,1,4,4,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Giovanni Campbell,,,,,0,5,1,3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2
Daniel D Mccaffery,,,,,,0,1,3,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2
Derrick W Coker,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Leon A King Ii,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Anne Marie Coyle,,,,,,,,,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,2
