col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Controller - Democrat,,,All
,Henry Lewandowski,Fran Shields,Martin Coleman,Tracy B Roman,Robert M Kline,Frank Bennett,Joe Fernandes,Shoshana Bricklin,Conor Corcoran,Daine A Grey Jr,Derrick W Coker,Alan Butkovitz,Brett Mandel,Mark Zecca,All
Henry Lewandowski,25,341,315,150,62,49,30,35,39,23,1,486,123,63,All
Fran Shields,,13,196,37,50,24,34,46,44,24,1,329,82,31,All
Martin Coleman,,,6,122,31,16,24,8,13,11,0,265,89,36,All
Tracy B Roman,,,,2,21,18,10,19,7,17,0,137,77,26,All
Robert M Kline,,,,,2,32,24,16,17,8,0,71,45,18,All
Frank Bennett,,,,,,2,11,16,9,2,1,44,35,14,All
Joe Fernandes,,,,,,,1,3,4,18,1,43,37,12,All
Shoshana Bricklin,,,,,,,,3,8,8,0,49,22,8,All
Conor Corcoran,,,,,,,,,0,6,0,40,27,10,All
Daine A Grey Jr,,,,,,,,,,0,0,35,27,4,All
Derrick W Coker,,,,,,,,,,,0,0,1,0,All
Alan Butkovitz,,,,,,,,,,,,66,0,0,All
Brett Mandel,,,,,,,,,,,,,22,0,All
Mark Zecca,,,,,,,,,,,,,,17,All
Total,735,488,429,249,145,102,96,91,84,70,2,708,267,118,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Controller - Democrat,,,1
,Henry Lewandowski,Martin Coleman,Fran Shields,Tracy B Roman,Conor Corcoran,Joe Fernandes,Robert M Kline,Daine A Grey Jr,Derrick W Coker,Frank Bennett,Shoshana Bricklin,Alan Butkovitz,Brett Mandel,Mark Zecca,1
Henry Lewandowski,0,6,4,3,1,0,0,0,0,0,0,5,2,2,1
Martin Coleman,,0,3,3,0,1,1,0,0,0,0,4,1,2,1
Fran Shields,,,0,0,1,0,0,0,0,0,0,2,0,2,1
Tracy B Roman,,,,0,0,0,0,0,0,0,0,2,2,0,1
Conor Corcoran,,,,,0,0,0,0,0,0,0,1,0,0,1
Joe Fernandes,,,,,,0,1,0,0,0,0,1,0,0,1
Robert M Kline,,,,,,,0,0,0,0,0,1,0,0,1
Daine A Grey Jr,,,,,,,,0,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,0,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,0,0,0,0,0,1
Shoshana Bricklin,,,,,,,,,,,0,0,0,0,1
Alan Butkovitz,,,,,,,,,,,,2,0,0,1
Brett Mandel,,,,,,,,,,,,,0,0,1
Mark Zecca,,,,,,,,,,,,,,0,1
Total,9,7,4,4,1,1,1,0,0,0,0,8,3,2,1
,Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,2
,Alan Butkovitz,Brett Mandel,Mark Zecca,Henry Lewandowski,Tracy B Roman,Martin Coleman,Conor Corcoran,Fran Shields,Frank Bennett,Robert M Kline,Shoshana Bricklin,Daine A Grey Jr,Derrick W Coker,Joe Fernandes,2
Alan Butkovitz,2,0,0,1,1,1,0,0,0,0,1,0,0,0,2
Brett Mandel,,1,0,2,2,1,0,1,0,1,0,0,0,0,2
Mark Zecca,,,0,1,0,0,1,0,1,0,0,0,0,0,2
Henry Lewandowski,,,,0,2,1,1,1,1,1,0,0,0,0,2
Tracy B Roman,,,,,1,1,0,0,0,0,0,0,0,0,2
Martin Coleman,,,,,,0,0,0,0,0,0,0,0,0,2
Conor Corcoran,,,,,,,0,0,1,0,0,0,0,0,2
Fran Shields,,,,,,,,0,0,1,0,0,0,0,2
Frank Bennett,,,,,,,,,0,0,0,0,0,0,2
Robert M Kline,,,,,,,,,,0,0,0,0,0,2
Shoshana Bricklin,,,,,,,,,,,0,0,0,0,2
Daine A Grey Jr,,,,,,,,,,,,0,0,0,2
Derrick W Coker,,,,,,,,,,,,,0,0,2
Joe Fernandes,,,,,,,,,,,,,,0,2
Total,5,4,1,4,4,2,1,1,1,1,1,0,0,0,2
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Controller - Democrat,,,3
,Henry Lewandowski,Fran Shields,Martin Coleman,Tracy B Roman,Robert M Kline,Daine A Grey Jr,Conor Corcoran,Joe Fernandes,Derrick W Coker,Frank Bennett,Shoshana Bricklin,Alan Butkovitz,Brett Mandel,Mark Zecca,3
Henry Lewandowski,0,6,7,5,1,1,0,0,0,0,0,6,5,2,3
Fran Shields,,0,2,0,2,1,1,0,0,0,0,3,4,1,3
Martin Coleman,,,0,5,0,0,0,0,0,0,0,3,2,1,3
Tracy B Roman,,,,0,0,0,0,0,0,0,0,2,1,1,3
Robert M Kline,,,,,0,1,1,0,0,0,0,1,1,1,3
Daine A Grey Jr,,,,,,0,0,0,0,0,0,0,2,0,3
Conor Corcoran,,,,,,,0,0,0,0,0,1,0,0,3
Joe Fernandes,,,,,,,,0,0,0,0,0,1,0,3
Derrick W Coker,,,,,,,,,0,0,0,0,0,0,3
Frank Bennett,,,,,,,,,,0,0,0,0,0,3
Shoshana Bricklin,,,,,,,,,,,0,0,0,0,3
Alan Butkovitz,,,,,,,,,,,,2,0,0,3
Brett Mandel,,,,,,,,,,,,,1,0,3
Mark Zecca,,,,,,,,,,,,,,0,3
Total,14,8,7,5,3,2,1,1,0,0,0,10,8,2,3
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Controller - Democrat,,,4
,Henry Lewandowski,Fran Shields,Martin Coleman,Frank Bennett,Robert M Kline,Shoshana Bricklin,Tracy B Roman,Conor Corcoran,Joe Fernandes,Daine A Grey Jr,Derrick W Coker,Alan Butkovitz,Brett Mandel,Mark Zecca,4
Henry Lewandowski,0,12,11,3,1,2,3,1,0,0,0,8,6,0,4
Fran Shields,,0,8,0,2,2,1,0,1,0,0,7,4,0,4
Martin Coleman,,,0,1,0,0,2,0,0,0,0,5,4,0,4
Frank Bennett,,,,0,2,2,0,1,0,0,0,2,3,0,4
Robert M Kline,,,,,1,2,0,0,1,0,0,2,2,0,4
Shoshana Bricklin,,,,,,0,0,0,0,0,0,3,1,0,4
Tracy B Roman,,,,,,,1,0,0,0,0,1,2,0,4
Conor Corcoran,,,,,,,,0,0,0,0,1,0,0,4
Joe Fernandes,,,,,,,,,0,0,0,1,0,0,4
Daine A Grey Jr,,,,,,,,,,0,0,0,0,0,4
Derrick W Coker,,,,,,,,,,,0,0,0,0,4
Alan Butkovitz,,,,,,,,,,,,0,0,0,4
Brett Mandel,,,,,,,,,,,,,2,0,4
Mark Zecca,,,,,,,,,,,,,,0,4
Total,17,13,11,6,5,4,4,1,1,0,0,10,10,0,4
,Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,5
