col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,All
,Henry Lewandowski,Fran Shields,Martin Coleman,Tracy B Roman,Robert M Kline,Frank Bennett,Shoshana Bricklin,Joe Fernandes,Daine A Grey Jr,Conor Corcoran,Derrick W Coker,All
Henry Lewandowski,156,219,185,123,41,40,36,28,17,24,0,All
Fran Shields,,30,118,44,31,27,25,20,30,24,0,All
Martin Coleman,,,22,85,20,13,6,9,11,4,0,All
Tracy B Roman,,,,44,16,15,20,6,14,8,0,All
Robert M Kline,,,,,6,11,13,6,8,6,0,All
Frank Bennett,,,,,,11,9,10,4,8,0,All
Shoshana Bricklin,,,,,,,4,9,10,2,0,All
Joe Fernandes,,,,,,,,8,13,3,0,All
Daine A Grey Jr,,,,,,,,,4,8,0,All
Conor Corcoran,,,,,,,,,,4,0,All
Derrick W Coker,,,,,,,,,,,0,All
Total,560,334,260,219,86,85,70,66,64,55,0,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,1
,Henry Lewandowski,Fran Shields,Martin Coleman,Conor Corcoran,Frank Bennett,Shoshana Bricklin,Tracy B Roman,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Derrick W Coker,1
Henry Lewandowski,26,17,7,5,6,4,1,2,4,1,0,1
Fran Shields,,6,7,2,3,3,3,2,0,0,0,1
Martin Coleman,,,2,1,0,0,1,0,0,0,0,1
Conor Corcoran,,,,0,2,1,0,1,1,1,0,1
Frank Bennett,,,,,0,0,0,0,0,2,0,1
Shoshana Bricklin,,,,,,0,2,1,1,0,0,1
Tracy B Roman,,,,,,,1,2,0,0,0,1
Daine A Grey Jr,,,,,,,,0,0,0,0,1
Joe Fernandes,,,,,,,,,0,0,0,1
Robert M Kline,,,,,,,,,,0,0,1
Derrick W Coker,,,,,,,,,,,0,1
Total,54,28,11,9,8,6,6,4,4,2,0,1
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,2
,Henry Lewandowski,Fran Shields,Martin Coleman,Frank Bennett,Tracy B Roman,Robert M Kline,Conor Corcoran,Joe Fernandes,Shoshana Bricklin,Daine A Grey Jr,Derrick W Coker,2
Henry Lewandowski,9,13,8,6,4,2,1,3,3,1,0,2
Fran Shields,,3,2,5,1,0,3,3,2,2,0,2
Martin Coleman,,,1,2,5,1,0,0,1,1,0,2
Frank Bennett,,,,0,0,1,1,0,1,0,0,2
Tracy B Roman,,,,,1,2,1,0,0,0,0,2
Robert M Kline,,,,,,1,0,1,1,0,0,2
Conor Corcoran,,,,,,,0,0,0,1,0,2
Joe Fernandes,,,,,,,,0,0,0,0,2
Shoshana Bricklin,,,,,,,,,0,0,0,2
Daine A Grey Jr,,,,,,,,,,0,0,2
Derrick W Coker,,,,,,,,,,,0,2
Total,32,22,12,8,8,5,4,4,4,3,0,2
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,3
,Tracy B Roman,Henry Lewandowski,Martin Coleman,Conor Corcoran,Daine A Grey Jr,Frank Bennett,Robert M Kline,Derrick W Coker,Fran Shields,Joe Fernandes,Shoshana Bricklin,3
Tracy B Roman,1,2,1,0,0,1,1,0,0,0,0,3
Henry Lewandowski,,0,2,0,0,0,1,0,0,0,0,3
Martin Coleman,,,0,0,0,0,0,0,0,0,0,3
Conor Corcoran,,,,0,1,0,0,0,0,0,0,3
Daine A Grey Jr,,,,,0,0,0,0,0,0,0,3
Frank Bennett,,,,,,0,0,0,0,0,0,3
Robert M Kline,,,,,,,0,0,0,0,0,3
Derrick W Coker,,,,,,,,0,0,0,0,3
Fran Shields,,,,,,,,,0,0,0,3
Joe Fernandes,,,,,,,,,,0,0,3
Shoshana Bricklin,,,,,,,,,,,0,3
Total,4,3,2,1,1,1,1,0,0,0,0,3
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,4
,Henry Lewandowski,Tracy B Roman,Fran Shields,Martin Coleman,Robert M Kline,Frank Bennett,Joe Fernandes,Shoshana Bricklin,Daine A Grey Jr,Conor Corcoran,Derrick W Coker,4
Henry Lewandowski,6,28,25,26,5,9,5,5,1,2,0,4
Tracy B Roman,,11,9,16,5,4,0,3,0,1,0,4
Fran Shields,,,3,16,11,4,3,5,2,2,0,4
Martin Coleman,,,,3,5,3,6,1,3,0,0,4
Robert M Kline,,,,,0,3,1,1,3,0,0,4
Frank Bennett,,,,,,0,1,2,1,1,0,4
Joe Fernandes,,,,,,,0,2,3,0,0,4
Shoshana Bricklin,,,,,,,,0,1,0,0,4
Daine A Grey Jr,,,,,,,,,1,0,0,4
Conor Corcoran,,,,,,,,,,0,0,4
Derrick W Coker,,,,,,,,,,,0,4
Total,65,47,43,42,18,15,11,10,8,3,0,4
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,5
,Martin Coleman,Fran Shields,Henry Lewandowski,Tracy B Roman,Frank Bennett,Joe Fernandes,Conor Corcoran,Daine A Grey Jr,Derrick W Coker,Robert M Kline,Shoshana Bricklin,5
Martin Coleman,1,2,3,4,0,0,0,0,0,0,0,5
Fran Shields,,0,2,1,0,1,0,0,0,0,0,5
Henry Lewandowski,,,0,2,0,0,0,0,0,0,0,5
Tracy B Roman,,,,0,0,0,0,0,0,0,0,5
Frank Bennett,,,,,2,0,0,0,0,0,0,5
Joe Fernandes,,,,,,0,0,0,0,0,0,5
Conor Corcoran,,,,,,,0,0,0,0,0,5
Daine A Grey Jr,,,,,,,,0,0,0,0,5
Derrick W Coker,,,,,,,,,0,0,0,5
Robert M Kline,,,,,,,,,,0,0,5
Shoshana Bricklin,,,,,,,,,,,0,5
Total,6,4,4,4,2,1,0,0,0,0,0,5
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,6
,Henry Lewandowski,Martin Coleman,Fran Shields,Robert M Kline,Tracy B Roman,Conor Corcoran,Daine A Grey Jr,Frank Bennett,Joe Fernandes,Shoshana Bricklin,Derrick W Coker,6
Henry Lewandowski,3,5,3,0,2,0,1,0,1,0,0,6
Martin Coleman,,0,2,0,2,0,0,0,0,0,0,6
Fran Shields,,,0,1,0,0,0,1,0,0,0,6
Robert M Kline,,,,0,0,1,0,1,0,1,0,6
Tracy B Roman,,,,,0,0,0,0,0,0,0,6
Conor Corcoran,,,,,,0,0,0,0,1,0,6
Daine A Grey Jr,,,,,,,0,0,1,0,0,6
