col_1,col_2,col_3,division
,Judge Of The Court Of Common Pleas - Republican,,All
,Anne Marie Coyle,Kenneth J Powell Jr,All
Anne Marie Coyle,24,48,All
Kenneth J Powell Jr,,7,All
Total,72,55,All
,Judge Of The Court Of Common Pleas - Republican,,1
,Anne Marie Coyle,Kenneth J Powell Jr,1
Anne Marie Coyle,0,6,1
Kenneth J Powell Jr,,0,1
Total,6,6,1
,Judge Of The Court Of Common Pleas - Republican,,2
,Anne Marie Coyle,Kenneth J Powell Jr,2
Anne Marie Coyle,5,1,2
Kenneth J Powell Jr,,1,2
Total,6,2,2
,Judge Of The Court Of Common Pleas - Republican,,3
,Anne Marie Coyle,Kenneth J Powell Jr,3
Anne Marie Coyle,0,1,3
Kenneth J Powell Jr,,0,3
Total,1,1,3
,Judge Of The Court Of Common Pleas - Republican,,4
,Anne Marie Coyle,Kenneth J Powell Jr,4
Anne Marie Coyle,3,1,4
Kenneth J Powell Jr,,0,4
Total,4,1,4
,Judge Of The Court Of Common Pleas - Republican,,5
,Anne Marie Coyle,Kenneth J Powell Jr,5
Anne Marie Coyle,1,3,5
Kenneth J Powell Jr,,1,5
Total,4,4,5
,Judge Of The Court Of Common Pleas - Republican,,6
,Anne Marie Coyle,Kenneth J Powell Jr,6
Anne Marie Coyle,3,2,6
Kenneth J Powell Jr,,1,6
Total,5,3,6
,Judge Of The Court Of Common Pleas - Republican,,7
,Anne Marie Coyle,Kenneth J Powell Jr,7
Anne Marie Coyle,1,3,7
Kenneth J Powell Jr,,1,7
Total,4,4,7
,Judge Of The Court Of Common Pleas - Republican,,9
,Kenneth J Powell Jr,Anne Marie Coyle,9
Kenneth J Powell Jr,1,3,9
Anne Marie Coyle,,0,9
Total,4,3,9
,Judge Of The Court Of Common Pleas - Republican,,10
,Anne Marie Coyle,Kenneth J Powell Jr,10
Anne Marie Coyle,2,1,10
Kenneth J Powell Jr,,1,10
Total,3,2,10
,Judge Of The Court Of Common Pleas - Republican,,11
,Anne Marie Coyle,Kenneth J Powell Jr,11
Anne Marie Coyle,2,4,11
Kenneth J Powell Jr,,0,11
Total,6,4,11
,Judge Of The Court Of Common Pleas - Republican,,12
,Anne Marie Coyle,Kenneth J Powell Jr,12
Anne Marie Coyle,4,4,12
Kenneth J Powell Jr,,0,12
Total,8,4,12
,Judge Of The Court Of Common Pleas - Republican,,14
,Anne Marie Coyle,Kenneth J Powell Jr,14
Anne Marie Coyle,0,3,14
Kenneth J Powell Jr,,0,14
Total,3,3,14
,Judge Of The Court Of Common Pleas - Republican,,16
,Anne Marie Coyle,Kenneth J Powell Jr,16
Anne Marie Coyle,1,12,16
Kenneth J Powell Jr,,0,16
Total,13,12,16
,Judge Of The Court Of Common Pleas - Republican,,17
,Anne Marie Coyle,Kenneth J Powell Jr,17
Anne Marie Coyle,2,4,17
Kenneth J Powell Jr,,1,17
Total,6,5,17
