col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Daine A Grey Jr,Joe Fernandes,Robert M Kline,Frank Bennett,Conor Corcoran,Derrick W Coker,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Warren Bloom,Lewis Harris Jr,Donna Marie Laws,Tia M Seibert,Inja Coates,Sharif Ali,Suzanne Harmon Carn,Tyrone T Martin,Wayne E Dorsey,Ashley Michelle Cook,Bruce H Bailey,Bobbie T Curry,Holly A Harris Seidle,Kyle J Sampson,Brigitte A Garvin Johnson,David Mamikonyan,Verna Ragan Tennant,Keith Jackson,James Johnson,Ryan Mulvey,Jose A Figueroa,Robert Tuerk,All
Martin Coleman,11,346,227,169,41,31,25,28,23,8,0,304,187,188,118,129,48,97,28,28,49,25,23,22,16,37,13,23,15,28,7,13,8,6,5,8,All
Henry Lewandowski,,6,225,133,30,11,15,16,6,4,2,309,201,193,87,88,45,66,19,21,32,13,16,8,13,22,11,11,7,22,5,6,5,3,5,5,All
Fran Shields,,,3,41,44,29,16,15,16,5,0,228,199,193,16,12,45,13,29,21,11,18,20,20,15,10,16,11,15,4,13,5,3,4,2,7,All
Tracy B Roman,,,,9,56,51,23,17,24,7,0,129,25,17,113,99,52,92,34,33,50,29,23,28,17,20,11,15,18,16,15,8,10,6,5,4,All
Shoshana Bricklin,,,,,4,35,17,14,16,5,0,51,20,4,22,16,54,20,48,15,17,19,12,19,17,9,10,9,12,4,7,6,7,10,8,4,All
Daine A Grey Jr,,,,,,2,19,10,11,6,0,40,11,6,13,9,22,12,22,26,10,20,13,16,8,5,11,17,13,0,5,10,4,4,10,2,All
Joe Fernandes,,,,,,,0,16,8,5,0,27,9,12,8,10,19,6,14,12,5,10,6,10,13,6,4,6,7,5,5,5,3,6,7,4,All
Robert M Kline,,,,,,,,0,9,5,0,14,3,2,8,14,22,5,14,12,6,8,5,6,11,5,5,10,5,3,2,7,3,10,4,6,All
Frank Bennett,,,,,,,,,0,1,1,18,3,2,9,12,20,10,12,16,6,11,10,9,8,3,4,4,8,2,2,3,1,4,1,3,All
Conor Corcoran,,,,,,,,,,0,0,5,2,2,2,4,7,2,4,5,2,2,2,6,3,0,3,4,1,1,1,5,1,1,3,0,All
Derrick W Coker,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,All
Omar Sabir,,,,,,,,,,,,26,193,188,36,39,56,15,24,36,16,22,19,10,12,17,16,9,7,13,7,4,3,1,5,6,All
Donna Derose,,,,,,,,,,,,,0,186,2,3,23,3,11,3,2,3,1,4,2,0,0,1,2,1,1,2,1,0,3,3,All
Marnie Aument Loughrey,,,,,,,,,,,,,,1,2,3,4,2,4,3,2,2,2,0,5,0,3,2,0,2,1,0,0,1,2,0,All
Warren Bloom,,,,,,,,,,,,,,,8,82,8,74,3,4,22,5,3,5,8,10,3,7,4,9,6,0,1,5,1,2,All
Lewis Harris Jr,,,,,,,,,,,,,,,,7,12,62,7,7,17,7,7,6,7,11,0,2,4,8,0,3,3,1,0,1,All
Donna Marie Laws,,,,,,,,,,,,,,,,,3,8,14,14,11,11,11,16,7,5,7,6,10,2,4,6,4,5,3,0,All
Tia M Seibert,,,,,,,,,,,,,,,,,,0,3,6,17,3,3,7,2,7,1,4,1,6,4,2,2,1,1,0,All
Inja Coates,,,,,,,,,,,,,,,,,,,2,5,4,14,4,6,8,1,3,2,4,1,1,1,0,2,2,11,All
Sharif Ali,,,,,,,,,,,,,,,,,,,,2,3,4,3,9,6,1,7,11,5,0,3,4,5,2,3,3,All
Suzanne Harmon Carn,,,,,,,,,,,,,,,,,,,,,0,2,5,6,3,3,0,1,5,6,1,1,1,3,1,1,All
Tyrone T Martin,,,,,,,,,,,,,,,,,,,,,,0,14,6,3,4,0,4,2,1,0,4,2,2,1,1,All
Wayne E Dorsey,,,,,,,,,,,,,,,,,,,,,,,0,9,2,2,2,3,5,1,1,2,4,1,2,0,All
Ashley Michelle Cook,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,3,7,6,0,2,4,3,1,1,2,All
Bruce H Bailey,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,2,2,1,5,0,2,5,2,0,All
Bobbie T Curry,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,4,8,2,1,0,1,0,0,All
Holly A Harris Seidle,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,2,0,1,4,0,0,5,1,All
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,0,All
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,3,1,0,All
David Mamikonyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,All
Verna Ragan Tennant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,0,1,0,All
Keith Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,0,All
James Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,All
Ryan Mulvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,All
Jose A Figueroa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Robert Tuerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,577,471,351,346,168,120,80,71,64,24,2,503,242,226,175,174,141,135,93,85,82,65,62,61,53,51,51,47,40,35,31,29,25,22,21,20,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Martin Coleman,Fran Shields,Henry Lewandowski,Shoshana Bricklin,Joe Fernandes,Tracy B Roman,Conor Corcoran,Frank Bennett,Robert M Kline,Daine A Grey Jr,Derrick W Coker,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Ashley Michelle Cook,Inja Coates,Lewis Harris Jr,Donna Marie Laws,Bobbie T Curry,Brigitte A Garvin Johnson,David Mamikonyan,Holly A Harris Seidle,Keith Jackson,Robert Tuerk,Suzanne Harmon Carn,Tia M Seibert,Tyrone T Martin,Wayne E Dorsey,Bruce H Bailey,James Johnson,Jose A Figueroa,Kyle J Sampson,Ryan Mulvey,Sharif Ali,Verna Ragan Tennant,Warren Bloom,1
