col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,All
,Giovanni Campbell,Kenneth J Powell Jr,Stephanie M Sawyer,Joe Fernandes,Daniel D Mccaffery,James C Crumlish,Anne Marie Coyle,Timika Lane,Vince Giusini,Leon A King Ii,Tracy B Roman,Sierra Thomas Street,Dawn M Tancredi,Derrick W Coker,Daine A Grey Jr,John J O Connor Jr,Deborah D Cianfrani,Conor Corcoran,Rania Major,Sean P Stevens,Frank Bennett,Jon Marshall,Katie Scrivner,Fran Shields,All
Giovanni Campbell,155,626,633,570,572,522,187,203,136,184,70,71,95,90,53,49,28,31,28,19,22,6,1,0,All
Kenneth J Powell Jr,,17,520,469,540,485,140,123,87,117,61,59,47,50,35,48,21,18,20,16,13,10,1,0,All
Stephanie M Sawyer,,,6,465,489,483,139,137,81,111,48,53,59,65,63,30,37,29,35,17,11,7,0,0,All
Joe Fernandes,,,,17,493,449,179,163,121,71,114,94,41,42,24,32,12,9,10,8,12,5,1,0,All
Daniel D Mccaffery,,,,,9,461,122,87,75,93,44,31,62,23,24,55,19,27,14,11,16,5,1,1,All
James C Crumlish,,,,,,6,124,65,61,38,18,10,32,55,32,33,11,19,4,17,8,7,1,0,All
Anne Marie Coyle,,,,,,,16,175,146,41,133,115,60,58,45,37,35,20,26,12,15,4,0,0,All
Timika Lane,,,,,,,,11,114,85,127,143,66,55,40,14,16,8,25,10,5,6,2,0,All
Vince Giusini,,,,,,,,,10,49,83,81,10,45,24,12,4,13,6,2,8,4,0,1,All
Leon A King Ii,,,,,,,,,,9,35,47,44,21,16,17,9,14,10,6,11,8,2,0,All
Tracy B Roman,,,,,,,,,,,4,116,41,7,16,24,28,10,14,12,13,5,0,0,All
Sierra Thomas Street,,,,,,,,,,,,8,32,15,13,14,14,7,19,7,7,8,1,0,All
Dawn M Tancredi,,,,,,,,,,,,,3,7,15,27,33,11,23,9,6,1,1,0,All
Derrick W Coker,,,,,,,,,,,,,,1,25,8,2,4,6,4,3,2,0,0,All
Daine A Grey Jr,,,,,,,,,,,,,,,0,6,11,5,14,8,5,5,0,0,All
John J O Connor Jr,,,,,,,,,,,,,,,,2,7,10,2,1,12,2,1,0,All
Deborah D Cianfrani,,,,,,,,,,,,,,,,,1,7,15,6,2,0,0,0,All
Conor Corcoran,,,,,,,,,,,,,,,,,,1,5,11,7,5,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,,2,2,0,2,0,0,All
Sean P Stevens,,,,,,,,,,,,,,,,,,,,1,4,4,0,0,All
Frank Bennett,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,0,All
