col_1,col_2,col_3,col_4,division
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,1
,Anne Marie Coyle,Kenneth J Powell Jr,Terrence J Tracy Jr,1
Anne Marie Coyle,0,1,1,1
Kenneth J Powell Jr,,0,1,1
Terrence J Tracy Jr,,,0,1
Total,1,1,1,1
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,3
,Kenneth J Powell Jr,Anne Marie Coyle,Terrence J Tracy Jr,3
Kenneth J Powell Jr,0,0,1,3
Anne Marie Coyle,,0,0,3
Terrence J Tracy Jr,,,0,3
Total,1,0,1,3
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,14
,Anne Marie Coyle,Kenneth J Powell Jr,Terrence J Tracy Jr,14
Anne Marie Coyle,0,2,2,14
Kenneth J Powell Jr,,0,2,14
Terrence J Tracy Jr,,,0,14
Total,2,2,2,14
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,16
,Anne Marie Coyle,Kenneth J Powell Jr,Terrence J Tracy Jr,16
Anne Marie Coyle,0,1,1,16
Kenneth J Powell Jr,,0,1,16
Terrence J Tracy Jr,,,0,16
Total,1,1,1,16
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,17
,Kenneth J Powell Jr,Anne Marie Coyle,Terrence J Tracy Jr,17
Kenneth J Powell Jr,0,0,1,17
Anne Marie Coyle,,0,0,17
Terrence J Tracy Jr,,,0,17
Total,1,0,1,17
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,19
,Kenneth J Powell Jr,Anne Marie Coyle,Terrence J Tracy Jr,19
Kenneth J Powell Jr,0,0,2,19
Anne Marie Coyle,,0,0,19
Terrence J Tracy Jr,,,0,19
Total,2,0,2,19
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,22
,Anne Marie Coyle,Kenneth J Powell Jr,Terrence J Tracy Jr,22
Anne Marie Coyle,0,1,1,22
Kenneth J Powell Jr,,0,1,22
Terrence J Tracy Jr,,,0,22
Total,1,1,1,22
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,23
,Anne Marie Coyle,Kenneth J Powell Jr,Terrence J Tracy Jr,23
Anne Marie Coyle,0,2,3,23
Kenneth J Powell Jr,,0,2,23
Terrence J Tracy Jr,,,0,23
Total,3,2,3,23
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,25
,Kenneth J Powell Jr,Anne Marie Coyle,Terrence J Tracy Jr,25
Kenneth J Powell Jr,1,0,0,25
Anne Marie Coyle,,0,0,25
Terrence J Tracy Jr,,,0,25
Total,1,0,0,25
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,29
,Kenneth J Powell Jr,Anne Marie Coyle,Terrence J Tracy Jr,29
Kenneth J Powell Jr,0,1,2,29
Anne Marie Coyle,,0,1,29
Terrence J Tracy Jr,,,0,29
Total,2,1,2,29
,Judge Of The Court Of Common Pleas - Republican,,Controller - Republican,All
,Kenneth J Powell Jr,Anne Marie Coyle,Terrence J Tracy Jr,All
Kenneth J Powell Jr,1,8,13,All
Anne Marie Coyle,,0,9,All
Terrence J Tracy Jr,,,0,All
Total,14,9,14,All
