col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,District Attorney - Democrat,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,R Seth Williams,Inja Coates,Robert Tuerk,Donna Derose,Warren Bloom,Tia M Seibert,Suzanne Harmon Carn,Donna Marie Laws,Lewis Harris Jr,Ashley Michelle Cook,Omar Sabir,Marnie Aument Loughrey,Holly A Harris Seidle,Jose A Figueroa,Bobbie T Curry,David Mamikonyan,Brigitte A Garvin Johnson,Ryan Mulvey,Bruce H Bailey,Sharif Ali,James Johnson,Tyrone T Martin,Verna Ragan Tennant,Kyle J Sampson,Keith Jackson,Wayne E Dorsey,All
R Seth Williams,395,614,536,507,181,141,133,103,85,78,80,76,72,63,61,37,43,37,35,29,27,24,27,21,18,18,All
Inja Coates,,57,458,402,19,14,8,20,5,9,9,19,7,17,5,3,6,4,8,3,3,10,4,5,2,2,All
Robert Tuerk,,,17,415,20,7,7,9,0,5,0,7,12,10,7,4,3,0,3,0,2,3,2,1,2,0,All
Donna Derose,,,,9,10,4,8,16,2,9,7,41,16,7,1,4,10,3,3,7,12,3,2,2,3,1,All
Warren Bloom,,,,,7,66,32,16,48,8,17,4,13,10,21,14,2,9,13,4,6,5,6,2,4,2,All
Tia M Seibert,,,,,,2,43,12,38,8,11,5,8,3,28,7,5,3,2,0,0,2,3,3,1,0,All
Suzanne Harmon Carn,,,,,,,2,22,20,18,18,3,7,4,22,6,10,4,4,2,2,1,2,6,2,2,All
Donna Marie Laws,,,,,,,,2,3,23,10,8,16,7,5,3,10,2,11,4,2,3,3,2,2,3,All
Lewis Harris Jr,,,,,,,,,1,7,9,2,2,3,7,10,1,4,3,0,0,1,2,1,2,3,All
Ashley Michelle Cook,,,,,,,,,,2,7,10,10,3,1,4,13,8,5,3,1,2,3,3,2,1,All
Omar Sabir,,,,,,,,,,,3,8,2,7,4,4,1,1,1,9,3,5,2,0,1,1,All
Marnie Aument Loughrey,,,,,,,,,,,,1,10,2,2,2,4,6,1,1,1,1,3,2,0,2,All
Holly A Harris Seidle,,,,,,,,,,,,,1,8,0,4,6,3,2,3,2,1,4,1,1,1,All
Jose A Figueroa,,,,,,,,,,,,,,2,4,3,1,5,2,5,0,1,6,1,5,1,All
Bobbie T Curry,,,,,,,,,,,,,,,3,2,0,1,0,0,0,1,3,0,0,0,All
David Mamikonyan,,,,,,,,,,,,,,,,0,0,1,0,2,0,2,0,2,1,1,All
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,,,1,2,1,1,1,0,2,3,0,3,All
Ryan Mulvey,,,,,,,,,,,,,,,,,,1,7,2,1,1,1,5,1,4,All
Bruce H Bailey,,,,,,,,,,,,,,,,,,,2,1,3,1,2,0,0,1,All
Sharif Ali,,,,,,,,,,,,,,,,,,,,1,10,0,3,0,2,0,All
James Johnson,,,,,,,,,,,,,,,,,,,,,0,2,0,1,2,2,All
Tyrone T Martin,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,All
Verna Ragan Tennant,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,All
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,All
Keith Jackson,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Wayne E Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,605",703,586,547,208,151,147,116,96,88,85,82,76,69,67,46,45,42,41,33,31,29,29,24,21,19,All
,District Attorney - Democrat,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,R Seth Williams,Inja Coates,Donna Derose,Robert Tuerk,Warren Bloom,Lewis Harris Jr,Suzanne Harmon Carn,Marnie Aument Loughrey,Tia M Seibert,Holly A Harris Seidle,Ashley Michelle Cook,Bobbie T Curry,Jose A Figueroa,Ryan Mulvey,Brigitte A Garvin Johnson,David Mamikonyan,Omar Sabir,Donna Marie Laws,Sharif Ali,Wayne E Dorsey,Bruce H Bailey,Kyle J Sampson,Tyrone T Martin,Verna Ragan Tennant,James Johnson,Keith Jackson,1
R Seth Williams,23,41,35,35,13,9,9,8,7,7,5,6,6,4,4,3,4,3,2,2,0,1,0,1,0,0,1
Inja Coates,,1,30,33,2,0,0,2,0,1,0,0,3,2,0,0,0,0,1,1,1,0,1,0,0,0,1
Donna Derose,,,1,29,1,0,1,4,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Robert Tuerk,,,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Warren Bloom,,,,,1,5,1,0,3,1,0,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1
Lewis Harris Jr,,,,,,0,4,0,2,1,2,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,1
Suzanne Harmon Carn,,,,,,,0,0,4,1,0,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
Marnie Aument Loughrey,,,,,,,,0,1,3,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1
Tia M Seibert,,,,,,,,,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Holly A Harris Seidle,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ashley Michelle Cook,,,,,,,,,,,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
Bobbie T Curry,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jose A Figueroa,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Ryan Mulvey,,,,,,,,,,,,,,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Brigitte A Garvin Johnson,,,,,,,,,,,,,,,0,0,0,2,1,0,0,0,0,0,0,0,1
David Mamikonyan,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Omar Sabir,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Donna Marie Laws,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1
Sharif Ali,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Wayne E Dorsey,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Bruce H Bailey,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1
Kyle J Sampson,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Tyrone T Martin,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Verna Ragan Tennant,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
James Johnson,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Keith Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,102,45,39,37,15,11,11,9,9,8,6,6,6,5,4,4,4,3,2,2,1,1,1,1,0,0,1
,District Attorney - Democrat,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,2
