col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Auditor General - Republican,,Delegate To The Republican National Convention 3rd District - Republican,,,,,,All
,Timothy Defoor,Write-In,Denise Furey,Calvin Tucker,Paul Panepinto,Erin Elmore,John Paul Sutton,Write-In,All
Timothy Defoor,26,0,97,86,75,69,56,3,All
Write-In,,3,3,1,0,2,0,2,All
Denise Furey,,,1,63,45,41,30,2,All
Calvin Tucker,,,,0,50,30,27,0,All
Paul Panepinto,,,,,0,22,23,0,All
Erin Elmore,,,,,,2,38,0,All
John Paul Sutton,,,,,,,1,0,All
Write-In,,,,,,,,1,All
Total,181,7,105,92,82,81,63,6,All
,Auditor General - Republican,,Delegate To The Republican National Convention 3rd District - Republican,,,,,,1
,Timothy Defoor,Write-In,Denise Furey,Erin Elmore,Paul Panepinto,John Paul Sutton,Calvin Tucker,Write-In,1
Timothy Defoor,1,0,10,9,9,8,7,0,1
Write-In,,0,0,0,0,0,0,0,1
Denise Furey,,,0,5,5,4,6,0,1
Erin Elmore,,,,0,2,5,2,0,1
Paul Panepinto,,,,,0,3,4,0,1
John Paul Sutton,,,,,,0,2,0,1
Calvin Tucker,,,,,,,0,0,1
Write-In,,,,,,,,0,1
Total,18,0,10,9,9,8,7,0,1
,Auditor General - Republican,,Delegate To The Republican National Convention 3rd District - Republican,,,,,,2
,Timothy Defoor,Write-In,Calvin Tucker,Erin Elmore,Denise Furey,John Paul Sutton,Paul Panepinto,Write-In,2
Timothy Defoor,2,0,6,7,6,4,3,0,2
Write-In,,0,0,0,0,0,0,0,2
Calvin Tucker,,,0,4,4,3,2,0,2
Erin Elmore,,,,0,2,3,2,0,2
Denise Furey,,,,,0,1,1,0,2
John Paul Sutton,,,,,,0,3,0,2
Paul Panepinto,,,,,,,0,0,2
Write-In,,,,,,,,0,2
Total,13,0,7,7,6,5,4,0,2
,Auditor General - Republican,,Delegate To The Republican National Convention 3rd District - Republican,,,,,,3
,Timothy Defoor,Write-In,Calvin Tucker,Denise Furey,John Paul Sutton,Paul Panepinto,Erin Elmore,Write-In,3
Timothy Defoor,0,0,4,4,3,3,1,0,3
Write-In,,0,0,0,0,0,0,0,3
Calvin Tucker,,,0,1,2,2,0,0,3
Denise Furey,,,,0,2,0,1,0,3
John Paul Sutton,,,,,0,1,1,0,3
Paul Panepinto,,,,,,0,0,0,3
Erin Elmore,,,,,,,0,0,3
Write-In,,,,,,,,0,3
Total,8,0,4,4,3,3,1,0,3
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Auditor General - Republican,,4
,Denise Furey,Paul Panepinto,Calvin Tucker,Erin Elmore,John Paul Sutton,Write-In,Timothy Defoor,Write-In,4
Denise Furey,0,3,2,1,0,0,2,0,4
Paul Panepinto,,0,2,1,0,0,2,0,4
Calvin Tucker,,,0,0,0,0,2,0,4
Erin Elmore,,,,0,0,0,1,0,4
John Paul Sutton,,,,,1,0,0,0,4
Write-In,,,,,,0,0,0,4
Timothy Defoor,,,,,,,0,0,4
Write-In,,,,,,,,1,4
Total,3,3,2,2,1,0,3,1,4
,Auditor General - Republican,,Delegate To The Republican National Convention 3rd District - Republican,,,,,,5
,Timothy Defoor,Write-In,Denise Furey,Erin Elmore,John Paul Sutton,Calvin Tucker,Paul Panepinto,Write-In,5
