col_1,col_2,col_3,col_4,col_5,division
Joe Torsella,,,1,0,22
Write-In,,,,0,22
Total,56,1,40,0,22
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,23
,Angel Cruz,Write-In,Joe Torsella,Write-In,23
Angel Cruz,6,0,37,0,23
Write-In,,0,0,0,23
Joe Torsella,,,2,0,23
Write-In,,,,0,23
Total,43,0,39,0,23
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,24
,Angel Cruz,Write-In,Joe Torsella,Write-In,24
Angel Cruz,7,0,32,0,24
Write-In,,0,2,0,24
Joe Torsella,,,1,0,24
Write-In,,,,0,24
Total,39,2,35,0,24
