col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Senator In The General Assembly 3rd District - Democrat,,Auditor General - Democrat,,,,,,,All
,Sharif Street,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,All
Sharif Street,"1,955",0,"25,180","3,938","2,010","1,692","1,151",930,9,All
Write-In,,22,83,5,10,5,6,12,4,All
Nina Ahmad,,,"3,675",0,0,0,0,0,0,All
Michael Lamb,,,,447,0,0,0,0,0,All
Tracie Fountain,,,,,623,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,927,0,0,0,All
H Scott Conklin,,,,,,,138,0,0,All
Christina M Hartman,,,,,,,,247,0,All
Write-In,,,,,,,,,10,All
Total,"36,865",147,"28,938","4,390","2,643","2,624","1,295","1,189",23,All
