col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,,,,All
,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Alvaro Quinones,Lorraine Haw,Vayda Good,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Write-In,Marylouise Isaacson,Andre Del Valle,Vanessa Mcgrath,Jeff Dempsey,Write-In,All
Pamela Robinson,2,303,291,277,276,232,86,98,52,47,40,39,19,22,4,95,85,88,40,0,All
Michele Lockman,,3,289,283,285,225,84,97,52,43,39,33,22,25,3,104,77,80,39,0,All
Anthony Bellmon,,,2,281,288,216,70,81,37,36,28,27,22,21,3,94,73,69,38,0,All
Patrick Parkinson,,,,0,275,209,66,77,33,25,18,21,16,20,2,87,68,65,38,0,All
Theodore Kirsch,,,,,0,209,61,71,27,26,23,20,17,17,3,86,68,66,37,0,All
Mona Getzes Cohen,,,,,,1,56,65,60,62,58,42,37,40,2,67,71,69,31,0,All
Amy Roat,,,,,,,11,185,142,144,139,133,129,122,0,74,61,49,28,0,All
Lisa Powley,,,,,,,,1,132,143,131,133,125,121,0,66,59,57,33,0,All
Alvaro Quinones,,,,,,,,,0,149,158,143,142,140,1,58,71,37,21,0,All
Lorraine Haw,,,,,,,,,,0,158,148,142,136,1,51,55,43,23,0,All
Vayda Good,,,,,,,,,,,0,147,139,134,1,52,52,43,23,0,All
Kempis Ghani Songster,,,,,,,,,,,,2,138,130,2,48,51,37,21,0,All
Ronald Raju Joseph,,,,,,,,,,,,,0,139,0,48,47,35,19,0,All
Adam Tennant,,,,,,,,,,,,,,1,0,45,46,31,21,0,All
Write-In,,,,,,,,,,,,,,,1,1,0,1,0,0,All
Marylouise Isaacson,,,,,,,,,,,,,,,,9,0,0,0,0,All
