col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Representative In The General Assembly 200th District - Democrat,,Auditor General - Democrat,,,,,,,All
,Chris Rabb,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,All
Chris Rabb,979,0,"16,829","1,504",841,549,507,368,4,All
Write-In,,4,30,3,3,2,1,2,4,All
Nina Ahmad,,,"1,589",0,0,0,0,0,0,All
Michael Lamb,,,,104,0,0,0,0,0,All
Tracie Fountain,,,,,181,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,228,0,0,0,All
Christina M Hartman,,,,,,,86,0,0,All
H Scott Conklin,,,,,,,,37,0,All
Write-In,,,,,,,,,3,All
Total,"21,581",49,"18,448","1,611","1,025",779,594,407,11,All
