col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Alvaro Quinones,Vayda Good,Lorraine Haw,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Write-In,All
Joseph R Biden,285,0,0,0,"1,637","1,578","1,528","1,497","1,463","1,298",359,377,235,183,184,181,154,123,17,All
Bernie Sanders,,36,0,0,86,77,64,60,47,42,203,179,153,144,144,142,138,134,0,All
Tulsi Gabbard,,,5,0,9,13,9,7,7,7,12,9,9,9,6,9,9,5,0,All
Write-In,,,,1,9,8,9,9,9,4,4,5,2,4,3,5,1,1,0,All
Pamela Robinson,,,,,0,"1,531","1,492","1,463","1,434","1,215",355,376,151,133,150,140,87,71,12,All
Michele Lockman,,,,,,1,"1,511","1,496","1,467","1,226",353,377,161,136,140,132,99,81,8,All
Anthony Bellmon,,,,,,,0,"1,485","1,473","1,197",332,343,138,92,116,129,87,53,12,All
Patrick Parkinson,,,,,,,,0,"1,458","1,178",332,347,132,75,107,118,76,54,10,All
Theodore Kirsch,,,,,,,,,0,"1,173",310,322,98,68,96,109,66,48,9,All
Mona Getzes Cohen,,,,,,,,,,0,171,175,156,139,128,89,98,83,6,All
Amy Roat,,,,,,,,,,,0,447,225,207,211,204,199,185,0,All
Lisa Powley,,,,,,,,,,,,0,204,209,187,203,191,166,0,All
Alvaro Quinones,,,,,,,,,,,,,0,252,209,192,216,201,0,All
Vayda Good,,,,,,,,,,,,,,0,222,191,212,196,1,All
Lorraine Haw,,,,,,,,,,,,,,,0,199,192,184,1,All
Kempis Ghani Songster,,,,,,,,,,,,,,,,0,193,172,2,All
Ronald Raju Joseph,,,,,,,,,,,,,,,,,0,194,1,All
Adam Tennant,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,0,All
Total,"2,223",298,28,11,"1,755","1,691","1,622","1,590","1,538","1,365",585,574,402,342,340,338,308,266,25,All
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,1
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Michele Lockman,Pamela Robinson,Patrick Parkinson,Anthony Bellmon,Theodore Kirsch,Mona Getzes Cohen,Vayda Good,Lisa Powley,Amy Roat,Lorraine Haw,Kempis Ghani Songster,Adam Tennant,Alvaro Quinones,Ronald Raju Joseph,Write-In,1
Joseph R Biden,8,0,0,0,57,56,54,53,52,50,9,9,6,7,7,5,4,5,1,1
Bernie Sanders,,0,0,0,0,0,0,0,0,0,5,4,4,4,4,5,5,4,0,1
Tulsi Gabbard,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Michele Lockman,,,,,0,54,54,53,53,48,6,8,6,6,4,3,2,2,1,1
Pamela Robinson,,,,,,0,50,50,48,47,6,7,5,6,4,3,2,2,1,1
Patrick Parkinson,,,,,,,0,50,48,47,4,7,6,4,4,2,1,1,1,1
Anthony Bellmon,,,,,,,,0,48,45,4,5,3,5,4,1,1,1,1,1
Theodore Kirsch,,,,,,,,,0,43,5,6,6,5,4,3,1,3,1,1
Mona Getzes Cohen,,,,,,,,,,0,6,5,5,7,4,4,4,3,1,1
Vayda Good,,,,,,,,,,,0,7,7,9,7,8,9,8,0,1
Lisa Powley,,,,,,,,,,,,0,7,5,7,4,5,5,0,1
Amy Roat,,,,,,,,,,,,,0,7,5,5,5,6,0,1
Lorraine Haw,,,,,,,,,,,,,,0,6,7,7,7,0,1
Kempis Ghani Songster,,,,,,,,,,,,,,,0,6,6,7,0,1
Adam Tennant,,,,,,,,,,,,,,,,0,7,8,0,1
Alvaro Quinones,,,,,,,,,,,,,,,,,0,6,0,1
Ronald Raju Joseph,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,0,1
Total,74,5,1,0,60,58,57,55,54,52,14,13,12,12,11,10,9,9,1,1
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,2
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Lisa Powley,Amy Roat,Kempis Ghani Songster,Lorraine Haw,Alvaro Quinones,Vayda Good,Adam Tennant,Ronald Raju Joseph,Write-In,2
Joseph R Biden,17,0,0,0,120,117,111,108,108,96,28,22,16,14,16,9,10,10,1,2
Bernie Sanders,,5,0,0,8,5,5,6,5,5,17,16,14,16,12,15,14,10,0,2
Tulsi Gabbard,,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
Write-In,,,,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2
Pamela Robinson,,,,,0,114,112,110,110,95,27,19,12,13,6,7,7,6,1,2
Michele Lockman,,,,,,0,109,108,109,91,25,19,11,13,9,7,8,7,1,2
Anthony Bellmon,,,,,,,0,108,109,88,24,19,12,11,8,4,4,7,1,2
Patrick Parkinson,,,,,,,,0,111,89,22,19,12,11,8,3,5,7,1,2
Theodore Kirsch,,,,,,,,,0,90,23,18,10,10,6,5,5,6,1,2
Mona Getzes Cohen,,,,,,,,,,0,13,10,4,9,6,6,3,3,1,2
Lisa Powley,,,,,,,,,,,0,32,24,20,20,21,19,16,0,2
Amy Roat,,,,,,,,,,,,0,20,22,19,20,18,17,0,2
Kempis Ghani Songster,,,,,,,,,,,,,0,19,16,17,19,14,1,2
Lorraine Haw,,,,,,,,,,,,,,0,18,18,17,12,0,2
Alvaro Quinones,,,,,,,,,,,,,,,0,15,17,15,0,2
