col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Attorney General - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Josh Shapiro,Write-In,Pamela Robinson,Michele Lockman,Mona Getzes Cohen,Anthony Bellmon,Theodore Kirsch,Patrick Parkinson,Amy Roat,Lisa Powley,Lorraine Haw,Vayda Good,Alvaro Quinones,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Write-In,All
Josh Shapiro,156,0,"1,495","1,473","1,398","1,315","1,297","1,275","1,129","1,064",988,965,942,942,832,792,22,All
Write-In,,1,1,2,1,1,2,2,8,8,8,7,6,8,7,6,1,All
Pamela Robinson,,,7,"1,474","1,410","1,368","1,341","1,324",392,366,273,239,228,213,114,90,15,All
Michele Lockman,,,,0,"1,413","1,368","1,355","1,342",377,347,263,218,214,187,109,90,16,All
Mona Getzes Cohen,,,,,1,"1,291","1,285","1,272",330,312,255,232,214,182,106,93,15,All
Anthony Bellmon,,,,,,2,"1,321","1,320",254,237,156,125,154,138,84,68,14,All
Theodore Kirsch,,,,,,,1,"1,307",244,230,140,119,140,128,76,62,15,All
Patrick Parkinson,,,,,,,,0,234,213,130,105,134,117,66,57,15,All
Amy Roat,,,,,,,,,5,"1,055",967,933,880,903,843,811,6,All
Lisa Powley,,,,,,,,,,2,946,905,865,884,826,800,6,All
Lorraine Haw,,,,,,,,,,,0,932,874,895,844,810,6,All
Vayda Good,,,,,,,,,,,,0,910,898,839,814,7,All
Alvaro Quinones,,,,,,,,,,,,,3,873,834,807,2,All
Kempis Ghani Songster,,,,,,,,,,,,,,1,860,815,6,All
Ronald Raju Joseph,,,,,,,,,,,,,,,0,805,5,All
Adam Tennant,,,,,,,,,,,,,,,,0,3,All
Write-In,,,,,,,,,,,,,,,,,0,All
Total,"2,558",10,"1,637","1,598","1,522","1,436","1,409","1,390","1,267","1,194","1,100","1,076","1,061","1,052",936,897,23,All
,Attorney General - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,15
,Josh Shapiro,Write-In,Michele Lockman,Pamela Robinson,Amy Roat,Mona Getzes Cohen,Theodore Kirsch,Anthony Bellmon,Lisa Powley,Lorraine Haw,Alvaro Quinones,Patrick Parkinson,Vayda Good,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Write-In,15
Josh Shapiro,17,0,126,124,115,113,105,103,98,103,97,97,98,92,81,72,2,15
Write-In,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Michele Lockman,,,0,121,43,109,107,104,34,34,27,100,27,21,13,7,1,15
Pamela Robinson,,,,0,42,109,107,105,32,32,26,98,26,21,10,6,1,15
Amy Roat,,,,,0,36,28,25,101,97,88,22,93,86,83,70,0,15
Mona Getzes Cohen,,,,,,1,97,93,26,30,28,87,28,19,10,7,1,15
Theodore Kirsch,,,,,,,0,101,20,14,17,97,15,13,7,4,1,15
Anthony Bellmon,,,,,,,,0,17,15,17,95,11,14,8,5,1,15
Lisa Powley,,,,,,,,,1,90,82,14,84,79,75,65,0,15
Lorraine Haw,,,,,,,,,,0,87,16,91,84,81,73,1,15
Alvaro Quinones,,,,,,,,,,,0,17,87,84,82,73,1,15
Patrick Parkinson,,,,,,,,,,,,0,12,14,9,5,1,15
Vayda Good,,,,,,,,,,,,,0,84,78,72,1,15
Kempis Ghani Songster,,,,,,,,,,,,,,0,80,74,1,15
Ronald Raju Joseph,,,,,,,,,,,,,,,0,71,1,15
Adam Tennant,,,,,,,,,,,,,,,,0,1,15
Write-In,,,,,,,,,,,,,,,,,0,15
Total,226,1,133,132,125,121,112,109,109,109,107,105,105,99,88,78,2,15
,Attorney General - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,17
,Josh Shapiro,Write-In,Pamela Robinson,Michele Lockman,Mona Getzes Cohen,Patrick Parkinson,Anthony Bellmon,Theodore Kirsch,Amy Roat,Lisa Powley,Lorraine Haw,Alvaro Quinones,Kempis Ghani Songster,Vayda Good,Adam Tennant,Ronald Raju Joseph,Write-In,17
Josh Shapiro,23,0,165,158,155,145,145,140,127,122,109,104,106,104,92,88,4,17
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Pamela Robinson,,,2,162,159,151,153,152,45,44,29,23,20,24,7,7,4,17
Michele Lockman,,,,0,152,154,153,151,40,40,24,21,21,19,12,10,4,17
Mona Getzes Cohen,,,,,0,144,144,141,38,35,32,22,23,27,14,11,4,17
Patrick Parkinson,,,,,,0,150,148,28,25,12,14,14,9,4,4,4,17
Anthony Bellmon,,,,,,,0,148,26,28,15,12,15,11,3,7,4,17
Theodore Kirsch,,,,,,,,0,27,24,15,12,17,9,6,7,4,17
Amy Roat,,,,,,,,,1,120,110,99,102,107,96,92,0,17
Lisa Powley,,,,,,,,,,0,110,105,104,105,97,91,0,17
Lorraine Haw,,,,,,,,,,,0,105,105,107,100,95,0,17
Alvaro Quinones,,,,,,,,,,,,0,101,103,99,93,0,17
Kempis Ghani Songster,,,,,,,,,,,,,0,104,103,100,0,17
Vayda Good,,,,,,,,,,,,,,0,101,95,0,17
Adam Tennant,,,,,,,,,,,,,,,0,94,0,17
Ronald Raju Joseph,,,,,,,,,,,,,,,,0,0,17
Write-In,,,,,,,,,,,,,,,,,0,17
Total,296,0,187,177,172,160,159,157,149,141,127,123,122,122,108,102,4,17
,Attorney General - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,20
,Josh Shapiro,Write-In,Amy Roat,Pamela Robinson,Michele Lockman,Mona Getzes Cohen,Lisa Powley,Anthony Bellmon,Vayda Good,Kempis Ghani Songster,Lorraine Haw,Alvaro Quinones,Patrick Parkinson,Theodore Kirsch,Adam Tennant,Ronald Raju Joseph,Write-In,20
Josh Shapiro,11,0,99,97,99,95,90,88,85,84,84,81,85,84,76,77,2,20
Write-In,,0,2,0,0,0,2,0,2,2,2,1,0,0,1,1,1,20
Amy Roat,,,0,30,26,27,91,21,85,83,82,78,20,21,72,73,2,20
