col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Representative In The General Assembly 186th District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,All
,Jordan A Harris,Write-In,Samantha Newell,Maryanne Donaghy,Colleen Guiney,Rebecca Divalerio,Michel Lee,Karyn Hollis,Cora Linehan,Amanda Mcillmurray,John Randolph,Jake Metzger,Deidre Selig,Tray Herman,Ryan Yeager,Write-In,All
Jordan A Harris,51,0,498,479,473,467,213,196,174,170,162,150,144,135,123,4,All
Write-In,,2,1,1,1,1,2,2,1,2,1,1,1,1,1,0,All
Samantha Newell,,,12,520,510,532,164,152,129,113,119,100,80,65,65,5,All
Maryanne Donaghy,,,,14,530,501,129,116,87,129,86,66,93,79,83,5,All
Colleen Guiney,,,,,3,486,115,102,67,123,72,60,93,70,78,5,All
Rebecca Divalerio,,,,,,6,154,146,119,97,115,100,64,64,61,5,All
Michel Lee,,,,,,,1,181,158,113,152,136,109,110,95,0,All
Karyn Hollis,,,,,,,,1,155,118,149,141,103,100,80,0,All
Cora Linehan,,,,,,,,,2,105,143,142,103,100,80,0,All
Amanda Mcillmurray,,,,,,,,,,1,78,90,123,95,107,0,All
John Randolph,,,,,,,,,,,0,127,89,95,80,0,All
Jake Metzger,,,,,,,,,,,,5,92,99,79,0,All
Deidre Selig,,,,,,,,,,,,,1,99,92,0,All
Tray Herman,,,,,,,,,,,,,,2,97,0,All
Ryan Yeager,,,,,,,,,,,,,,,2,3,All
Write-In,,,,,,,,,,,,,,,,1,All
Total,695,4,627,604,590,583,250,230,208,199,193,185,170,162,152,6,All
,Representative In The General Assembly 186th District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,3
,Jordan A Harris,Write-In,Samantha Newell,Colleen Guiney,Maryanne Donaghy,Rebecca Divalerio,Michel Lee,Karyn Hollis,John Randolph,Cora Linehan,Amanda Mcillmurray,Deidre Selig,Jake Metzger,Tray Herman,Ryan Yeager,Write-In,3
Jordan A Harris,9,0,89,80,81,77,44,38,35,32,29,27,27,28,22,3,3
Write-In,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,3
Samantha Newell,,,4,93,90,92,37,28,23,26,18,18,19,14,12,4,3
Colleen Guiney,,,,2,91,85,25,20,15,12,20,19,11,15,15,4,3
Maryanne Donaghy,,,,,0,83,28,22,16,18,23,22,11,19,17,4,3
Rebecca Divalerio,,,,,,2,29,25,19,21,15,12,19,11,11,4,3
Michel Lee,,,,,,,0,37,31,32,21,23,27,21,15,0,3
Karyn Hollis,,,,,,,,0,28,30,24,20,26,18,15,0,3
John Randolph,,,,,,,,,0,27,13,16,25,21,15,0,3
Cora Linehan,,,,,,,,,,1,18,17,24,19,16,0,3
Amanda Mcillmurray,,,,,,,,,,,0,22,15,17,18,0,3
Deidre Selig,,,,,,,,,,,,0,14,17,18,0,3
Jake Metzger,,,,,,,,,,,,,1,18,13,0,3
Tray Herman,,,,,,,,,,,,,,0,22,0,3
Ryan Yeager,,,,,,,,,,,,,,,0,3,3
Write-In,,,,,,,,,,,,,,,,0,3
Total,121,1,115,107,102,100,49,44,39,38,33,33,32,32,28,4,3
,Representative In The General Assembly 186th District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,9
,Jordan A Harris,Write-In,Maryanne Donaghy,Rebecca Divalerio,Samantha Newell,Colleen Guiney,Cora Linehan,Michel Lee,Amanda Mcillmurray,Karyn Hollis,Deidre Selig,John Randolph,Jake Metzger,Tray Herman,Ryan Yeager,Write-In,9
Jordan A Harris,15,0,57,56,58,54,26,25,23,23,21,18,16,15,14,1,9
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Maryanne Donaghy,,,2,66,65,67,11,16,16,14,14,9,7,9,10,1,9
Rebecca Divalerio,,,,2,66,60,17,16,14,15,9,10,10,7,7,1,9
Samantha Newell,,,,,1,59,17,16,16,16,12,10,8,6,7,1,9
Colleen Guiney,,,,,,0,9,13,15,11,14,7,6,7,10,1,9
Cora Linehan,,,,,,,0,23,18,22,19,21,19,17,12,0,9
Michel Lee,,,,,,,,0,17,24,19,20,19,18,14,0,9
Amanda Mcillmurray,,,,,,,,,0,16,20,11,12,13,17,0,9
Karyn Hollis,,,,,,,,,,1,18,22,18,14,10,0,9
Deidre Selig,,,,,,,,,,,0,17,14,15,13,0,9
John Randolph,,,,,,,,,,,,0,18,15,9,0,9
Jake Metzger,,,,,,,,,,,,,1,16,10,0,9
Tray Herman,,,,,,,,,,,,,,0,14,0,9
Ryan Yeager,,,,,,,,,,,,,,,0,0,9
Write-In,,,,,,,,,,,,,,,,0,9
Total,91,0,80,76,76,72,31,31,30,29,28,24,23,22,20,1,9
,Representative In The General Assembly 186th District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,10
,Jordan A Harris,Write-In,Colleen Guiney,Maryanne Donaghy,Samantha Newell,Rebecca Divalerio,Michel Lee,Amanda Mcillmurray,Karyn Hollis,John Randolph,Deidre Selig,Jake Metzger,Tray Herman,Ryan Yeager,Cora Linehan,Write-In,10
Jordan A Harris,8,0,76,75,71,71,26,24,25,18,20,16,19,16,15,0,10
Write-In,,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,10
Colleen Guiney,,,0,86,82,79,18,24,17,10,15,7,11,12,7,0,10
Maryanne Donaghy,,,,3,81,80,20,22,18,11,13,8,11,11,7,0,10
Samantha Newell,,,,,2,81,20,18,18,12,9,9,7,6,9,0,10
Rebecca Divalerio,,,,,,1,21,17,18,12,8,10,10,7,9,0,10
Michel Lee,,,,,,,0,16,24,19,14,15,15,10,13,0,10
Amanda Mcillmurray,,,,,,,,0,15,10,17,9,12,15,10,0,10
Karyn Hollis,,,,,,,,,0,18,15,18,15,10,14,0,10
John Randolph,,,,,,,,,,0,11,13,12,10,15,0,10
Deidre Selig,,,,,,,,,,,0,11,13,12,11,0,10
Jake Metzger,,,,,,,,,,,,2,11,10,14,0,10
Tray Herman,,,,,,,,,,,,,1,12,9,0,10
Ryan Yeager,,,,,,,,,,,,,,2,9,0,10
Cora Linehan,,,,,,,,,,,,,,,0,0,10
Write-In,,,,,,,,,,,,,,,,0,10
Total,101,1,94,94,91,89,31,29,29,23,22,22,22,21,19,0,10
