col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Senator In The General Assembly 1st District - Democrat,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Nikil Saval,Larry Farnese,Write-In,Nina Tinari,Sherrie Cohen,Heather Pope,Malcolm Kenyatta,Anlin Wang,Joanne Beer,Terry Gillen,Cindy Bass,Ken Washington,Charlene Cooper,Anuj Gupta,Wynnetta Ward,Daisy Confoy,Lindy Li,Christina Borst,Carla Le'Coin,Arielle Cohen,Steve Paul,Paul Prescod,Matthew Miller,Sergio Cea,Jack Cahill,Bryan Mercer,Owen Voutsinas-Klose,Daniel Laufer,Write-In,All
Nikil Saval,46,0,0,249,463,459,239,455,448,229,227,214,219,239,222,442,223,430,426,422,406,396,184,399,385,382,179,378,5,All
Larry Farnese,,24,0,270,98,93,276,91,86,267,260,269,266,244,252,66,251,72,75,72,74,70,251,67,72,72,232,59,10,All
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Nina Tinari,,,,1,138,107,466,111,123,482,481,455,491,478,455,105,447,88,77,68,71,62,426,52,41,40,428,31,7,All
Sherrie Cohen,,,,,0,506,109,493,509,125,127,90,117,119,103,497,98,458,455,451,466,452,67,416,410,412,78,406,0,All
Heather Pope,,,,,,3,83,504,490,99,103,55,90,92,79,483,78,453,453,453,466,443,44,427,420,406,67,414,0,All
Malcolm Kenyatta,,,,,,,4,83,89,462,445,480,460,449,469,65,459,83,74,72,51,45,448,61,48,60,404,36,7,All
Anlin Wang,,,,,,,,0,487,97,102,66,90,105,80,478,87,447,449,455,461,444,51,437,419,409,75,413,0,All
Joanne Beer,,,,,,,,,0,107,109,67,94,101,95,497,80,452,445,447,456,451,54,427,409,405,62,407,2,All
Terry Gillen,,,,,,,,,,1,467,462,487,464,449,85,429,68,62,64,74,73,429,48,47,47,428,34,7,All
