col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,All
,Nina Tinari,Ken Washington,Cindy Bass,Terry Gillen,Charlene Cooper,Malcolm Kenyatta,Anuj Gupta,Wynnetta Ward,Owen Voutsinas-Klose,Matthew Miller,Lindy Li,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Steve Paul,Daisy Confoy,Paul Prescod,Christina Borst,Arielle Cohen,Bryan Mercer,Jack Cahill,Carla Le'Coin,Daniel Laufer,Sergio Cea,Write-In,Amen Brown,Roni Green,Danyl Patterson,Van Stone,Write-In,All
Nina Tinari,2,655,710,708,709,648,688,642,674,613,594,211,164,157,147,134,143,125,91,68,64,55,68,49,50,13,304,299,153,29,1,All
Ken Washington,,8,633,656,641,664,612,668,586,638,628,129,85,81,76,65,66,59,91,68,79,57,72,58,64,5,262,283,167,35,1,All
Cindy Bass,,,0,695,691,631,668,613,655,588,576,190,167,155,141,128,137,122,78,71,62,49,51,49,47,5,281,301,139,20,1,All
Terry Gillen,,,,0,720,624,689,633,651,614,588,185,151,154,127,126,135,125,86,61,60,52,57,45,43,5,265,296,144,27,1,All
Charlene Cooper,,,,,0,625,685,631,650,606,581,190,153,154,131,134,132,123,82,54,55,40,55,33,42,5,267,291,143,27,0,All
Malcolm Kenyatta,,,,,,3,612,657,571,637,620,131,97,91,82,66,75,59,94,81,83,63,74,59,62,5,272,276,149,27,1,All
Anuj Gupta,,,,,,,0,601,639,585,567,179,150,146,134,120,130,119,69,52,53,32,52,38,36,5,267,273,134,24,0,All
Wynnetta Ward,,,,,,,,2,569,632,619,122,91,78,78,64,62,49,89,82,72,66,72,59,62,5,251,271,147,26,0,All
Owen Voutsinas-Klose,,,,,,,,,2,561,545,161,150,127,128,115,110,101,55,47,42,35,38,31,37,5,254,267,124,22,0,All
Matthew Miller,,,,,,,,,,0,597,108,78,71,59,46,53,40,83,69,66,54,60,48,56,5,226,263,140,25,0,All
Lindy Li,,,,,,,,,,,1,100,77,66,76,50,54,36,82,72,72,55,59,54,56,5,233,247,133,23,1,All
Sherrie Cohen,,,,,,,,,,,,0,200,183,184,186,182,166,112,110,91,92,97,86,74,0,119,98,51,14,0,All
Heather Pope,,,,,,,,,,,,,1,178,180,183,171,155,106,113,87,99,83,93,87,0,116,81,48,12,1,All
Joanne Beer,,,,,,,,,,,,,,0,157,170,184,169,96,89,84,84,74,77,73,0,104,76,36,13,0,All
Anlin Wang,,,,,,,,,,,,,,,0,172,156,147,86,100,80,85,79,79,80,0,85,77,39,10,0,All
Steve Paul,,,,,,,,,,,,,,,,0,160,158,93,94,84,91,83,80,76,0,95,63,39,11,0,All
Daisy Confoy,,,,,,,,,,,,,,,,,0,166,99,94,76,83,82,82,74,0,90,66,39,15,1,All
Paul Prescod,,,,,,,,,,,,,,,,,,0,79,74,75,74,76,75,65,0,83,58,33,12,1,All
Christina Borst,,,,,,,,,,,,,,,,,,,0,109,107,104,111,107,85,0,69,54,49,10,0,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,0,91,100,90,98,102,0,83,37,39,11,0,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,2,91,104,95,77,0,62,45,36,9,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,0,92,99,87,0,70,39,34,8,0,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,0,94,79,0,64,42,33,12,0,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,0,78,0,53,38,36,9,0,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,0,0,62,34,31,7,1,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,All
Amen Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,166,0,0,0,0,All
Roni Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,0,0,All
Danyl Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,0,All
Van Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,862,811,810,799,789,779,760,750,733,704,687,305,284,248,232,230,229,206,191,179,162,158,156,142,141,13,606,440,271,56,3,All
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,1
,Nina Tinari,Cindy Bass,Ken Washington,Malcolm Kenyatta,Anuj Gupta,Charlene Cooper,Owen Voutsinas-Klose,Wynnetta Ward,Matthew Miller,Terry Gillen,Lindy Li,Heather Pope,Sherrie Cohen,Joanne Beer,Anlin Wang,Steve Paul,Daisy Confoy,Paul Prescod,Arielle Cohen,Christina Borst,Carla Le'Coin,Bryan Mercer,Jack Cahill,Daniel Laufer,Sergio Cea,Write-In,Amen Brown,Danyl Patterson,Roni Green,Van Stone,Write-In,1
Nina Tinari,0,101,90,89,96,92,94,88,85,88,82,31,33,25,26,23,21,18,11,12,11,8,7,7,9,2,51,30,29,0,0,1
Cindy Bass,,0,87,87,93,93,90,82,79,88,80,31,31,27,24,25,22,19,10,11,10,9,8,9,7,2,42,32,33,0,0,1
Ken Washington,,,2,87,81,82,77,87,83,78,84,18,18,10,12,10,8,6,11,9,8,7,7,7,8,2,43,33,27,0,0,1
Malcolm Kenyatta,,,,1,84,78,74,85,83,72,82,18,23,16,17,11,13,9,11,10,12,11,8,9,8,2,45,31,22,0,0,1
Anuj Gupta,,,,,0,85,89,78,77,84,76,27,28,23,24,21,21,17,5,8,8,8,4,7,6,2,39,30,25,0,0,1
Charlene Cooper,,,,,,0,85,77,77,85,76,23,27,20,21,23,17,17,7,8,5,4,4,4,8,2,36,31,28,0,0,1
Owen Voutsinas-Klose,,,,,,,0,72,76,84,72,22,24,20,20,19,18,16,5,6,4,5,2,3,4,2,39,29,24,0,0,1
