col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,All
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Maryanne Donaghy,Samantha Newell,Rebecca Divalerio,Colleen Guiney,Michel Lee,Karyn Hollis,Amanda Mcillmurray,Cora Linehan,Deidre Selig,Jake Metzger,Tray Herman,John Randolph,Ryan Yeager,Write-In,All
Joseph R Biden,"1,720",0,0,0,"11,146","10,800","10,493","10,628","3,114","3,103","3,084","2,489","2,450","2,088","2,113","2,066","2,057",149,All
Bernie Sanders,,356,0,0,407,580,579,364,"2,970","2,932","2,700","2,998","2,697","2,936","2,674","2,648","2,461",15,All
Tulsi Gabbard,,,150,0,111,99,112,91,146,136,131,134,119,139,125,120,107,20,All
Write-In,,,,44,62,62,65,60,43,56,57,60,57,42,39,39,38,96,All
Maryanne Donaghy,,,,,10,"10,245","10,145","10,465","2,529","2,677","2,808","2,053","2,107","1,469","1,683","1,545","1,713",137,All
Samantha Newell,,,,,,14,"10,393","10,011","2,807","3,038","2,495","2,371","1,843","1,810","1,354","1,835","1,345",162,All
Rebecca Divalerio,,,,,,,19,"9,887","2,785","2,985","2,470","2,347","1,728","1,836","1,401","1,802","1,332",141,All
Colleen Guiney,,,,,,,,8,"2,379","2,537","2,748","1,840","2,061","1,389","1,589","1,433","1,641",137,All
Michel Lee,,,,,,,,,11,"4,989","4,399","4,575","4,083","4,211","3,858","4,170","3,594",17,All
Karyn Hollis,,,,,,,,,,2,"4,550","4,884","4,200","4,210","3,785","4,081","3,280",18,All
Amanda Mcillmurray,,,,,,,,,,,6,"4,212","4,450","3,566","3,870","3,265","3,819",35,All
Cora Linehan,,,,,,,,,,,,1,"4,046","4,190","3,788","3,928","3,287",23,All
Deidre Selig,,,,,,,,,,,,,2,"3,495","3,864","3,291","3,619",10,All
Jake Metzger,,,,,,,,,,,,,,9,"3,631","3,906","3,302",7,All
Tray Herman,,,,,,,,,,,,,,,4,"3,406","3,598",13,All
John Randolph,,,,,,,,,,,,,,,,3,"3,262",17,All
Ryan Yeager,,,,,,,,,,,,,,,,,3,10,All
Write-In,,,,,,,,,,,,,,,,,,0,All
Total,"15,080","3,853",419,169,"11,846","11,669","11,377","11,259","6,343","6,301","6,049","5,745","5,378","5,276","5,013","4,930","4,722",339,All
