col_1,col_2,division
,Representative In The General Assembly 191st District - Republican,All
,Write-In,All
Write-In,3,All
Total,3,All
,Representative In The General Assembly 191st District - Republican,3
,Write-In,3
Write-In,0,3
Total,0,3
,Representative In The General Assembly 191st District - Republican,4
,Write-In,4
Write-In,0,4
Total,0,4
,Representative In The General Assembly 191st District - Republican,5
,Write-In,5
Write-In,0,5
Total,0,5
,Representative In The General Assembly 191st District - Republican,6
,Write-In,6
Write-In,0,6
Total,0,6
,Representative In The General Assembly 191st District - Republican,7
,Write-In,7
Write-In,0,7
Total,0,7
,Representative In The General Assembly 191st District - Republican,9
,Write-In,9
Write-In,0,9
Total,0,9
,Representative In The General Assembly 191st District - Republican,10
,Write-In,10
Write-In,0,10
Total,0,10
,Representative In The General Assembly 191st District - Republican,11
,Write-In,11
Write-In,0,11
Total,0,11
,Representative In The General Assembly 191st District - Republican,12
,Write-In,12
Write-In,0,12
Total,0,12
,Representative In The General Assembly 191st District - Republican,14
,Write-In,14
Write-In,0,14
Total,0,14
,Representative In The General Assembly 191st District - Republican,19
,Write-In,19
Write-In,1,19
Total,1,19
,Representative In The General Assembly 191st District - Republican,20
,Write-In,20
Write-In,1,20
Total,1,20
,Representative In The General Assembly 191st District - Republican,21
,Write-In,21
Write-In,0,21
Total,0,21
,Representative In The General Assembly 191st District - Republican,23
,Write-In,23
Write-In,0,23
Total,0,23
,Representative In The General Assembly 191st District - Republican,24
,Write-In,24
Write-In,0,24
Total,0,24
,Representative In The General Assembly 191st District - Republican,25
,Write-In,25
Write-In,0,25
Total,0,25
,Representative In The General Assembly 191st District - Republican,26
,Write-In,26
Write-In,0,26
Total,0,26
,Representative In The General Assembly 191st District - Republican,33
,Write-In,33
Write-In,0,33
Total,0,33
,Representative In The General Assembly 191st District - Republican,34
,Write-In,34
Write-In,1,34
Total,1,34
,Representative In The General Assembly 191st District - Republican,47
,Write-In,47
Write-In,0,47
Total,0,47
