col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,,,,All
,Nina Tinari,Anuj Gupta,Cindy Bass,Lindy Li,Malcolm Kenyatta,Charlene Cooper,Terry Gillen,Wynnetta Ward,Ken Washington,Owen Voutsinas-Klose,Matthew Miller,Sherrie Cohen,Heather Pope,Anlin Wang,Arielle Cohen,Joanne Beer,Daisy Confoy,Christina Borst,Carla Le'Coin,Sergio Cea,Steve Paul,Jack Cahill,Paul Prescod,Daniel Laufer,Bryan Mercer,Write-In,Marylouise Isaacson,Vanessa Mcgrath,Jeff Dempsey,Andre Del Valle,Write-In,All
Nina Tinari,7,"4,497","4,516","4,454","4,316","4,436","4,380","4,374","4,254","4,263","4,193",684,630,548,528,521,453,392,386,275,225,187,196,153,158,73,"2,110","1,406",739,292,2,All
Anuj Gupta,,0,"4,421","4,367","4,286","4,363","4,345","4,292","4,228","4,204","4,159",626,585,536,479,483,411,323,324,263,220,161,201,147,156,74,"2,055","1,376",716,298,2,All
Cindy Bass,,,1,"4,352","4,244","4,418","4,352","4,330","4,210","4,195","4,141",638,583,493,495,496,416,338,324,227,187,142,180,137,133,79,"2,070","1,365",702,265,2,All
Lindy Li,,,,0,"4,278","4,316","4,281","4,340","4,207","4,118","4,183",606,565,504,502,444,398,367,366,283,180,168,144,153,164,66,"2,031","1,343",695,301,2,All
Malcolm Kenyatta,,,,,3,"4,217","4,205","4,244","4,217","4,107","4,177",538,473,438,440,388,311,310,302,268,174,179,164,159,179,76,"2,008","1,298",671,309,2,All
Charlene Cooper,,,,,,2,"4,320","4,316","4,226","4,196","4,174",566,513,425,414,433,355,300,296,196,161,125,161,109,128,71,"2,012","1,316",679,265,2,All
Terry Gillen,,,,,,,2,"4,237","4,237","4,159","4,173",534,470,402,392,387,313,280,263,188,181,154,158,139,137,72,"2,017","1,304",687,263,2,All
Wynnetta Ward,,,,,,,,2,"4,204","4,086","4,155",573,523,451,465,425,366,333,337,248,171,160,132,143,149,73,"1,976","1,317",666,284,2,All
Ken Washington,,,,,,,,,2,"4,119","4,186",437,389,362,328,298,217,223,207,197,151,142,133,123,141,71,"1,958","1,248",666,271,2,All
Owen Voutsinas-Klose,,,,,,,,,,1,"4,078",432,404,368,302,307,239,192,208,190,161,118,150,104,104,68,"1,936","1,217",661,255,2,All
Matthew Miller,,,,,,,,,,,0,406,332,303,317,262,185,204,190,185,113,129,104,105,131,70,"1,939","1,215",644,256,2,All
Sherrie Cohen,,,,,,,,,,,,0,"1,748","1,670","1,672","1,625","1,602","1,516","1,483","1,376","1,426","1,326","1,356","1,327","1,275",23,614,651,426,284,0,All
Heather Pope,,,,,,,,,,,,,2,"1,675","1,615","1,642","1,626","1,528","1,508","1,413","1,432","1,349","1,359","1,331","1,281",11,565,662,431,285,0,All
Anlin Wang,,,,,,,,,,,,,,2,"1,558","1,546","1,557","1,462","1,464","1,427","1,434","1,331","1,359","1,321","1,287",15,539,614,417,283,0,All
Arielle Cohen,,,,,,,,,,,,,,,0,"1,538","1,535","1,486","1,455","1,387","1,358","1,323","1,302","1,310","1,266",8,539,614,389,271,0,All
Joanne Beer,,,,,,,,,,,,,,,,0,"1,595","1,465","1,447","1,353","1,381","1,286","1,366","1,287","1,257",32,519,613,398,244,1,All
Daisy Confoy,,,,,,,,,,,,,,,,,0,"1,491","1,485","1,361","1,375","1,291","1,356","1,287","1,249",16,481,580,386,255,0,All
Christina Borst,,,,,,,,,,,,,,,,,,0,"1,533","1,318","1,307","1,317","1,266","1,336","1,312",3,469,565,355,248,0,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,0,"1,329","1,287","1,315","1,258","1,321","1,296",3,469,548,353,258,1,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,0,"1,291","1,270","1,276","1,260","1,237",1,414,479,347,259,0,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,0,"1,273","1,322","1,271","1,234",14,381,467,361,240,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,0,"1,238","1,298","1,263",1,381,457,333,229,0,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,0,"1,234","1,226",10,383,435,347,219,0,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,0,"1,259",12,369,444,318,229,1,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,0,2,373,442,314,215,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,20,3,2,0,All
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,,,,,,,183,0,0,0,0,All
Vanessa Mcgrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,0,0,0,All
Jeff Dempsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0,0,All
Andre Del Valle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"4,913","4,799","4,759","4,711","4,632","4,620","4,618","4,589","4,479","4,393","4,381","2,095","2,072","1,974","1,927","1,892","1,810","1,739","1,726","1,595","1,547","1,488","1,480","1,452","1,435",113,"2,806","2,109","1,215",611,4,All
