col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Senator In The General Assembly 1st District - Democrat,,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,All
,Nikil Saval,Larry Farnese,Write-In,Samantha Newell,Rebecca Divalerio,Maryanne Donaghy,Colleen Guiney,Karyn Hollis,Amanda Mcillmurray,Cora Linehan,Michel Lee,Deidre Selig,Jake Metzger,Tray Herman,John Randolph,Ryan Yeager,Write-In,All
Nikil Saval,317,0,0,"1,390","1,376","1,345","1,302","2,043","1,961","1,999","1,978","1,874","1,764","1,676","1,615","1,600",47,All
Larry Farnese,,421,0,"1,725","1,752","1,759","1,725",621,667,601,612,530,549,445,478,481,73,All
Write-In,,,0,1,1,2,1,2,1,1,1,1,1,1,1,1,10,All
Samantha Newell,,,,22,"2,972","2,941","2,888",924,878,817,783,655,510,371,430,398,57,All
Rebecca Divalerio,,,,,13,"2,937","2,887",913,879,824,789,634,551,393,432,408,47,All
Maryanne Donaghy,,,,,,11,"2,953",836,887,734,728,651,451,379,376,440,46,All
Colleen Guiney,,,,,,,11,810,872,693,694,634,428,375,362,428,47,All
Karyn Hollis,,,,,,,,1,"2,309","2,405","2,281","2,194","2,046","1,934","1,916","1,777",10,All
Amanda Mcillmurray,,,,,,,,,1,"2,260","2,176","2,218","1,893","1,917","1,740","1,883",10,All
Cora Linehan,,,,,,,,,,7,"2,211","2,165","2,069","1,962","1,909","1,795",13,All
Michel Lee,,,,,,,,,,,2,"2,093","2,043","1,932","1,953","1,857",4,All
Deidre Selig,,,,,,,,,,,,0,"1,862","1,912","1,751","1,827",8,All
Jake Metzger,,,,,,,,,,,,,10,"1,882","1,924","1,791",3,All
Tray Herman,,,,,,,,,,,,,,0,"1,765","1,806",8,All
John Randolph,,,,,,,,,,,,,,,1,"1,753",2,All
Ryan Yeager,,,,,,,,,,,,,,,,0,1,All
Write-In,,,,,,,,,,,,,,,,,1,All
Total,"3,452","2,735",6,"3,290","3,286","3,265","3,181","2,745","2,708","2,687","2,671","2,476","2,401","2,201","2,156","2,152",143,All
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Senator In The General Assembly 1st District - Democrat,,,1
,Karyn Hollis,Cora Linehan,Deidre Selig,Amanda Mcillmurray,Michel Lee,Samantha Newell,Maryanne Donaghy,Jake Metzger,Rebecca Divalerio,Colleen Guiney,Tray Herman,John Randolph,Ryan Yeager,Write-In,Larry Farnese,Nikil Saval,Write-In,1
Karyn Hollis,0,49,42,43,42,14,14,40,15,13,35,36,28,0,20,29,0,1
Cora Linehan,,0,43,44,41,13,12,41,13,11,37,37,30,0,20,28,0,1
Deidre Selig,,,0,45,37,15,14,35,14,13,39,31,34,0,19,27,0,1
Amanda Mcillmurray,,,,0,37,16,16,34,16,15,36,31,33,0,20,25,0,1
Michel Lee,,,,,0,8,6,39,7,5,35,37,30,0,15,29,0,1
