col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,State Treasurer - Democrat,,President Of The United States - Democrat,,,,All
,Joe Torsella,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,All
Joe Torsella,20,0,"1,126",375,55,15,All
Write-In,,0,0,2,0,4,All
Joseph R Biden,,,461,0,0,0,All
Bernie Sanders,,,,122,0,0,All
Tulsi Gabbard,,,,,31,0,All
Write-In,,,,,,17,All
Total,"1,591",6,"1,587",499,86,36,All
,President Of The United States - Democrat,,,,State Treasurer - Democrat,,1
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Joe Torsella,Write-In,1
Joseph R Biden,26,0,0,0,50,0,1
Bernie Sanders,,8,0,0,21,0,1
Tulsi Gabbard,,,3,0,2,0,1
Write-In,,,,1,1,0,1
Joe Torsella,,,,,1,0,1
Write-In,,,,,,0,1
Total,76,29,5,2,75,0,1
,State Treasurer - Democrat,,President Of The United States - Democrat,,,,2
,Joe Torsella,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,2
Joe Torsella,1,0,27,25,1,1,2
Write-In,,0,0,0,0,0,2
Joseph R Biden,,,13,0,0,0,2
Bernie Sanders,,,,4,0,0,2
Tulsi Gabbard,,,,,1,0,2
Write-In,,,,,,1,2
Total,55,0,40,29,2,2,2
,State Treasurer - Democrat,,President Of The United States - Democrat,,,,3
,Joe Torsella,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,3
Joe Torsella,1,0,82,23,8,3,3
Write-In,,0,0,1,0,1,3
Joseph R Biden,,,35,0,0,0,3
Bernie Sanders,,,,9,0,0,3
Tulsi Gabbard,,,,,2,0,3
Write-In,,,,,,3,3
Total,117,2,117,33,10,7,3
,State Treasurer - Democrat,,President Of The United States - Democrat,,,,4
,Joe Torsella,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,4
Joe Torsella,4,0,71,11,2,0,4
Write-In,,0,0,0,0,0,4
Joseph R Biden,,,11,0,0,0,4
Bernie Sanders,,,,4,0,0,4
Tulsi Gabbard,,,,,1,0,4
Write-In,,,,,,2,4
Total,88,0,82,15,3,2,4
,State Treasurer - Democrat,,President Of The United States - Democrat,,,,5
,Joe Torsella,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,5
Joe Torsella,1,0,47,17,1,0,5
Write-In,,0,0,0,0,0,5
Joseph R Biden,,,15,0,0,0,5
Bernie Sanders,,,,4,0,0,5
Tulsi Gabbard,,,,,5,0,5
Write-In,,,,,,0,5
Total,66,0,62,21,6,0,5
,State Treasurer - Democrat,,President Of The United States - Democrat,,,,6
,Joe Torsella,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,6
Joe Torsella,2,0,43,24,1,1,6
Write-In,,0,0,0,0,1,6
Joseph R Biden,,,19,0,0,0,6
Bernie Sanders,,,,9,0,0,6
Tulsi Gabbard,,,,,3,0,6
Write-In,,,,,,1,6
Total,71,1,62,33,4,3,6
,State Treasurer - Democrat,,President Of The United States - Democrat,,,,7
,Joe Torsella,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,7
Joe Torsella,0,0,45,18,0,1,7
Write-In,,0,0,0,0,0,7
Joseph R Biden,,,12,0,0,0,7
Bernie Sanders,,,,4,0,0,7
Tulsi Gabbard,,,,,1,0,7
Write-In,,,,,,0,7
Total,64,0,57,22,1,1,7
,President Of The United States - Democrat,,,,State Treasurer - Democrat,,8
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Joe Torsella,Write-In,8
Joseph R Biden,22,0,0,0,57,0,8
Bernie Sanders,,9,0,0,14,0,8
Tulsi Gabbard,,,0,0,2,0,8
Write-In,,,,0,1,0,8
Joe Torsella,,,,,0,0,8
Write-In,,,,,,0,8
Total,79,23,2,1,74,0,8
,President Of The United States - Democrat,,,,State Treasurer - Democrat,,9
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Joe Torsella,Write-In,9
Joseph R Biden,20,0,0,0,28,0,9
Bernie Sanders,,2,0,0,5,0,9
Tulsi Gabbard,,,1,0,1,0,9
Write-In,,,,0,1,0,9
Joe Torsella,,,,,0,0,9
Write-In,,,,,,0,9
Total,48,7,2,1,35,0,9
,President Of The United States - Democrat,,,,State Treasurer - Democrat,,10
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Joe Torsella,Write-In,10
Joseph R Biden,27,0,0,0,34,0,10
Bernie Sanders,,6,0,0,18,0,10
Tulsi Gabbard,,,1,0,1,0,10
Write-In,,,,1,0,0,10
Joe Torsella,,,,,0,0,10
Write-In,,,,,,0,10
Total,61,24,2,1,53,0,10
,President Of The United States - Democrat,,,,State Treasurer - Democrat,,11
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Joe Torsella,Write-In,11
Joseph R Biden,35,0,0,0,44,0,11
Bernie Sanders,,7,0,0,17,0,11
Tulsi Gabbard,,,1,0,1,0,11
Write-In,,,,1,0,1,11
Joe Torsella,,,,,2,0,11
Write-In,,,,,,0,11
Total,79,24,2,2,64,1,11
,State Treasurer - Democrat,,President Of The United States - Democrat,,,,12
,Joe Torsella,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,12
Joe Torsella,0,0,24,9,0,0,12
Write-In,,0,0,0,0,0,12
Joseph R Biden,,,5,0,0,0,12
Bernie Sanders,,,,0,0,0,12
Tulsi Gabbard,,,,,1,0,12
