col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,All
,Donald J Trump,Bill Weld,Write-In,Roque Rocky De La Fuente,Pete Digiannantonio,Christopher M Vogler,Gary Grisafi,William M Pirolli,Write-In,All
Donald J Trump,63,0,0,0,448,283,260,268,6,All
Bill Weld,,10,0,0,29,25,29,27,0,All
Write-In,,,4,0,6,5,5,8,1,All
Roque Rocky De La Fuente,,,,2,6,5,10,5,0,All
Pete Digiannantonio,,,,,1,209,227,231,1,All
Christopher M Vogler,,,,,,2,142,166,2,All
Gary Grisafi,,,,,,,3,124,0,All
William M Pirolli,,,,,,,,1,1,All
Write-In,,,,,,,,,0,All
Total,628,62,18,13,498,330,315,315,7,All
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,1
,Donald J Trump,Bill Weld,Roque Rocky De La Fuente,Write-In,Pete Digiannantonio,William M Pirolli,Christopher M Vogler,Gary Grisafi,Write-In,1
Donald J Trump,6,0,0,0,20,12,8,7,1,1
Bill Weld,,0,0,0,2,1,1,1,0,1
Roque Rocky De La Fuente,,,1,0,0,0,0,0,0,1
Write-In,,,,1,0,0,0,0,0,1
Pete Digiannantonio,,,,,0,13,8,9,1,1
William M Pirolli,,,,,,0,5,4,0,1
Christopher M Vogler,,,,,,,0,3,1,1
Gary Grisafi,,,,,,,,0,0,1
Write-In,,,,,,,,,0,1
Total,27,2,1,1,23,14,9,9,1,1
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,2
,Donald J Trump,Bill Weld,Roque Rocky De La Fuente,Write-In,Pete Digiannantonio,Gary Grisafi,William M Pirolli,Christopher M Vogler,Write-In,2
Donald J Trump,6,0,0,0,47,26,24,24,0,2
Bill Weld,,1,0,0,5,3,5,3,0,2
Roque Rocky De La Fuente,,,0,0,1,2,1,1,0,2
Write-In,,,,0,0,0,0,0,0,2
Pete Digiannantonio,,,,,0,27,28,24,0,2
Gary Grisafi,,,,,,0,12,13,0,2
William M Pirolli,,,,,,,0,13,0,2
Christopher M Vogler,,,,,,,,0,0,2
Write-In,,,,,,,,,0,2
Total,58,7,2,0,55,32,31,29,0,2
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,3
,Donald J Trump,Write-In,Bill Weld,Roque Rocky De La Fuente,Pete Digiannantonio,William M Pirolli,Christopher M Vogler,Gary Grisafi,Write-In,3
Donald J Trump,3,0,0,0,25,18,13,10,0,3
Write-In,,1,0,0,0,0,0,0,0,3
Bill Weld,,,0,0,0,0,0,0,0,3
Roque Rocky De La Fuente,,,,0,0,0,0,0,0,3
Pete Digiannantonio,,,,,1,16,10,8,0,3
William M Pirolli,,,,,,0,7,5,0,3
Christopher M Vogler,,,,,,,0,5,0,3
Gary Grisafi,,,,,,,,0,0,3
Write-In,,,,,,,,,0,3
Total,33,1,0,0,26,18,14,11,0,3
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,4
,Donald J Trump,Bill Weld,Roque Rocky De La Fuente,Write-In,Pete Digiannantonio,William M Pirolli,Christopher M Vogler,Gary Grisafi,Write-In,4
Donald J Trump,3,0,0,0,27,17,19,14,0,4
Bill Weld,,1,0,0,3,2,1,1,0,4
Roque Rocky De La Fuente,,,0,0,1,1,0,1,0,4
Write-In,,,,0,1,2,1,2,0,4
Pete Digiannantonio,,,,,0,14,9,14,0,4
William M Pirolli,,,,,,0,11,7,0,4
Christopher M Vogler,,,,,,,0,7,0,4
Gary Grisafi,,,,,,,,0,0,4
Write-In,,,,,,,,,0,4
Total,41,4,2,2,32,22,21,18,0,4
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,5
,Donald J Trump,Roque Rocky De La Fuente,Bill Weld,Write-In,Pete Digiannantonio,William M Pirolli,Gary Grisafi,Christopher M Vogler,Write-In,5
Donald J Trump,2,0,0,0,27,17,13,13,1,5
Roque Rocky De La Fuente,,0,0,0,0,2,2,2,0,5
Bill Weld,,,0,0,0,1,1,1,0,5
Write-In,,,,0,1,1,1,0,0,5
Pete Digiannantonio,,,,,0,17,11,9,0,5
William M Pirolli,,,,,,0,10,10,0,5
Gary Grisafi,,,,,,,0,7,0,5
Christopher M Vogler,,,,,,,,0,0,5
Write-In,,,,,,,,,0,5
Total,34,2,1,1,28,21,17,16,1,5
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,6
,Donald J Trump,Bill Weld,Roque Rocky De La Fuente,Write-In,Pete Digiannantonio,Gary Grisafi,Christopher M Vogler,William M Pirolli,Write-In,6
Donald J Trump,6,0,0,0,34,22,19,20,0,6
Bill Weld,,1,0,0,4,3,3,2,0,6
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,6
Write-In,,,,0,0,0,0,0,0,6
Pete Digiannantonio,,,,,0,23,15,17,0,6
Gary Grisafi,,,,,,0,7,12,0,6
Christopher M Vogler,,,,,,,0,12,0,6
William M Pirolli,,,,,,,,0,0,6
Write-In,,,,,,,,,0,6
Total,45,7,0,0,38,25,22,22,0,6
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,7
,Donald J Trump,Bill Weld,Write-In,Roque Rocky De La Fuente,Pete Digiannantonio,Gary Grisafi,Christopher M Vogler,William M Pirolli,Write-In,7
Donald J Trump,3,0,0,0,25,20,19,16,1,7
Bill Weld,,1,0,0,1,1,0,1,0,7
Write-In,,,1,0,1,0,1,1,0,7
Roque Rocky De La Fuente,,,,0,0,0,0,0,0,7
Pete Digiannantonio,,,,,0,12,15,11,0,7
Gary Grisafi,,,,,,1,9,8,0,7
Christopher M Vogler,,,,,,,0,10,1,7
William M Pirolli,,,,,,,,0,1,7
Write-In,,,,,,,,,0,7
Total,38,4,2,0,27,22,20,18,1,7
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 2nd District - Republican,,,,,8
,Donald J Trump,Bill Weld,Write-In,Roque Rocky De La Fuente,Pete Digiannantonio,William M Pirolli,Christopher M Vogler,Gary Grisafi,Write-In,8
Donald J Trump,5,0,0,0,33,22,17,15,0,8
Bill Weld,,0,0,0,1,3,3,4,0,8
Write-In,,,1,0,1,1,0,0,0,8
Roque Rocky De La Fuente,,,,1,0,0,0,0,0,8
Pete Digiannantonio,,,,,0,21,13,14,0,8
William M Pirolli,,,,,,0,12,9,0,8
Christopher M Vogler,,,,,,,1,9,0,8
