col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In The General Assembly 203rd District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Isabella Fitzgerald,Write-In,Malcolm Kenyatta,Cindy Bass,Ken Washington,Nina Tinari,Wynnetta Ward,Charlene Cooper,Terry Gillen,Anuj Gupta,Matthew Miller,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Daisy Confoy,Christina Borst,Arielle Cohen,Carla Le'Coin,Bryan Mercer,Steve Paul,Paul Prescod,Sergio Cea,Jack Cahill,Daniel Laufer,Write-In,All
Isabella Fitzgerald,375,0,"4,800","4,791","4,719","4,740","4,544","4,523","4,499","4,339","4,288","4,238","3,942","1,171",966,868,868,826,786,762,761,706,705,673,632,616,559,24,All
Write-In,,2,3,4,2,3,1,4,3,2,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,All
Malcolm Kenyatta,,,20,"4,696","4,842","4,641","4,733","4,566","4,543","4,392","4,561","4,476","3,971",736,541,469,431,432,518,490,507,456,290,294,409,378,312,19,All
Cindy Bass,,,,29,"4,618","4,711","4,485","4,648","4,577","4,454","4,300","4,161","4,151",839,655,585,572,520,393,414,380,320,412,392,273,272,209,17,All
Ken Washington,,,,,20,"4,687","4,710","4,618","4,634","4,429","4,593","4,436","4,069",726,492,481,455,430,469,447,453,424,320,334,393,345,295,17,All
Nina Tinari,,,,,,36,"4,520","4,673","4,628","4,501","4,396","4,265","4,187",849,627,583,555,513,421,364,406,343,392,387,305,272,212,24,All
Wynnetta Ward,,,,,,,6,"4,464","4,449","4,283","4,438","4,407","3,870",710,527,450,463,403,495,480,483,418,292,267,381,357,312,17,All
Charlene Cooper,,,,,,,,6,"4,630","4,472","4,351","4,201","4,111",806,595,550,520,498,393,374,376,319,380,392,277,245,156,17,All
Terry Gillen,,,,,,,,,3,"4,449","4,378","4,223","4,099",769,571,552,495,480,389,370,361,326,387,382,282,255,196,14,All
Anuj Gupta,,,,,,,,,,3,"4,209","4,088","4,010",725,543,524,505,462,347,325,340,287,354,357,274,172,159,16,All
Matthew Miller,,,,,,,,,,,0,"4,270","3,880",590,395,371,336,312,422,372,406,376,189,233,349,297,255,12,All
Lindy Li,,,,,,,,,,,,1,"3,855",558,450,350,408,304,385,427,392,344,216,201,359,297,268,17,All
Owen Voutsinas-Klose,,,,,,,,,,,,,5,551,497,410,445,316,199,261,208,193,329,303,199,173,128,15,All
Sherrie Cohen,,,,,,,,,,,,,,2,767,654,675,645,525,546,491,446,597,536,344,408,383,4,All
Heather Pope,,,,,,,,,,,,,,,8,578,621,563,412,488,406,390,572,493,373,385,361,11,All
Joanne Beer,,,,,,,,,,,,,,,,0,548,620,435,430,348,379,522,543,351,349,339,2,All
Anlin Wang,,,,,,,,,,,,,,,,,1,534,372,439,399,349,546,482,378,356,330,5,All
Daisy Confoy,,,,,,,,,,,,,,,,,,0,461,417,433,329,506,529,363,342,332,2,All
Christina Borst,,,,,,,,,,,,,,,,,,,0,465,590,505,357,315,427,454,440,4,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,1,453,427,405,359,461,429,410,5,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,1,510,340,350,434,443,432,3,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,0,347,347,413,448,447,4,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,1,487,338,364,336,3,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,0,332,331,313,2,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,0,377,370,4,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,0,435,11,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"6,331",7,"5,406","5,362","5,342","5,332","5,108","5,051","5,020","4,807","4,806","4,740","4,395","1,295","1,107",968,949,913,888,877,849,800,792,749,728,708,637,42,All
