col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,All
,Nina Tinari,Malcolm Kenyatta,Ken Washington,Cindy Bass,Charlene Cooper,Wynnetta Ward,Terry Gillen,Anuj Gupta,Lindy Li,Matthew Miller,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Anlin Wang,Daisy Confoy,Joanne Beer,Arielle Cohen,Steve Paul,Christina Borst,Carla Le'Coin,Bryan Mercer,Sergio Cea,Paul Prescod,Jack Cahill,Daniel Laufer,Write-In,Amen Brown,Roni Green,Danyl Patterson,Van Stone,Write-In,All
Nina Tinari,9,"1,617","1,632","1,673","1,671","1,592","1,645","1,593","1,521","1,531","1,481",328,279,224,219,226,151,176,173,131,129,114,144,89,89,24,756,684,157,167,4,All
Malcolm Kenyatta,,4,"1,674","1,585","1,601","1,653","1,592","1,535","1,580","1,590","1,403",286,258,183,167,177,199,153,200,169,178,165,121,144,124,14,755,679,156,166,4,All
Ken Washington,,,6,"1,581","1,601","1,637","1,603","1,530","1,547","1,596","1,416",266,210,168,146,163,147,131,173,135,154,140,108,118,106,16,732,659,165,177,3,All
Cindy Bass,,,,5,"1,661","1,560","1,620","1,569","1,482","1,500","1,486",316,285,219,192,207,150,176,139,116,131,120,144,95,78,15,705,679,148,168,4,All
Charlene Cooper,,,,,0,"1,581","1,653","1,590","1,502","1,530","1,475",311,259,203,201,211,146,163,145,116,130,109,149,90,59,15,689,673,141,167,3,All
Wynnetta Ward,,,,,,1,"1,562","1,505","1,574","1,558","1,364",265,237,170,161,160,183,137,191,162,156,149,95,114,119,18,711,650,146,165,3,All
Terry Gillen,,,,,,,0,"1,575","1,502","1,533","1,450",295,245,203,191,209,132,170,154,118,132,108,152,94,88,16,706,659,145,163,4,All
Anuj Gupta,,,,,,,,1,"1,464","1,466","1,429",294,251,212,195,204,135,167,139,114,108,119,145,72,73,23,665,638,132,155,4,All
