col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Auditor General - Democrat,,,,,,,All
,Ken Washington,Nina Tinari,Malcolm Kenyatta,Cindy Bass,Terry Gillen,Charlene Cooper,Wynnetta Ward,Matthew Miller,Anuj Gupta,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Daisy Confoy,Anlin Wang,Christina Borst,Paul Prescod,Steve Paul,Arielle Cohen,Carla Le'Coin,Bryan Mercer,Jack Cahill,Daniel Laufer,Sergio Cea,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,All
Ken Washington,16,"1,258","1,327","1,245","1,250","1,242","1,277","1,255","1,174","1,165","1,064",213,149,170,161,130,182,132,104,142,161,160,133,116,132,10,920,159,160,88,28,25,1,All
Nina Tinari,,10,"1,235","1,290","1,295","1,293","1,189","1,152","1,224","1,095","1,128",282,225,227,211,192,136,178,159,96,125,107,85,66,85,14,929,166,155,67,34,30,1,All
Malcolm Kenyatta,,,7,"1,223","1,236","1,225","1,278","1,259","1,151","1,179","1,033",194,155,163,145,93,188,110,85,155,166,169,134,116,128,18,943,148,151,79,23,26,2,All
Cindy Bass,,,,8,"1,282","1,282","1,176","1,128","1,197","1,045","1,107",278,229,235,221,195,127,180,169,114,113,106,93,64,75,13,911,166,149,78,33,23,1,All
Terry Gillen,,,,,1,"1,311","1,195","1,179","1,228","1,098","1,105",269,218,243,229,181,143,197,167,119,117,116,100,74,83,11,867,164,159,78,35,31,2,All
Charlene Cooper,,,,,,1,"1,184","1,167","1,237","1,082","1,103",268,209,237,212,177,132,185,156,103,111,109,78,43,78,12,877,159,148,71,34,28,1,All
Wynnetta Ward,,,,,,,1,"1,207","1,112","1,143",986,203,162,165,149,120,183,108,100,163,166,151,144,115,119,14,880,131,155,77,24,22,2,All
Matthew Miller,,,,,,,,1,"1,111","1,139","1,008",161,114,134,113,80,166,90,54,135,146,143,120,102,117,12,836,136,145,68,19,22,2,All
