col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Malcolm Kenyatta,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Kempis Ghani Songster,Lorraine Haw,Write-In,Vayda Good,Alvaro Quinones,Ronald Raju Joseph,Adam Tennant,All
Malcolm Kenyatta,149,0,963,935,915,902,867,764,267,269,253,206,188,191,187,172,156,All
Write-In,,5,1,0,0,1,0,1,2,2,1,1,0,2,2,2,2,All
Pamela Robinson,,,14,966,966,945,930,790,159,178,157,100,122,85,79,66,55,All
Michele Lockman,,,,3,965,953,933,772,160,178,141,92,125,81,78,73,55,All
Anthony Bellmon,,,,,3,952,945,775,153,161,147,90,127,73,74,65,45,All
Patrick Parkinson,,,,,,3,934,764,139,153,123,72,121,45,59,54,48,All
Theodore Kirsch,,,,,,,1,752,121,136,126,68,121,60,45,48,38,All
Mona Getzes Cohen,,,,,,,,6,80,75,89,92,93,78,71,59,55,All
Amy Roat,,,,,,,,,7,215,133,136,10,128,131,121,117,All
Lisa Powley,,,,,,,,,,0,131,125,11,120,126,117,106,All
Kempis Ghani Songster,,,,,,,,,,,2,142,39,127,121,132,111,All
Lorraine Haw,,,,,,,,,,,,0,10,133,129,122,119,All
Write-In,,,,,,,,,,,,,11,8,5,8,4,All
Vayda Good,,,,,,,,,,,,,,0,130,121,116,All
Alvaro Quinones,,,,,,,,,,,,,,,1,125,121,All
Ronald Raju Joseph,,,,,,,,,,,,,,,,2,116,All
Adam Tennant,,,,,,,,,,,,,,,,,0,All
Total,"1,412",10,"1,102","1,063","1,045","1,029",988,867,311,298,277,231,214,213,210,198,172,All
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,1
,Malcolm Kenyatta,Write-In,Michele Lockman,Pamela Robinson,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Lisa Powley,Amy Roat,Vayda Good,Alvaro Quinones,Kempis Ghani Songster,Lorraine Haw,Ronald Raju Joseph,Adam Tennant,Write-In,1
Malcolm Kenyatta,6,0,36,36,34,34,34,24,15,12,9,8,6,6,6,5,0,1
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Michele Lockman,,,1,38,39,39,39,25,11,8,5,4,2,2,2,1,0,1
Pamela Robinson,,,,0,37,36,36,25,11,8,5,3,2,2,2,1,0,1
Anthony Bellmon,,,,,1,38,38,24,10,7,4,3,2,1,2,1,0,1
Patrick Parkinson,,,,,,0,38,23,9,6,4,3,2,0,2,1,0,1
Theodore Kirsch,,,,,,,0,24,9,6,4,2,2,1,2,1,0,1
Mona Getzes Cohen,,,,,,,,0,3,2,5,3,1,3,2,2,0,1
Lisa Powley,,,,,,,,,0,11,4,5,5,5,4,3,0,1
Amy Roat,,,,,,,,,,0,4,5,4,5,3,3,0,1
Vayda Good,,,,,,,,,,,0,5,4,5,5,4,0,1
Alvaro Quinones,,,,,,,,,,,,0,4,5,4,5,0,1
Kempis Ghani Songster,,,,,,,,,,,,,0,4,5,4,0,1
Lorraine Haw,,,,,,,,,,,,,,0,4,4,0,1
Ronald Raju Joseph,,,,,,,,,,,,,,,0,4,0,1
Adam Tennant,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,0,1
Total,51,0,42,41,40,39,39,26,15,12,9,8,6,6,6,5,0,1
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,2
,Malcolm Kenyatta,Write-In,Pamela Robinson,Anthony Bellmon,Michele Lockman,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Kempis Ghani Songster,Lorraine Haw,Vayda Good,Lisa Powley,Ronald Raju Joseph,Alvaro Quinones,Adam Tennant,Write-In,2
Malcolm Kenyatta,9,0,63,58,57,54,53,55,44,43,42,42,38,40,37,36,6,2
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pamela Robinson,,,1,62,61,57,58,52,15,13,12,12,12,6,7,7,0,2
Anthony Bellmon,,,,1,60,58,59,51,11,12,9,8,9,7,6,7,1,2
Michele Lockman,,,,,0,56,58,50,9,14,9,8,11,8,6,5,1,2
Patrick Parkinson,,,,,,0,58,45,9,7,7,4,8,3,4,4,1,2
Theodore Kirsch,,,,,,,0,47,7,9,7,6,7,6,3,5,0,2
Mona Getzes Cohen,,,,,,,,0,8,11,13,11,6,9,10,8,0,2
Amy Roat,,,,,,,,,1,36,35,37,37,30,30,30,2,2
Kempis Ghani Songster,,,,,,,,,,0,34,37,34,35,31,32,2,2
Lorraine Haw,,,,,,,,,,,0,37,34,32,33,34,2,2
Vayda Good,,,,,,,,,,,,0,34,34,33,35,1,2
Lisa Powley,,,,,,,,,,,,,0,30,29,28,3,2
Ronald Raju Joseph,,,,,,,,,,,,,,0,29,33,3,2
Alvaro Quinones,,,,,,,,,,,,,,,1,32,1,2
Adam Tennant,,,,,,,,,,,,,,,,0,1,2
Write-In,,,,,,,,,,,,,,,,,0,2
Total,117,0,73,68,66,63,62,59,49,45,45,45,43,42,40,39,6,2
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,3
,Malcolm Kenyatta,Write-In,Pamela Robinson,Theodore Kirsch,Patrick Parkinson,Anthony Bellmon,Michele Lockman,Mona Getzes Cohen,Amy Roat,Kempis Ghani Songster,Lisa Powley,Alvaro Quinones,Adam Tennant,Lorraine Haw,Ronald Raju Joseph,Vayda Good,Write-In,3
Malcolm Kenyatta,6,0,55,54,53,52,52,44,14,13,11,10,8,7,7,8,2,3
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Pamela Robinson,,,0,56,55,54,55,46,12,10,10,8,4,4,5,4,2,3
Theodore Kirsch,,,,0,54,55,53,45,11,8,8,5,5,2,2,4,2,3
Patrick Parkinson,,,,,0,53,52,44,11,6,7,6,4,0,3,1,2,3
Anthony Bellmon,,,,,,0,51,44,11,7,7,5,4,2,3,3,2,3
Michele Lockman,,,,,,,0,44,13,7,10,6,4,3,3,3,2,3
Mona Getzes Cohen,,,,,,,,0,7,6,2,6,4,3,4,3,2,3
Amy Roat,,,,,,,,,0,8,8,5,5,5,5,6,0,3
Kempis Ghani Songster,,,,,,,,,,0,7,8,5,7,7,7,0,3
Lisa Powley,,,,,,,,,,,0,6,4,5,5,6,0,3
Alvaro Quinones,,,,,,,,,,,,0,7,6,7,5,0,3
Adam Tennant,,,,,,,,,,,,,0,5,4,5,0,3
Lorraine Haw,,,,,,,,,,,,,,0,6,7,0,3
Ronald Raju Joseph,,,,,,,,,,,,,,,0,5,0,3
Vayda Good,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,1,3
Total,69,0,61,59,58,57,57,48,17,15,13,12,9,9,9,9,3,3
