col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,Auditor General - Democrat,,,,,,,All
,Pamela Robinson,Michele Lockman,Patrick Parkinson,Anthony Bellmon,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Alvaro Quinones,Lorraine Haw,Vayda Good,Adam Tennant,Kempis Ghani Songster,Ronald Raju Joseph,Write-In,Nina Ahmad,Michael Lamb,Christina M Hartman,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Write-In,All
Pamela Robinson,4,933,885,895,865,821,211,208,124,130,105,94,74,55,5,717,101,57,45,32,34,1,All
Michele Lockman,,4,893,900,879,815,204,199,121,126,101,87,64,69,4,713,108,55,45,29,31,1,All
Patrick Parkinson,,,5,883,871,779,170,162,95,90,58,67,49,50,4,660,100,55,36,26,30,1,All
Anthony Bellmon,,,,3,876,784,171,159,93,87,66,62,49,49,4,659,105,46,38,26,29,1,All
Theodore Kirsch,,,,,0,760,155,156,86,74,56,62,48,44,4,636,101,52,33,28,30,1,All
Mona Getzes Cohen,,,,,,2,145,129,112,106,103,81,51,57,2,650,81,41,27,24,27,1,All
Amy Roat,,,,,,,4,347,262,275,273,249,228,233,1,284,63,35,25,20,21,0,All
Lisa Powley,,,,,,,,2,248,258,258,241,227,223,2,269,56,35,22,19,19,1,All
Alvaro Quinones,,,,,,,,,2,253,270,246,232,239,1,235,50,20,17,12,14,2,All
Lorraine Haw,,,,,,,,,,0,255,243,235,233,1,234,41,24,15,15,17,1,All
Vayda Good,,,,,,,,,,,0,249,230,237,3,215,44,19,19,15,13,1,All
Adam Tennant,,,,,,,,,,,,1,223,236,2,196,42,23,14,12,15,2,All
Kempis Ghani Songster,,,,,,,,,,,,,0,221,0,183,35,14,14,15,14,1,All
Ronald Raju Joseph,,,,,,,,,,,,,,0,1,177,39,16,16,11,14,1,All
Write-In,,,,,,,,,,,,,,,0,4,3,0,0,1,0,0,All
Nina Ahmad,,,,,,,,,,,,,,,,56,0,0,0,0,0,0,All
Michael Lamb,,,,,,,,,,,,,,,,,22,0,0,0,0,0,All
Christina M Hartman,,,,,,,,,,,,,,,,,,9,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,,,,,,,,,,,,,,7,0,0,0,All
Tracie Fountain,,,,,,,,,,,,,,,,,,,,5,0,0,All
H Scott Conklin,,,,,,,,,,,,,,,,,,,,,10,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,048","1,036",965,959,931,900,473,443,372,367,346,328,296,295,8,"1,026",186,90,71,59,57,2,All
,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,Auditor General - Democrat,,,,,,,1
,Pamela Robinson,Anthony Bellmon,Michele Lockman,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Lorraine Haw,Vayda Good,Alvaro Quinones,Ronald Raju Joseph,Kempis Ghani Songster,Adam Tennant,Write-In,Nina Ahmad,Michael Lamb,H Scott Conklin,Christina M Hartman,Rose Rosie Marie Davis,Tracie Fountain,Write-In,1
Pamela Robinson,0,72,69,69,70,66,19,12,11,10,10,8,8,4,1,53,12,5,1,2,2,0,1
Anthony Bellmon,,1,67,66,67,59,15,10,9,7,9,7,7,3,1,51,11,3,1,1,1,0,1
Michele Lockman,,,1,65,65,60,13,9,8,4,6,7,4,1,1,51,10,3,1,1,1,0,1
Patrick Parkinson,,,,0,67,60,15,10,9,6,7,9,6,2,1,49,10,4,1,1,1,0,1
Theodore Kirsch,,,,,0,59,17,11,8,5,6,8,4,3,1,48,11,4,1,2,1,0,1
Mona Getzes Cohen,,,,,,0,11,4,10,9,7,8,5,3,1,50,4,4,1,2,2,0,1
Amy Roat,,,,,,,0,18,11,12,10,11,10,8,0,12,8,3,2,1,0,0,1
Lisa Powley,,,,,,,,0,7,11,8,8,9,8,0,8,6,1,2,1,0,0,1
Lorraine Haw,,,,,,,,,0,10,11,9,9,8,0,13,2,1,2,0,0,0,1
Vayda Good,,,,,,,,,,0,11,9,10,9,1,10,1,2,2,1,0,0,1
Alvaro Quinones,,,,,,,,,,,0,7,10,9,0,11,1,1,2,1,0,0,1
Ronald Raju Joseph,,,,,,,,,,,,0,8,7,0,8,2,2,2,1,0,0,1
Kempis Ghani Songster,,,,,,,,,,,,,0,7,0,7,2,1,2,0,0,0,1
Adam Tennant,,,,,,,,,,,,,,0,0,7,0,0,2,1,0,0,1
Write-In,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1
Nina Ahmad,,,,,,,,,,,,,,,,6,0,0,0,0,0,0,1
