col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,All
,Denise Furey,Paul Panepinto,Calvin Tucker,Erin Elmore,John Paul Sutton,Write-In,Write-In,All
Denise Furey,6,49,50,38,18,1,1,All
Paul Panepinto,,10,43,24,21,0,1,All
Calvin Tucker,,,6,22,13,0,1,All
Erin Elmore,,,,6,19,3,2,All
John Paul Sutton,,,,,2,0,1,All
Write-In,,,,,,0,2,All
Write-In,,,,,,,0,All
Total,90,81,73,63,40,4,4,All
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,1
,Denise Furey,Paul Panepinto,Calvin Tucker,Erin Elmore,John Paul Sutton,Write-In,Write-In,1
Denise Furey,2,15,12,11,2,0,0,1
Paul Panepinto,,3,12,9,4,0,0,1
Calvin Tucker,,,4,5,2,0,1,1
Erin Elmore,,,,2,2,0,0,1
John Paul Sutton,,,,,1,0,0,1
Write-In,,,,,,0,0,1
Write-In,,,,,,,0,1
Total,24,24,21,17,6,0,1,1
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,15
,Calvin Tucker,Denise Furey,Paul Panepinto,Erin Elmore,John Paul Sutton,Write-In,Write-In,15
Calvin Tucker,0,5,4,1,1,0,0,15
Denise Furey,,1,4,0,1,0,0,15
Paul Panepinto,,,1,0,0,0,0,15
Erin Elmore,,,,0,0,0,0,15
John Paul Sutton,,,,,0,0,0,15
Write-In,,,,,,0,0,15
Write-In,,,,,,,0,15
Total,6,6,5,1,1,0,0,15
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,16
,Calvin Tucker,Denise Furey,John Paul Sutton,Erin Elmore,Paul Panepinto,Write-In,Write-In,16
Calvin Tucker,0,4,2,2,2,0,0,16
Denise Furey,,0,2,2,2,0,0,16
John Paul Sutton,,,0,2,3,0,0,16
Erin Elmore,,,,0,1,0,0,16
Paul Panepinto,,,,,0,0,0,16
Write-In,,,,,,0,0,16
Write-In,,,,,,,0,16
Total,5,5,5,4,4,0,0,16
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,25
,Denise Furey,Erin Elmore,Calvin Tucker,John Paul Sutton,Write-In,Paul Panepinto,Write-In,25
Denise Furey,0,4,1,1,1,0,1,25
Erin Elmore,,0,1,1,1,0,1,25
Calvin Tucker,,,0,0,0,0,0,25
John Paul Sutton,,,,0,0,0,0,25
Write-In,,,,,0,0,1,25
Paul Panepinto,,,,,,0,0,25
Write-In,,,,,,,0,25
Total,4,4,1,1,1,0,1,25
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,26
,Calvin Tucker,Denise Furey,Paul Panepinto,Erin Elmore,John Paul Sutton,Write-In,Write-In,26
Calvin Tucker,1,5,5,3,1,0,0,26
Denise Furey,,1,3,2,0,0,0,26
Paul Panepinto,,,0,1,1,0,0,26
Erin Elmore,,,,1,0,0,0,26
John Paul Sutton,,,,,0,0,0,26
Write-In,,,,,,0,0,26
Write-In,,,,,,,0,26
Total,8,6,5,4,1,0,0,26
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,27
,Denise Furey,Calvin Tucker,Paul Panepinto,Erin Elmore,John Paul Sutton,Write-In,Write-In,27
Denise Furey,2,9,6,5,3,0,0,27
Calvin Tucker,,0,7,3,4,0,0,27
Paul Panepinto,,,1,2,3,0,0,27
Erin Elmore,,,,1,4,0,0,27
John Paul Sutton,,,,,0,0,0,27
Write-In,,,,,,0,0,27
Write-In,,,,,,,0,27
Total,14,12,10,8,7,0,0,27
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,28
,Denise Furey,Paul Panepinto,Erin Elmore,Calvin Tucker,John Paul Sutton,Write-In,Write-In,28
Denise Furey,0,12,7,10,6,0,0,28
Paul Panepinto,,3,6,9,6,0,1,28
Erin Elmore,,,1,3,5,2,1,28
Calvin Tucker,,,,0,1,0,0,28
John Paul Sutton,,,,,1,0,1,28
Write-In,,,,,,0,0,28
Write-In,,,,,,,0,28
Total,20,20,13,12,11,2,1,28
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,Representative In The General Assembly 175th District - Republican,29
,Paul Panepinto,Erin Elmore,Denise Furey,Calvin Tucker,John Paul Sutton,Write-In,Write-In,29
Paul Panepinto,2,5,7,4,4,0,0,29
Erin Elmore,,1,7,4,5,0,0,29
Denise Furey,,,0,4,3,0,0,29
Calvin Tucker,,,,1,2,0,0,29
John Paul Sutton,,,,,0,0,0,29
Write-In,,,,,,0,1,29
Write-In,,,,,,,0,29
Total,13,12,11,8,8,1,1,29
