col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 198th District - Democrat,,,,,All
,Cindy Bass,Malcolm Kenyatta,Nina Tinari,Ken Washington,Charlene Cooper,Wynnetta Ward,Terry Gillen,Matthew Miller,Lindy Li,Anuj Gupta,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Christina Borst,Anlin Wang,Daisy Confoy,Carla Le'Coin,Arielle Cohen,Bryan Mercer,Steve Paul,Paul Prescod,Sergio Cea,Jack Cahill,Daniel Laufer,Write-In,Darisha K Parker,Bernard A Williams,Fareed Abdullah,Supreme Dow,Write-In,All
Cindy Bass,56,"7,358","7,553","7,223","7,486","7,002","7,322","6,714","6,528","6,946","6,538","1,655","1,420","1,193",927,"1,148","1,049",858,840,748,841,825,576,602,472,102,"2,484","2,180","1,962","1,678",9,All
Malcolm Kenyatta,,15,"7,347","7,742","7,305","7,595","7,217","7,264","7,165","6,866","6,258","1,443","1,147",944,"1,164",830,792,"1,065",976,993,615,594,810,812,644,103,"2,433","2,050","2,002","1,666",8,All
Nina Tinari,,,36,"7,360","7,540","7,087","7,431","6,855","6,752","7,101","6,705","1,672","1,334","1,178",994,"1,107","1,055",878,729,743,838,770,587,564,442,90,"2,433","2,095","1,942","1,624",7,All
Ken Washington,,,,23,"7,280","7,482","7,265","7,252","7,037","6,839","6,344","1,344",996,896,"1,061",830,727,949,856,932,628,588,766,737,624,98,"2,354","2,060","1,985","1,682",7,All
Charlene Cooper,,,,,6,"7,072","7,489","6,870","6,715","7,113","6,562","1,581","1,282","1,129",912,"1,048","1,007",826,752,733,782,788,533,525,350,88,"2,330","2,025","1,811","1,557",6,All
Wynnetta Ward,,,,,,6,"7,001","7,051","7,032","6,627","6,030","1,313","1,078",869,"1,099",836,729,"1,007",962,880,560,468,745,746,630,100,"2,293","1,938","1,883","1,574",7,All
Terry Gillen,,,,,,,3,"6,915","6,678","7,055","6,551","1,494","1,228","1,102",899,974,942,790,710,756,793,807,519,580,439,88,"2,266","2,005","1,800","1,567",6,All
Matthew Miller,,,,,,,,2,"6,786","6,498","6,052","1,100",856,703,948,623,555,870,772,837,384,422,689,690,550,82,"2,132","1,845","1,724","1,479",7,All
Lindy Li,,,,,,,,,6,"6,395","5,993","1,129",992,723,996,789,610,938,888,802,471,386,725,654,579,80,"2,182","1,802","1,713","1,452",7,All
Anuj Gupta,,,,,,,,,,1,"6,325","1,405","1,135","1,050",798,"1,007",924,723,657,602,728,712,511,376,343,88,"2,145","1,871","1,671","1,477",6,All
Owen Voutsinas-Klose,,,,,,,,,,,4,"1,128","1,080",804,561,914,691,522,527,491,661,594,393,411,302,66,"1,993","1,717","1,533","1,315",6,All
Sherrie Cohen,,,,,,,,,,,,6,"2,099","1,891","1,608","1,863","1,851","1,508","1,583","1,388","1,775","1,588","1,262","1,305","1,249",33,828,823,726,610,1,All
Heather Pope,,,,,,,,,,,,,11,"1,768","1,463","1,855","1,752","1,430","1,569","1,316","1,701","1,539","1,300","1,330","1,266",21,763,763,685,558,3,All
Joanne Beer,,,,,,,,,,,,,,2,"1,445","1,634","1,824","1,268","1,403","1,229","1,572","1,611","1,237","1,181","1,164",10,664,679,556,490,2,All
Christina Borst,,,,,,,,,,,,,,,0,"1,299","1,442","1,766","1,502","1,563","1,225","1,127","1,389","1,459","1,454",24,659,611,611,485,0,All
Anlin Wang,,,,,,,,,,,,,,,,2,"1,610","1,306","1,420","1,211","1,622","1,486","1,271","1,177","1,159",15,623,656,575,465,0,All
Daisy Confoy,,,,,,,,,,,,,,,,,1,"1,376","1,412","1,130","1,534","1,580","1,215","1,176","1,179",12,608,627,553,470,0,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,3,"1,509","1,548","1,189","1,183","1,390","1,447","1,390",14,613,569,585,488,0,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,1,"1,369","1,310","1,211","1,484","1,376","1,353",12,571,576,593,475,2,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,2,"1,200","1,174","1,349","1,423","1,383",29,510,573,561,458,0,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,4,"1,501","1,176","1,186","1,172",20,517,598,511,419,2,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,1,"1,149","1,117","1,106",9,463,586,485,393,1,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,0,"1,298","1,285",10,455,509,511,426,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,3,"1,409",10,490,510,494,393,0,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,0,19,442,451,472,391,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,15,19,9,2,All
Darisha K Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,234,0,0,0,0,All
Bernard A Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,0,0,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,0,0,All
Supreme Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,All
Total,"9,115","8,884","8,832","8,808","8,389","8,354","8,292","7,840","7,817","7,781","7,174","3,172","2,966","2,524","2,496","2,466","2,382","2,374","2,368","2,233","2,169","2,035","2,019","2,008","1,865",178,"3,591","3,318","3,180","2,754",17,All
