col_1,col_2,division
,Representative In The General Assembly 152nd District - Republican,All
,Karen Houck,All
Karen Houck,361,All
Total,361,All
,Representative In The General Assembly 152nd District - Republican,16
,Karen Houck,16
Karen Houck,64,16
Total,64,16
,Representative In The General Assembly 152nd District - Republican,17
,Karen Houck,17
Karen Houck,63,17
Total,63,17
,Representative In The General Assembly 152nd District - Republican,18
,Karen Houck,18
Karen Houck,54,18
Total,54,18
,Representative In The General Assembly 152nd District - Republican,19
,Karen Houck,19
Karen Houck,61,19
Total,61,19
,Representative In The General Assembly 152nd District - Republican,20
,Karen Houck,20
Karen Houck,53,20
Total,53,20
,Representative In The General Assembly 152nd District - Republican,21
,Karen Houck,21
Karen Houck,32,21
Total,32,21
,Representative In The General Assembly 152nd District - Republican,24
,Karen Houck,24
Karen Houck,34,24
Total,34,24
