col_1,col_2,col_3,division
,State Treasurer - Democrat,,All
,Joe Torsella,Write-In,All
Joe Torsella,"4,793",0,All
Write-In,,33,All
Total,"4,793",33,All
,State Treasurer - Democrat,,1
,Joe Torsella,Write-In,1
Joe Torsella,304,0,1
Write-In,,2,1
Total,304,2,1
,State Treasurer - Democrat,,2
,Joe Torsella,Write-In,2
Joe Torsella,217,0,2
Write-In,,1,2
Total,217,1,2
,State Treasurer - Democrat,,3
,Joe Torsella,Write-In,3
Joe Torsella,193,0,3
Write-In,,5,3
Total,193,5,3
,State Treasurer - Democrat,,4
,Joe Torsella,Write-In,4
Joe Torsella,123,0,4
Write-In,,0,4
Total,123,0,4
,State Treasurer - Democrat,,5
,Joe Torsella,Write-In,5
Joe Torsella,145,0,5
Write-In,,0,5
Total,145,0,5
,State Treasurer - Democrat,,6
,Joe Torsella,Write-In,6
Joe Torsella,143,0,6
Write-In,,0,6
Total,143,0,6
,State Treasurer - Democrat,,7
,Joe Torsella,Write-In,7
Joe Torsella,230,0,7
Write-In,,3,7
Total,230,3,7
,State Treasurer - Democrat,,8
,Joe Torsella,Write-In,8
Joe Torsella,297,0,8
Write-In,,2,8
Total,297,2,8
,State Treasurer - Democrat,,9
,Joe Torsella,Write-In,9
Joe Torsella,229,0,9
Write-In,,1,9
Total,229,1,9
,State Treasurer - Democrat,,10
,Joe Torsella,Write-In,10
Joe Torsella,164,0,10
Write-In,,1,10
Total,164,1,10
,State Treasurer - Democrat,,11
,Joe Torsella,Write-In,11
Joe Torsella,177,0,11
Write-In,,3,11
Total,177,3,11
,State Treasurer - Democrat,,12
,Joe Torsella,Write-In,12
Joe Torsella,162,0,12
Write-In,,0,12
Total,162,0,12
,State Treasurer - Democrat,,13
,Joe Torsella,Write-In,13
Joe Torsella,147,0,13
Write-In,,0,13
Total,147,0,13
,State Treasurer - Democrat,,14
,Joe Torsella,Write-In,14
Joe Torsella,112,0,14
Write-In,,2,14
Total,112,2,14
,State Treasurer - Democrat,,15
,Joe Torsella,Write-In,15
Joe Torsella,146,0,15
Write-In,,0,15
Total,146,0,15
,State Treasurer - Democrat,,16
,Joe Torsella,Write-In,16
Joe Torsella,313,0,16
Write-In,,2,16
Total,313,2,16
,State Treasurer - Democrat,,17
,Joe Torsella,Write-In,17
Joe Torsella,357,0,17
Write-In,,2,17
Total,357,2,17
,State Treasurer - Democrat,,18
,Joe Torsella,Write-In,18
Joe Torsella,236,0,18
Write-In,,2,18
Total,236,2,18
,State Treasurer - Democrat,,19
,Joe Torsella,Write-In,19
Joe Torsella,338,0,19
Write-In,,3,19
Total,338,3,19
,State Treasurer - Democrat,,20
,Joe Torsella,Write-In,20
Joe Torsella,111,0,20
Write-In,,0,20
Total,111,0,20
,State Treasurer - Democrat,,21
,Joe Torsella,Write-In,21
Joe Torsella,97,0,21
Write-In,,0,21
Total,97,0,21
,State Treasurer - Democrat,,22
,Joe Torsella,Write-In,22
Joe Torsella,289,0,22
Write-In,,2,22
Total,289,2,22
,State Treasurer - Democrat,,23
,Joe Torsella,Write-In,23
Joe Torsella,263,0,23
Write-In,,2,23
Total,263,2,23
