col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Nina Tinari,Malcolm Kenyatta,Ken Washington,Cindy Bass,Charlene Cooper,Wynnetta Ward,Terry Gillen,Anuj Gupta,Lindy Li,Matthew Miller,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Daisy Confoy,Christina Borst,Arielle Cohen,Carla Le'Coin,Steve Paul,Paul Prescod,Jack Cahill,Bryan Mercer,Sergio Cea,Daniel Laufer,Write-In,All
Nina Tinari,54,"1,655","1,669","1,704","1,726","1,631","1,664","1,652","1,525","1,513","1,487",462,354,396,339,342,264,221,227,251,229,159,159,160,101,13,All
Malcolm Kenyatta,,26,"1,700","1,563","1,611","1,670","1,600","1,545","1,561","1,584","1,368",345,269,270,220,217,265,219,222,154,139,188,202,181,120,26,All
Ken Washington,,,42,"1,546","1,626","1,638","1,620","1,552","1,525","1,588","1,399",324,218,259,216,205,226,192,177,163,159,161,190,165,109,33,All
Cindy Bass,,,,26,"1,656","1,545","1,598","1,588","1,433","1,422","1,457",430,354,357,321,315,202,217,179,237,221,137,130,135,85,17,All
Charlene Cooper,,,,,7,"1,608","1,674","1,628","1,490","1,513","1,452",407,317,342,287,299,227,188,181,209,208,122,148,132,58,17,All
Wynnetta Ward,,,,,,8,"1,569","1,510","1,542","1,529","1,325",362,284,294,244,240,277,245,236,167,132,177,195,183,132,17,All
Terry Gillen,,,,,,,7,"1,594","1,468","1,508","1,439",383,297,321,267,274,207,179,159,218,216,146,158,136,91,25,All
Anuj Gupta,,,,,,,,3,"1,461","1,448","1,413",396,305,336,317,304,208,192,186,219,212,112,146,157,74,17,All
Lindy Li,,,,,,,,,9,"1,485","1,299",296,248,234,232,198,250,230,223,135,102,158,179,176,126,17,All
Matthew Miller,,,,,,,,,,1,"1,315",245,175,189,144,144,200,169,162,94,99,152,167,149,100,26,All
Owen Voutsinas-Klose,,,,,,,,,,,7,287,251,223,245,203,108,125,98,200,179,102,94,110,58,17,All
Sherrie Cohen,,,,,,,,,,,,2,"1,041","1,052","1,011","1,014",907,902,869,963,907,805,794,786,784,8,All
Heather Pope,,,,,,,,,,,,,24,992,"1,018",975,880,900,871,933,864,816,773,806,792,1,All
Joanne Beer,,,,,,,,,,,,,,2,980,"1,036",872,877,831,915,913,789,770,800,768,2,All
Anlin Wang,,,,,,,,,,,,,,,5,973,854,880,847,941,881,798,765,819,781,0,All
Daisy Confoy,,,,,,,,,,,,,,,,0,871,868,857,903,909,771,743,793,772,0,All
Christina Borst,,,,,,,,,,,,,,,,,0,858,931,777,736,825,826,813,814,17,All
Arielle Cohen,,,,,,,,,,,,,,,,,,3,859,812,780,796,778,843,789,8,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,1,772,751,813,819,809,805,1,All
Steve Paul,,,,,,,,,,,,,,,,,,,,3,879,787,750,761,771,0,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,0,761,741,755,748,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,0,810,778,821,1,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,2,769,784,1,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,0,764,0,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,1,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,3,All
Total,"2,096","1,992","1,963","1,919","1,902","1,896","1,873","1,813","1,762","1,705","1,602","1,318","1,284","1,222","1,195","1,160","1,120","1,089","1,063","1,058","1,008",989,975,969,911,53,All
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Nina Tinari,Terry Gillen,Ken Washington,Malcolm Kenyatta,Charlene Cooper,Cindy Bass,Anuj Gupta,Matthew Miller,Lindy Li,Wynnetta Ward,Owen Voutsinas-Klose,Sherrie Cohen,Anlin Wang,Joanne Beer,Heather Pope,Daisy Confoy,Paul Prescod,Carla Le'Coin,Steve Paul,Arielle Cohen,Christina Borst,Jack Cahill,Bryan Mercer,Daniel Laufer,Sergio Cea,Write-In,1
Nina Tinari,3,88,80,79,85,79,87,76,74,72,77,26,21,23,19,21,19,9,14,7,7,5,7,3,1,1,1
Terry Gillen,,1,82,82,91,84,88,80,75,77,78,27,20,24,20,20,20,11,15,7,6,8,9,6,2,1,1
Ken Washington,,,1,88,79,74,79,86,82,82,68,17,13,12,9,11,11,12,6,12,9,9,12,6,5,1,1
Malcolm Kenyatta,,,,2,80,74,79,86,83,82,67,19,10,15,10,9,8,14,6,11,10,8,12,6,5,1,1
Charlene Cooper,,,,,0,85,86,78,75,73,77,23,17,20,18,18,15,10,14,6,8,5,9,3,2,1,1
Cindy Bass,,,,,,1,80,72,67,70,73,25,21,23,21,20,19,10,17,11,8,8,5,6,5,1,1
Anuj Gupta,,,,,,,0,78,74,73,76,26,21,23,18,19,18,10,13,8,8,3,7,2,2,1,1
Matthew Miller,,,,,,,,0,82,83,66,14,9,12,7,8,7,10,2,9,9,8,10,7,4,1,1
Lindy Li,,,,,,,,,0,76,66,15,12,11,11,9,6,12,4,10,10,8,11,8,6,1,1
Wynnetta Ward,,,,,,,,,,0,58,15,9,13,8,10,8,10,2,10,8,7,8,7,3,1,1
