col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Senator In The General Assembly 3rd District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharif Street,Write-In,Malcolm Kenyatta,Nina Tinari,Cindy Bass,Ken Washington,Charlene Cooper,Wynnetta Ward,Terry Gillen,Anuj Gupta,Matthew Miller,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Daisy Confoy,Christina Borst,Arielle Cohen,Carla Le'Coin,Steve Paul,Bryan Mercer,Paul Prescod,Sergio Cea,Jack Cahill,Daniel Laufer,Write-In,All
Sharif Street,"1,351",0,"12,099","12,088","12,011","11,653","11,490","11,238","11,344","10,870","10,485","10,454","9,893","5,620","5,293","4,735","4,601","4,527","4,357","4,210","4,108","4,073","3,807","3,821","3,641","3,625","3,368",158,All
Write-In,,13,41,48,48,43,44,43,45,46,41,43,39,33,34,29,33,27,32,35,32,28,30,28,28,26,28,21,All
Malcolm Kenyatta,,,72,"11,798","11,672","12,360","11,652","12,116","11,523","11,109","11,639","11,438","10,103","2,445","1,974","1,666","1,438","1,454","1,884","1,698","1,687","1,095","1,563",998,"1,425","1,321","1,055",179,All
Nina Tinari,,,,104,"12,190","11,847","12,185","11,461","12,019","11,653","10,998","10,910","10,975","2,988","2,447","2,191","2,036","1,996","1,662","1,330","1,449","1,558","1,170","1,407","1,076",985,737,143,All
Cindy Bass,,,,,99,"11,513","12,021","11,208","11,771","11,307","10,710","10,421","10,660","2,905","2,533","2,168","2,058","1,935","1,517","1,481","1,331","1,570","1,153","1,476",983,"1,049",766,177,All
Ken Washington,,,,,,126,"11,648","11,910","11,665","11,088","11,641","11,211","10,304","2,273","1,690","1,571","1,426","1,346","1,700","1,435","1,479","1,117","1,462","1,022","1,282","1,237","1,008",140,All
Charlene Cooper,,,,,,,19,"11,343","12,091","11,596","10,985","10,774","10,680","2,757","2,265","2,077","1,850","1,899","1,520","1,321","1,328","1,413","1,116","1,418",900,895,563,160,All
Wynnetta Ward,,,,,,,,21,"11,249","10,704","11,236","11,254","9,719","2,266","1,889","1,580","1,461","1,414","1,833","1,683","1,624","1,012","1,378",831,"1,275","1,271","1,048",165,All
Terry Gillen,,,,,,,,,12,"11,458","11,023","10,703","10,588","2,629","2,140","2,067","1,736","1,811","1,519","1,276","1,265","1,462","1,183","1,446",884,"1,011",776,129,All
Anuj Gupta,,,,,,,,,,10,"10,453","10,384","10,357","2,582","2,098","1,994","1,894","1,810","1,370","1,186","1,206","1,399",974,"1,343",945,679,594,146,All
Matthew Miller,,,,,,,,,,,12,"10,847","9,794","1,812","1,398","1,239","1,026","1,006","1,537","1,268","1,324",660,"1,281",722,"1,142","1,122",871,137,All
Lindy Li,,,,,,,,,,,,11,"9,722","1,952","1,736","1,309","1,372","1,182","1,622","1,557","1,500",844,"1,231",676,"1,226","1,077",948,126,All
Owen Voutsinas-Klose,,,,,,,,,,,,,16,"2,074","1,951","1,524","1,694","1,330",922,978,838,"1,279",793,"1,148",737,731,539,115,All
Sherrie Cohen,,,,,,,,,,,,,,8,"4,740","4,351","4,333","4,268","3,673","3,772","3,474","4,122","3,202","3,704","3,048","3,135","3,044",53,All
Heather Pope,,,,,,,,,,,,,,,54,"4,147","4,303","4,088","3,456","3,766","3,362","4,006","3,095","3,606","3,155","3,167","3,051",60,All
Joanne Beer,,,,,,,,,,,,,,,,2,"3,903","4,263","3,443","3,423","3,056","3,751","3,007","3,752","3,000","2,948","2,909",13,All
Anlin Wang,,,,,,,,,,,,,,,,,3,"3,857","3,174","3,444","3,176","3,883","2,954","3,556","3,127","2,952","2,913",18,All
Daisy Confoy,,,,,,,,,,,,,,,,,,4,"3,442","3,399","3,294","3,640","2,794","3,684","2,989","2,902","2,896",17,All
Christina Borst,,,,,,,,,,,,,,,,,,,0,"3,498","3,844","3,017","3,506","2,773","3,169","3,331","3,331",30,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,12,"3,440","3,233","3,157","3,006","3,414","3,226","3,193",16,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,1,"2,924","3,395","2,856","3,183","3,267","3,188",19,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,9,"2,926","3,549","2,917","2,948","2,922",25,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,6,"2,843","3,057","3,209","3,189",39,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,1,"2,828","2,769","2,761",14,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,4,"3,010","2,984",9,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,3,"3,262",22,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,5,40,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,All
Total,"19,231",101,"14,433","14,428","14,287","14,109","13,546","13,449","13,421","12,815","12,584","12,567","11,780","6,480","6,239","5,468","5,340","5,238","5,112","5,045","4,817","4,796","4,517","4,453","4,345","4,326","4,044",378,All
