col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In The General Assembly 197th District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Danilo Burgos,Write-In,Ken Washington,Nina Tinari,Cindy Bass,Malcolm Kenyatta,Terry Gillen,Charlene Cooper,Wynnetta Ward,Matthew Miller,Anuj Gupta,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Christina Borst,Daisy Confoy,Steve Paul,Anlin Wang,Paul Prescod,Bryan Mercer,Arielle Cohen,Carla Le'Coin,Jack Cahill,Daniel Laufer,Sergio Cea,Write-In,All
Danilo Burgos,105,0,"1,108","1,092","1,095","1,077","1,067","1,042","1,013",969,972,885,873,397,321,325,277,278,259,259,248,238,230,229,221,193,187,5,All
Write-In,,1,3,2,4,3,3,3,3,2,3,4,1,2,1,0,0,0,1,2,1,2,1,2,0,2,2,0,All
Ken Washington,,,11,"1,164","1,144","1,217","1,156","1,130","1,166","1,152","1,068","1,048",972,249,153,191,204,145,119,127,123,178,140,163,148,120,134,2,All
Nina Tinari,,,,17,"1,164","1,122","1,174","1,172","1,080","1,050","1,113",973,"1,037",310,221,241,162,202,174,177,174,117,95,117,92,68,80,5,All
Cindy Bass,,,,,11,"1,114","1,149","1,147","1,069","1,036","1,080",923,"1,006",304,236,256,155,204,180,197,181,123,120,99,104,81,86,5,All
Malcolm Kenyatta,,,,,,13,"1,100","1,087","1,146","1,125","1,029","1,029",921,244,150,170,212,125,102,91,96,176,148,159,142,128,127,5,All
Terry Gillen,,,,,,,1,"1,188","1,080","1,063","1,108",981,999,297,200,256,181,205,165,172,183,137,107,123,114,93,86,1,All
Charlene Cooper,,,,,,,,3,"1,061","1,043","1,109",950,999,290,207,233,158,198,160,170,171,116,98,111,96,51,71,5,All
Wynnetta Ward,,,,,,,,,1,"1,076",988,"1,001",871,213,148,168,201,125,101,104,93,161,141,148,147,124,113,2,All
Matthew Miller,,,,,,,,,,2,983,999,885,184,108,138,194,95,64,80,81,159,115,144,134,102,115,2,All
Anuj Gupta,,,,,,,,,,,0,920,976,270,189,215,133,173,159,160,165,102,78,94,55,70,67,2,All
Lindy Li,,,,,,,,,,,,0,869,171,115,113,151,78,74,87,66,132,124,129,112,101,104,2,All
Owen Voutsinas-Klose,,,,,,,,,,,,,0,224,188,172,89,138,144,160,148,65,85,62,51,48,52,2,All
Sherrie Cohen,,,,,,,,,,,,,,1,282,260,171,229,241,236,217,144,155,138,137,127,101,0,All
Heather Pope,,,,,,,,,,,,,,,5,221,128,208,229,220,195,118,157,115,129,115,107,8,All
Joanne Beer,,,,,,,,,,,,,,,,0,149,235,209,198,218,125,122,92,122,114,90,0,All
Christina Borst,,,,,,,,,,,,,,,,,0,135,105,113,92,192,146,188,171,152,141,1,All
Daisy Confoy,,,,,,,,,,,,,,,,,,0,190,183,197,82,107,110,115,98,91,0,All
Steve Paul,,,,,,,,,,,,,,,,,,,2,213,191,107,122,100,120,116,91,0,All
Anlin Wang,,,,,,,,,,,,,,,,,,,,1,189,100,122,98,118,109,101,0,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,0,110,116,108,112,105,99,0,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,0,145,169,157,148,134,0,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,,,,1,145,151,139,151,0,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,,0,154,133,134,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,1,163,129,0,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,3,127,8,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,556",8,"1,411","1,384","1,381","1,380","1,322","1,297","1,277","1,235","1,207","1,126","1,106",465,397,371,326,311,304,301,289,282,281,268,262,237,231,18,All
