col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Attorney General - Democrat,,All
,Maryanne Donaghy,Samantha Newell,Colleen Guiney,Rebecca Divalerio,Michel Lee,Karyn Hollis,Amanda Mcillmurray,Cora Linehan,Tray Herman,Deidre Selig,Jake Metzger,John Randolph,Ryan Yeager,Write-In,Josh Shapiro,Write-In,All
Maryanne Donaghy,147,"4,865","5,042","4,781","1,266","1,260","1,291",868,951,993,674,811,902,66,"3,754",0,All
Samantha Newell,,103,"4,731","4,935","1,405","1,443","1,052","1,020",689,780,865,978,653,80,"3,824",2,All
Colleen Guiney,,,30,"4,639","1,171","1,169","1,257",735,873,973,622,744,863,64,"3,582",2,All
Rebecca Divalerio,,,,32,"1,380","1,406","1,034",993,707,704,836,940,615,65,"3,704",2,All
Michel Lee,,,,,18,"1,510","1,148","1,234","1,003","1,001","1,122","1,188",857,8,"1,724",5,All
Karyn Hollis,,,,,,4,"1,148","1,297",933,999,"1,115","1,141",693,4,"1,675",6,All
Amanda Mcillmurray,,,,,,,6,919,"1,020","1,139",753,686,988,12,"1,385",5,All
Cora Linehan,,,,,,,,7,894,882,"1,061","1,029",671,7,"1,309",6,All
Tray Herman,,,,,,,,,8,"1,034",835,791,922,3,"1,122",6,All
Deidre Selig,,,,,,,,,,8,741,720,922,2,"1,157",6,All
Jake Metzger,,,,,,,,,,,20,984,664,1,"1,206",6,All
John Randolph,,,,,,,,,,,,5,693,11,"1,208",6,All
Ryan Yeager,,,,,,,,,,,,,8,4,976,6,All
Write-In,,,,,,,,,,,,,,0,7,0,All
Josh Shapiro,,,,,,,,,,,,,,,366,0,All
Write-In,,,,,,,,,,,,,,,,3,All
Total,"5,816","5,632","5,416","5,360","2,176","2,066","1,890","1,671","1,626","1,623","1,555","1,546","1,435",134,"5,245",12,All
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Attorney General - Democrat,,1
,Colleen Guiney,Samantha Newell,Maryanne Donaghy,Rebecca Divalerio,Michel Lee,Karyn Hollis,Amanda Mcillmurray,Deidre Selig,Tray Herman,Cora Linehan,Ryan Yeager,Jake Metzger,John Randolph,Write-In,Josh Shapiro,Write-In,1
Colleen Guiney,0,75,76,71,23,19,18,16,13,11,15,9,13,0,59,0,1
Samantha Newell,,2,71,72,22,21,13,10,8,14,11,9,13,0,59,0,1
Maryanne Donaghy,,,1,68,23,19,18,15,14,13,15,9,13,0,53,0,1
Rebecca Divalerio,,,,0,20,21,12,10,9,13,9,8,13,0,53,0,1
Michel Lee,,,,,0,26,23,23,21,20,16,19,15,0,29,0,1
Karyn Hollis,,,,,,0,20,19,18,21,12,17,13,0,30,0,1
Amanda Mcillmurray,,,,,,,0,22,18,18,18,13,8,0,21,0,1
Deidre Selig,,,,,,,,0,21,16,17,14,8,0,22,0,1
Tray Herman,,,,,,,,,0,13,16,17,10,0,16,0,1
Cora Linehan,,,,,,,,,,1,12,12,9,0,20,0,1
Ryan Yeager,,,,,,,,,,,0,10,9,0,17,0,1
Jake Metzger,,,,,,,,,,,,1,10,0,17,0,1
John Randolph,,,,,,,,,,,,,0,0,14,0,1
Write-In,,,,,,,,,,,,,,0,0,0,1
Josh Shapiro,,,,,,,,,,,,,,,1,0,1
Write-In,,,,,,,,,,,,,,,,0,1
Total,86,83,80,76,38,35,30,28,28,26,25,24,20,0,77,0,1
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Attorney General - Democrat,,2
,Maryanne Donaghy,Colleen Guiney,Samantha Newell,Rebecca Divalerio,Amanda Mcillmurray,Michel Lee,Tray Herman,Karyn Hollis,Deidre Selig,Cora Linehan,Jake Metzger,Ryan Yeager,John Randolph,Write-In,Josh Shapiro,Write-In,2
Maryanne Donaghy,2,89,79,77,36,22,26,23,23,18,14,19,13,0,63,0,2
Colleen Guiney,,0,76,73,33,18,19,20,19,11,9,17,9,0,57,0,2
Samantha Newell,,,3,78,24,23,11,23,12,16,12,7,13,0,65,0,2
Rebecca Divalerio,,,,1,23,23,12,22,9,18,14,6,12,0,59,0,2
Amanda Mcillmurray,,,,,0,23,19,21,24,15,14,21,10,0,26,0,2
Michel Lee,,,,,,1,14,23,15,17,19,11,14,0,27,0,2
Tray Herman,,,,,,,0,15,21,18,15,19,15,0,20,0,2
Karyn Hollis,,,,,,,,0,14,18,19,6,20,0,25,0,2
Deidre Selig,,,,,,,,,0,14,11,19,11,0,17,0,2
Cora Linehan,,,,,,,,,,1,17,9,17,0,19,0,2
Jake Metzger,,,,,,,,,,,0,6,17,0,19,0,2
Ryan Yeager,,,,,,,,,,,,0,6,0,10,0,2
John Randolph,,,,,,,,,,,,,0,8,18,0,2
Write-In,,,,,,,,,,,,,,0,0,0,2
Josh Shapiro,,,,,,,,,,,,,,,9,0,2
Write-In,,,,,,,,,,,,,,,,0,2
Total,103,95,95,86,44,36,35,33,31,28,26,25,24,8,92,0,2
,Attorney General - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,3
,Josh Shapiro,Write-In,Samantha Newell,Maryanne Donaghy,Rebecca Divalerio,Colleen Guiney,Michel Lee,Amanda Mcillmurray,Karyn Hollis,Cora Linehan,Jake Metzger,Tray Herman,John Randolph,Deidre Selig,Ryan Yeager,Write-In,3
Josh Shapiro,18,0,111,105,112,105,58,49,53,44,41,32,36,32,27,0,3
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Samantha Newell,,,4,137,143,136,45,38,38,30,25,20,28,23,17,0,3
Maryanne Donaghy,,,,7,135,138,34,40,30,27,17,25,21,18,19,0,3
Rebecca Divalerio,,,,,0,131,41,38,36,29,23,21,26,16,15,0,3
Colleen Guiney,,,,,,0,34,39,31,21,18,23,20,22,18,0,3
Michel Lee,,,,,,,1,40,53,43,42,30,38,32,24,0,3
Amanda Mcillmurray,,,,,,,,0,38,33,30,33,25,30,29,0,3
Karyn Hollis,,,,,,,,,0,41,37,29,35,31,20,0,3
Cora Linehan,,,,,,,,,,0,37,27,35,28,26,0,3
Jake Metzger,,,,,,,,,,,1,25,37,25,23,0,3
Tray Herman,,,,,,,,,,,,1,21,26,23,0,3
John Randolph,,,,,,,,,,,,,0,25,22,0,3
Deidre Selig,,,,,,,,,,,,,,0,23,0,3
Ryan Yeager,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,0,3
Total,167,0,167,164,156,154,73,63,63,56,52,49,48,44,39,0,3
,Attorney General - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,4
,Josh Shapiro,Write-In,Maryanne Donaghy,Samantha Newell,Rebecca Divalerio,Colleen Guiney,Michel Lee,Karyn Hollis,Jake Metzger,Cora Linehan,John Randolph,Ryan Yeager,Tray Herman,Amanda Mcillmurray,Deidre Selig,Write-In,4
Josh Shapiro,15,0,68,72,68,58,43,42,40,41,31,26,26,21,18,0,4
Write-In,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Maryanne Donaghy,,,5,79,83,88,29,28,18,24,18,28,27,24,17,0,4
Samantha Newell,,,,5,90,74,38,40,34,37,28,16,13,12,6,0,4
Rebecca Divalerio,,,,,0,73,36,40,32,33,29,15,10,11,5,0,4
Colleen Guiney,,,,,,1,23,20,13,15,11,24,20,21,15,0,4
Michel Lee,,,,,,,0,45,37,41,38,20,22,23,20,0,4
Karyn Hollis,,,,,,,,0,43,46,36,19,20,22,16,0,4
Jake Metzger,,,,,,,,,1,43,35,19,20,14,14,0,4
Cora Linehan,,,,,,,,,,0,34,22,23,20,16,0,4
John Randolph,,,,,,,,,,,0,19,19,9,14,0,4
Ryan Yeager,,,,,,,,,,,,1,28,26,21,0,4
Tray Herman,,,,,,,,,,,,,0,24,22,0,4
Amanda Mcillmurray,,,,,,,,,,,,,,0,21,0,4
Deidre Selig,,,,,,,,,,,,,,,0,0,4
Write-In,,,,,,,,,,,,,,,,0,4
Total,120,1,112,108,101,95,60,57,55,54,45,42,42,36,29,0,4
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Attorney General - Democrat,,5
,Maryanne Donaghy,Colleen Guiney,Samantha Newell,Rebecca Divalerio,Amanda Mcillmurray,Tray Herman,Deidre Selig,Ryan Yeager,Karyn Hollis,Michel Lee,Jake Metzger,Cora Linehan,John Randolph,Write-In,Josh Shapiro,Write-In,5
Maryanne Donaghy,6,142,111,112,48,42,44,38,30,29,19,21,20,0,85,0,5
Colleen Guiney,,2,106,106,47,41,44,38,26,24,14,16,16,0,79,0,5
Samantha Newell,,,3,112,17,10,11,6,29,28,21,21,20,0,82,0,5
Rebecca Divalerio,,,,0,18,13,12,8,31,30,21,22,23,0,83,0,5
Amanda Mcillmurray,,,,,0,41,42,36,18,17,12,12,6,0,25,0,5
Tray Herman,,,,,,0,37,36,12,13,10,9,8,0,17,0,5
Deidre Selig,,,,,,,0,35,15,12,7,8,6,0,18,0,5
Ryan Yeager,,,,,,,,0,7,9,6,4,6,0,11,0,5
Karyn Hollis,,,,,,,,,0,26,20,21,16,0,33,0,5
Michel Lee,,,,,,,,,,0,17,17,18,0,28,0,5
Jake Metzger,,,,,,,,,,,3,19,14,0,24,0,5
Cora Linehan,,,,,,,,,,,,0,15,0,22,0,5
John Randolph,,,,,,,,,,,,,0,0,21,0,5
Write-In,,,,,,,,,,,,,,0,0,0,5
Josh Shapiro,,,,,,,,,,,,,,,9,0,5
Write-In,,,,,,,,,,,,,,,,0,5
Total,160,151,127,122,53,48,46,41,36,35,30,26,24,0,108,0,5
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Attorney General - Democrat,,6
,Maryanne Donaghy,Samantha Newell,Colleen Guiney,Rebecca Divalerio,Amanda Mcillmurray,Deidre Selig,Ryan Yeager,Karyn Hollis,Michel Lee,Cora Linehan,Tray Herman,Jake Metzger,John Randolph,Write-In,Josh Shapiro,Write-In,6
Maryanne Donaghy,1,67,70,64,21,15,15,11,10,11,11,8,7,0,46,0,6
Samantha Newell,,3,62,67,13,8,6,12,11,11,4,9,9,0,48,0,6
Colleen Guiney,,,1,60,20,14,15,10,8,10,9,6,5,0,42,0,6
Rebecca Divalerio,,,,0,13,8,6,13,12,11,5,9,9,0,47,0,6
Amanda Mcillmurray,,,,,0,22,19,15,13,13,16,11,10,0,17,0,6
Deidre Selig,,,,,,0,17,11,11,11,17,10,9,0,14,0,6
Ryan Yeager,,,,,,,0,9,10,10,14,8,8,0,11,0,6
Karyn Hollis,,,,,,,,0,17,17,10,13,13,0,17,0,6
Michel Lee,,,,,,,,,0,15,11,14,14,0,16,0,6
Cora Linehan,,,,,,,,,,0,10,14,11,0,15,0,6
Tray Herman,,,,,,,,,,,0,11,10,0,10,0,6
Jake Metzger,,,,,,,,,,,,0,13,0,13,0,6
John Randolph,,,,,,,,,,,,,0,0,12,0,6
Write-In,,,,,,,,,,,,,,0,0,0,6
Josh Shapiro,,,,,,,,,,,,,,,3,0,6
Write-In,,,,,,,,,,,,,,,,0,6
Total,77,75,72,69,28,23,22,21,21,20,19,17,17,0,59,0,6
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Attorney General - Democrat,,7
,Maryanne Donaghy,Colleen Guiney,Samantha Newell,Rebecca Divalerio,Amanda Mcillmurray,Tray Herman,Deidre Selig,Karyn Hollis,Michel Lee,Ryan Yeager,Cora Linehan,John Randolph,Jake Metzger,Write-In,Josh Shapiro,Write-In,7
Maryanne Donaghy,2,120,111,102,35,34,29,24,20,28,19,15,12,0,77,0,7
Colleen Guiney,,0,104,97,35,31,28,20,18,25,16,14,12,0,74,0,7
Samantha Newell,,,1,111,20,17,13,33,29,13,26,25,23,0,83,0,7
Rebecca Divalerio,,,,1,18,14,12,28,24,9,22,22,17,0,77,0,7
Amanda Mcillmurray,,,,,0,32,37,22,22,29,22,14,16,0,29,0,7
Tray Herman,,,,,,0,33,23,21,31,22,19,20,0,28,0,7
Deidre Selig,,,,,,,1,19,19,29,20,15,16,0,23,0,7
Karyn Hollis,,,,,,,,0,28,16,31,28,27,0,36,0,7
Michel Lee,,,,,,,,,0,17,28,29,28,0,37,0,7
Ryan Yeager,,,,,,,,,,0,12,16,15,0,22,0,7
Cora Linehan,,,,,,,,,,,0,25,26,0,30,0,7
John Randolph,,,,,,,,,,,,0,26,0,26,0,7
Jake Metzger,,,,,,,,,,,,,0,0,29,0,7
Write-In,,,,,,,,,,,,,,0,0,0,7
